codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion
46037,Alqueria de la Comtessa (L'),Valencia,Comunidad Valenciana,L' Alqueria de la Comtessa,1,0,1481,2.15,687.78
12901,Alqueries (Les)/Alquerías del Niño Perdido,Castellón,Comunidad Valenciana,Les Alqueries/Alquerías del Niño Perdido,1,2,4539,12.61,359.97
22024,Alquézar,Huesca,Aragón,Alquézar,2,1,338,32.36,10.45
18018,Alquife,Granada,Andalucía,Alquife,1,1,561,12.19,46.02
04015,Alsodux,Almería,Andalucía,Alsodux,1,2,131,20.1,6.52
25024,Alt Àneu,Lleida,Cataluña,Alt Àneu,2,1,430,217.75,1.97
09013,Altable,Burgos,Castilla y León,Altable,2,2,47,8.22,5.72
43012,Altafulla,Tarragona,Cataluña,Altafulla,1,2,5512,6.89,800.0
16019,Altarejos,Cuenca,Castilla-La Mancha,Altarejos,2,2,200,91.32,2.19
03018,Altea,Alicante,Comunidad Valenciana,Altea,1,3,22657,34.43,658.1
22025,Altorricón,Huesca,Aragón,Altorricón,2,1,1441,32.41,44.46
09014,Altos (Los),Burgos,Castilla y León,Los Altos,2,2,191,139.85,1.37
31010,Altsasu/Alsasua,Navarra,Comunidad Foral de Navarra,Altsasu/Alsasua,2,2,7441,26.72,278.44
12012,Altura,Castellón,Comunidad Valenciana,Altura,1,2,3658,129.47,28.25
20906,Altzaga,Gipuzkoa,País Vasco,Altzaga,1,2,177,2.52,70.11
20007,Altzo,Gipuzkoa,País Vasco,Altzo,1,2,447,9.77,45.74
19027,Alustante,Guadalajara,Castilla-La Mancha,Alustante,0,1,153,93.04,1.64
46017,Alzira,Valencia,Comunidad Valenciana,Alzira,1,0,44865,110.49,406.05
05012,Amavida,Ávila,Castilla y León,Amavida,0,1,128,15.02,8.52
34009,Amayuelas de Arriba,Palencia,Castilla y León,Amayuelas de Arriba,2,2,36,10.17,3.54
50027,Ambel,Zaragoza,Aragón,Ambel,2,1,252,61.46,4.1
28011,Ambite,Madrid,Comunidad de Madrid,Ambite,3,2,662,26.0,25.46
17007,Amer,Girona,Cataluña,Amer,1,1,2383,39.93,59.68
15002,Ames,A Coruña,Galicia,Ames,1,3,31993,80.1,399.41
31013,Améscoa Baja,Navarra,Comunidad Foral de Navarra,Améscoa Baja,2,2,721,30.2,23.87
43013,Ametlla de Mar (L'),Tarragona,Cataluña,L' Ametlla de Mar,1,2,7131,67.14,106.22
08005,Ametlla del Vallès (L'),Barcelona,Cataluña,L' Ametlla del Vallès,1,2,8787,14.25,616.63
09016,Ameyugo,Burgos,Castilla y León,Ameyugo,2,2,116,12.51,9.27
20008,Amezketa,Gipuzkoa,País Vasco,Amezketa,1,2,945,20.58,45.93
