municipio,provincia,municipio_nombre_humano,lat,lon,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
Balsa de Ves,Albacete,Balsa de Ves,39.26667,-1.2,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Barrax,Albacete,Barrax,39.045505,-2.2014,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Bienservida,Albacete,Bienservida,38.51716,-2.61087,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bogarra,Albacete,Bogarra,38.58139,-2.2129,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonete,Albacete,Bonete,38.871511,-1.348672,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bonillo (El),Albacete,El Bonillo,38.950366,-2.539122,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Carcelén,Albacete,Carcelén,39.10202,-1.30879,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,39.101931,-1.558941,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Casas de Lázaro,Albacete,Casas de Lázaro,38.77056,-2.24044,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Casas de Ves,Albacete,Casas de Ves,39.25847,-1.333317,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Casas-Ibáñez,Albacete,Casas-Ibáñez,39.286062,-1.472436,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Caudete,Albacete,Caudete,38.704119,-0.982596,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Cenizate,Albacete,Cenizate,39.302534,-1.662663,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,38.920442,-1.724524,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Corral-Rubio,Albacete,Corral-Rubio,38.83462,-1.46034,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cotillas,Albacete,Cotillas,38.43115,-2.5055,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Elche de la Sierra,Albacete,Elche de la Sierra,38.450066,-2.048251,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Férez,Albacete,Férez,38.35,-2.0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Fuensanta,Albacete,Fuensanta,39.23333,-2.06667,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Fuente-Álamo,Albacete,Fuente-Álamo,38.692302,-1.431733,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Fuentealbilla,Albacete,Fuentealbilla,39.268081,-1.550586,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Gineta (La),Albacete,La Gineta,39.113108,-1.995466,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Golosalvo,Albacete,Golosalvo,39.23333,-1.63333,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Hellín,Albacete,Hellín,38.511341,-1.700442,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herrera (La),Albacete,La Herrera,38.61931,-1.78428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Higueruela,Albacete,Higueruela,38.962437,-1.442711,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,38.9579,-1.55679,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Jorquera,Albacete,Jorquera,39.16667,-1.51667,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Letur,Albacete,Letur,38.36626,-2.10206,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lezuza,Albacete,Lezuza,38.949114,-2.355022,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Liétor,Albacete,Liétor,38.542124,-1.954139,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Madrigueras,Albacete,Madrigueras,39.236245,-1.801448,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahora,Albacete,Mahora,39.212436,-1.725506,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Masegoso,Albacete,Masegoso,38.716894,-2.319049,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Minaya,Albacete,Minaya,39.269856,-2.321385,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Molinicos,Albacete,Molinicos,38.46717,-2.23939,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Montalvos,Albacete,Montalvos,39.16667,-2.01667,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montealegre del Castillo,Albacete,Montealegre del Castillo,38.788701,-1.326689,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Motilleja,Albacete,Motilleja,39.179532,-1.791175,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Munera,Albacete,Munera,39.040675,-2.481521,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Navas de Jorquera,Albacete,Navas de Jorquera,39.28333,-1.71667,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Nerpio,Albacete,Nerpio,38.1475,-2.30202,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Ontur,Albacete,Ontur,38.614717,-1.496775,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ossa de Montiel,Albacete,Ossa de Montiel,38.964586,-2.745895,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Paterna del Madera,Albacete,Paterna del Madera,38.59751,-2.34421,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Peñas de San Pedro,Albacete,Peñas de San Pedro,38.725749,-2.000757,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peñascosa,Albacete,Peñascosa,38.67215,-2.40991,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pétrola,Albacete,Pétrola,38.82628,-1.55662,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Povedilla,Albacete,Povedilla,38.70022,-2.60212,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pozo Cañada,Albacete,Pozo Cañada,38.800099,-1.731457,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
