municipio,provincia,codigo_INE,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g
Casas del Puerto,Ávila,5052,100.0,0.0,100.0,100.0
Casas-Ibáñez,Albacete,2024,100.0,100.0,100.0,100.0
Casasbuenas,Toledo,45042,0.0,0.0,92.0,96.0
Casaseca de Campeán,Zamora,49038,100.0,0.0,100.0,100.0
Casaseca de las Chanas,Zamora,49039,100.0,100.0,100.0,100.0
Casasimarro,Cuenca,16066,96.0,96.0,100.0,100.0
Casasola,Ávila,5053,0.0,0.0,100.0,100.0
Casasola de Arión,Valladolid,47036,97.0,0.0,91.0,100.0
Casatejada,Cáceres,10058,100.0,50.0,99.5,100.0
Casavieja,Ávila,5054,96.0,47.0,100.0,100.0
Casbas de Huesca,Huesca,22081,98.33,66.67,86.5,99.5
Cascajares de Bureba,Burgos,9077,0.0,0.0,100.0,100.0
Cascajares de la Sierra,Burgos,9078,91.0,0.0,100.0,100.0
Cascante,Navarra,31068,100.0,100.0,100.0,100.0
Cascante del Río,Teruel,44064,95.0,0.0,100.0,99.0
Cáseda,Navarra,31069,48.5,0.0,100.0,100.0
Caseres,Tarragona,43041,90.0,0.0,100.0,99.0
Casillas,Ávila,5055,89.0,0.0,99.0,100.0
Casillas de Coria,Cáceres,10059,74.0,0.0,100.0,93.0
Casillas de Flores,Salamanca,37091,31.0,0.0,100.0,97.0
Casinos,Valencia,46089,100.0,100.0,100.0,100.0
Casla,Segovia,40045,77.0,0.0,100.0,100.0
Caso,Asturias,33015,70.3,0.0,99.57,78.57
Caspe,Zaragoza,50074,100.0,34.0,94.8,88.4
Caspueñas,Guadalajara,19074,100.0,0.0,100.0,99.0
Cassà de la Selva,Girona,17044,91.64,20.0,100.0,100.0
Casserres,Barcelona,8049,64.0,25.33,100.0,100.0
Castalla,Alicante,3053,100.0,100.0,100.0,100.0
Castañar de Ibor,Cáceres,10060,100.0,100.0,100.0,100.0
Castañares de Rioja,La Rioja,26043,100.0,63.0,100.0,100.0
Castañeda,Cantabria,39019,92.25,9.25,100.0,100.0
Castaño del Robledo,Huelva,21022,72.0,0.0,100.0,99.0
Cástaras,Granada,18044,50.0,0.0,100.0,78.5
Castejón,Cuenca,16067,100.0,0.0,100.0,100.0
Castejón,Navarra,31070,80.0,75.0,100.0,100.0
Castejón de Alarba,Zaragoza,50075,95.0,0.0,99.0,45.0
Castejón de Henares,Guadalajara,19075,100.0,0.0,100.0,100.0
Castejón de las Armas,Zaragoza,50076,95.0,0.0,100.0,100.0
Castejón de Monegros,Huesca,22083,95.0,0.0,100.0,100.0
Castejón de Sos,Huesca,22084,86.0,62.25,100.0,100.0
Castejón de Tornos,Teruel,44065,95.0,0.0,99.0,86.0
Castejón de Valdejasa,Zaragoza,50077,95.0,0.0,100.0,100.0
Castejón del Puente,Huesca,22082,100.0,100.0,100.0,100.0
Castel de Cabra,Teruel,44066,95.0,8.0,100.0,100.0
Castelflorite,Huesca,22085,100.0,100.0,100.0,48.0
Castell (Es),Illes Balears,7064,100.0,100.0,100.0,100.0
Castell de Cabres,Castellón,12037,0.0,0.0,100.0,100.0
Castell de Castells,Alicante,3054,90.0,90.0,100.0,89.0
Castell de Guadalest (El),Alicante,3075,48.0,48.0,100.0,100.0
Castell de l'Areny,Barcelona,8057,4.0,0.0,88.0,76.0
Castell de Mur,Lleida,25904,100.0,0.0,90.88,100.0
Castell-Platja d'Aro,Girona,17048,99.0,78.67,100.0,100.0
Castellanos de Castro,Burgos,9079,0.0,0.0,100.0,89.0
Castellanos de Moriscos,Salamanca,37092,70.43,44.29,99.86,99.86
Castellanos de Villiquera,Salamanca,37185,91.54,1.23,99.31,97.15
Castellanos de Zapardiel,Ávila,5056,0.0,0.0,100.0,86.0
Castellar,Jaén,23025,100.0,100.0,100.0,100.0
Castellar (El),Teruel,44070,95.0,0.0,100.0,20.0
Castellar de la Frontera,Cádiz,11013,99.33,99.33,100.0,100.0
Castellar de la Muela,Guadalajara,19076,0.0,0.0,100.0,100.0
Castellar de la Ribera,Lleida,25064,0.0,0.0,100.0,100.0
Castellar de n'Hug,Barcelona,8052,53.0,0.0,99.0,96.0
Castellar de Santiago,Ciudad Real,13033,100.0,0.0,100.0,100.0
Castellar del Riu,Barcelona,8050,23.25,0.0,96.0,84.0
Castellar del Vallès,Barcelona,8051,98.0,98.0,100.0,100.0
Castellbell i el Vilar,Barcelona,8053,81.89,64.26,99.37,99.32
Castellbisbal,Barcelona,8054,58.94,58.94,99.61,99.61
Castellcir,Barcelona,8055,25.0,25.0,97.25,98.0
Castelldans,Lleida,25067,96.0,0.0,100.0,100.0
Castelldefels,Barcelona,8056,84.0,84.0,100.0,100.0
Castellet i la Gornal,Barcelona,8058,75.75,68.58,100.0,99.92
Castellfollit de la Roca,Girona,17046,100.0,100.0,100.0,100.0
Castellfollit de Riubregós,Barcelona,8060,85.0,0.0,100.0,64.0
Castellfollit del Boix,Barcelona,8059,5.67,0.0,95.67,88.0
Castellfort,Castellón,12038,100.0,100.0,100.0,100.0
Castellgalí,Barcelona,8061,98.5,48.88,100.0,100.0
Castellnou de Bages,Barcelona,8062,64.6,64.6,99.6,97.2
Castellnou de Seana,Lleida,25068,65.0,10.0,100.0,100.0
Castellnovo,Castellón,12039,100.0,100.0,100.0,100.0
Castelló,Valencia,46257,100.0,100.0,100.0,100.0
Castelló d'Empúries,Girona,17047,62.5,18.5,100.0,100.0
Castelló de Farfanya,Lleida,25069,57.0,0.0,99.0,100.0
Castelló de Rugat,Valencia,46090,92.0,92.0,100.0,100.0
Castellolí,Barcelona,8063,25.0,25.0,98.0,96.0
Castellón de la Plana,Castellón,12040,50.0,50.0,95.5,50.0
Castellonet de la Conquesta,Valencia,46091,100.0,100.0,100.0,98.0
Castellote,Teruel,44071,69.09,0.0,90.45,62.09
Castellserà,Lleida,25070,100.0,100.0,100.0,100.0
Castellterçol,Barcelona,8064,97.0,93.0,100.0,100.0
Castellvell del Camp,Tarragona,43042,59.18,23.73,99.45,100.0
Castellví de la Marca,Barcelona,8065,88.87,44.87,99.93,99.33
Castellví de Rosanes,Barcelona,8066,77.33,77.33,100.0,100.0
Castelnou,Teruel,44067,95.0,0.0,100.0,99.0
Castelserás,Teruel,44068,47.0,0.0,99.0,100.0
Castielfabib,Valencia,46092,47.29,0.0,99.71,85.71
Castiello de Jaca,Huesca,22086,74.5,74.5,100.0,100.0
Castigaleu,Huesca,22087,47.5,0.0,99.5,99.5
Castil de Peones,Burgos,9083,100.0,0.0,100.0,100.0
Castil de Vela,Palencia,34048,0.0,0.0,100.0,23.0
Castilblanco,Badajoz,6035,100.0,100.0,100.0,100.0
Castilblanco de los Arroyos,Sevilla,41027,100.0,100.0,100.0,100.0
Castildelgado,Burgos,9082,100.0,0.0,100.0,100.0
Castilfalé,León,24042,0.0,0.0,100.0,47.0
Castilforte,Guadalajara,19078,100.0,0.0,100.0,100.0
Castilfrío de la Sierra,Soria,42056,32.0,0.0,100.0,100.0
Castiliscar,Zaragoza,50078,0.0,0.0,100.0,100.0
Castillazuelo,Huesca,22088,100.0,100.0,99.0,100.0
Castilleja de Guzmán,Sevilla,41028,86.0,86.0,100.0,100.0
Castilleja de la Cuesta,Sevilla,41029,100.0,100.0,100.0,100.0
Castilleja del Campo,Sevilla,41030,95.0,50.0,100.0,100.0
Castilléjar,Granada,18045,97.67,0.0,99.0,98.67
Castillejo de Iniesta,Cuenca,16068,100.0,100.0,100.0,100.0
Castillejo de Martín Viejo,Salamanca,37096,24.0,0.0,78.0,35.5
Castillejo de Mesleón,Segovia,40046,25.5,0.0,100.0,100.0
Castillejo de Robledo,Soria,42058,0.0,0.0,99.0,99.0
Castillejo-Sierra,Cuenca,16070,0.0,0.0,100.0,99.0
Castillo de Bayuela,Toledo,45043,97.0,0.0,100.0,100.0
Castillo de Garcimuñoz,Cuenca,16072,100.0,0.0,100.0,100.0
Castillo de las Guardas (El),Sevilla,41031,15.79,0.0,99.29,96.79
Castillo de Locubín,Jaén,23026,42.78,22.0,99.56,99.22
Castillo de Villamalefa,Castellón,12041,7.14,7.14,68.36,47.36
Castillo-Albaráñez,Cuenca,16071,0.0,0.0,99.0,81.0
Castillonroy,Huesca,22089,31.67,0.0,98.0,95.33
Castillonuevo,Navarra,31071,0.0,0.0,100.0,87.0
Castilnuevo,Guadalajara,19079,0.0,0.0,100.0,100.0
Castilruiz,Soria,42057,99.0,0.0,100.0,100.0
Castraz,Salamanca,37097,24.5,0.0,92.0,97.75
Castrejón de la Peña,Palencia,34049,66.2,0.0,99.7,91.1
Castrejón de Trabancos,Valladolid,47037,12.0,0.0,98.0,53.0
Castrelo de Miño,Ourense,32022,72.7,6.91,99.56,99.77
Castrelo do Val,Ourense,32021,26.62,9.5,99.88,87.38
Castril,Granada,18046,97.5,49.83,100.0,98.0
Castrillo de Cabrera,León,24043,61.5,0.0,99.83,80.67
Castrillo de Don Juan,Palencia,34050,100.0,0.0,99.0,100.0
Castrillo de Duero,Valladolid,47038,1.0,0.0,95.0,100.0
Castrillo de la Guareña,Zamora,49040,26.0,0.0,100.0,100.0
Castrillo de la Reina,Burgos,9084,0.0,0.0,100.0,100.0
Castrillo de la Valduerna,León,24044,0.0,0.0,85.5,64.0
Castrillo de la Vega,Burgos,9085,100.0,0.0,100.0,100.0
Castrillo de Onielo,Palencia,34051,15.0,0.0,100.0,100.0
Castrillo de Riopisuerga,Burgos,9088,62.0,0.0,100.0,100.0
Castrillo de Villavega,Palencia,34052,97.0,0.0,90.0,84.0
Castrillo del Val,Burgos,9086,47.0,0.0,100.0,93.0
Castrillo Mota de Judíos,Burgos,9090,19.0,0.0,100.0,99.0
Castrillo-Tejeriego,Valladolid,47039,62.0,0.0,100.0,0.0
Castrillón,Asturias,33016,67.23,10.58,98.83,99.22
Castro Caldelas,Ourense,32023,38.37,0.0,99.35,99.25
Castro de Filabres,Almería,4033,0.0,0.0,100.0,100.0
Castro de Fuentidueña,Segovia,40047,0.0,0.0,99.0,99.0
Castro de Rei,Lugo,27010,77.51,2.61,99.97,99.98
Castro del Río,Córdoba,14019,51.0,37.8,91.0,93.4
Castro-Urdiales,Cantabria,39020,93.14,56.0,100.0,100.0
Castrobol,Valladolid,47040,28.0,0.0,99.0,99.0
Castrocalbón,León,24046,96.25,0.0,95.25,99.0
Castrocontrigo,León,24047,44.17,0.0,97.83,92.33
Castrodeza,Valladolid,47041,0.0,0.0,99.0,99.0
Castrogonzalo,Zamora,49041,100.0,86.0,100.0,100.0
Castrojeriz,Burgos,9091,33.33,0.0,99.17,72.5
Castrojimeno,Segovia,40048,0.0,0.0,100.0,81.0
Castromembibre,Valladolid,47042,0.0,0.0,100.0,100.0
Castromocho,Palencia,34053,100.0,0.0,100.0,99.0
Castromonte,Valladolid,47043,26.0,0.0,98.5,46.5
Castronuevo,Zamora,49042,60.0,0.0,100.0,100.0
Castronuevo de Esgueva,Valladolid,47044,90.0,0.0,100.0,100.0
Castronuño,Valladolid,47045,100.0,0.0,100.0,100.0
Castropodame,León,24049,100.0,0.0,100.0,100.0
Castropol,Asturias,33017,54.42,2.47,97.56,97.25
Castroponce,Valladolid,47046,37.0,0.0,84.0,80.0
Castroserna de Abajo,Segovia,40049,0.0,0.0,99.0,99.0
Castroserracín,Segovia,40051,0.0,0.0,99.0,99.0
Castrotierra de Valmadrigal,León,24050,97.0,0.0,100.0,100.0
Castroverde,Lugo,27011,73.36,0.0,99.62,99.79
Castroverde de Campos,Zamora,49043,100.0,0.0,100.0,100.0
Castroverde de Cerrato,Valladolid,47047,68.0,0.0,100.0,87.0
Castroviejo,La Rioja,26044,100.0,0.0,100.0,99.0
Castuera,Badajoz,6036,50.0,50.0,99.5,94.0
Catadau,Valencia,46093,100.0,93.0,100.0,100.0
Catarroja,Valencia,46094,100.0,100.0,100.0,100.0
Catí,Castellón,12042,9.09,9.09,96.36,98.27
Catllar (El),Tarragona,43043,93.04,67.13,99.91,99.91
Catoira,Pontevedra,36010,97.34,35.31,100.0,100.0
Catral,Alicante,3055,100.0,100.0,100.0,100.0
Caudete,Albacete,2025,100.0,100.0,100.0,100.0
Caudete de las Fuentes,Valencia,46095,100.0,100.0,100.0,100.0
Caudiel,Castellón,12043,100.0,100.0,99.0,99.0
Cava,Lleida,25071,0.0,0.0,92.67,79.33
Cavia,Burgos,9063,86.0,0.0,100.0,100.0
Cayuela,Burgos,9093,81.5,0.0,100.0,100.0
Cazalegas,Toledo,45045,95.0,77.0,100.0,100.0
Cazalilla,Jaén,23027,100.0,93.0,100.0,100.0
Cazalla de la Sierra,Sevilla,41032,25.86,24.71,86.14,89.71
Cazorla,Jaén,23028,65.09,16.0,99.36,95.91
Cazurra,Zamora,49044,100.0,0.0,100.0,100.0
Cea,León,24051,100.0,0.0,99.75,90.25
Cebanico,León,24052,12.43,0.0,100.0,95.57
Cebolla,Toledo,45046,100.0,9.0,100.0,100.0
Cebrecos,Burgos,9094,100.0,0.0,100.0,100.0
Cebreros,Ávila,5057,62.5,25.0,100.0,100.0
Cebrones del Río,León,24053,99.33,0.0,100.0,100.0
Ceclavín,Cáceres,10061,100.0,0.0,100.0,100.0
Cedeira,A Coruña,15022,55.14,1.07,99.75,99.41
Cedillo,Cáceres,10062,50.0,0.0,100.0,98.0
Cedillo de la Torre,Segovia,40052,0.0,0.0,100.0,95.0
Cedillo del Condado,Toledo,45047,49.25,45.75,100.0,100.0
Cedrillas,Teruel,44074,95.0,0.0,99.0,99.0
Cee,A Coruña,15023,84.33,32.08,100.0,99.71
Cehegín,Murcia,30017,77.07,17.5,94.86,93.64
Ceinos de Campos,Valladolid,47048,100.0,0.0,100.0,99.0
Celada del Camino,Burgos,9095,34.0,0.0,100.0,100.0
Celadas,Teruel,44075,95.0,0.0,100.0,100.0
Celanova,Ourense,32024,88.38,1.99,99.97,99.98
Cella,Teruel,44076,100.0,100.0,100.0,100.0
Cellera de Ter (La),Girona,17189,74.75,0.0,100.0,100.0
Cellorigo,La Rioja,26045,100.0,0.0,100.0,100.0
Celrà,Girona,17049,73.67,38.83,95.25,96.08
Cendea de Olza/Oltza Zendea,Navarra,31193,97.67,0.0,100.0,100.0
Cendejas de Enmedio,Guadalajara,19080,100.0,0.0,99.5,90.5
Cendejas de la Torre,Guadalajara,19081,50.0,0.0,97.0,100.0
Cenes de la Vega,Granada,18047,100.0,100.0,100.0,100.0
Cenicero,La Rioja,26046,100.0,9.0,100.0,100.0
Cenicientos,Madrid,28037,38.0,13.0,85.0,82.5
Cenizate,Albacete,2026,100.0,100.0,100.0,100.0
Cenlle,Ourense,32025,88.37,0.0,99.96,99.04
Centelles,Barcelona,8067,18.0,0.0,100.0,100.0
Centenera,Guadalajara,19082,100.0,0.0,100.0,100.0
Centenera de Andaluz,Soria,42059,0.0,0.0,100.0,44.0
Cepeda,Salamanca,37098,100.0,0.0,100.0,100.0
Cepeda la Mora,Ávila,5058,0.0,0.0,100.0,100.0
Cerbón,Soria,42060,38.5,0.0,50.0,50.0
Cerceda,A Coruña,15024,87.34,13.94,99.89,99.89
Cercedilla,Madrid,28038,87.8,69.2,100.0,100.0
Cercs,Barcelona,8268,58.2,0.0,100.0,100.0
Cerdà,Valencia,46096,100.0,100.0,100.0,100.0
Cerdanyola del Vallès,Barcelona,8266,99.0,50.0,100.0,100.0
Cerdedo-Cotobade,Pontevedra,36902,63.35,1.15,99.5,99.85
Cerdido,A Coruña,15025,76.55,0.0,99.83,99.53
Cereceda de la Sierra,Salamanca,37099,98.0,0.0,100.0,100.0
Cerecinos de Campos,Zamora,49046,100.0,0.0,94.0,86.0
Cerecinos del Carrizal,Zamora,49047,0.0,0.0,97.0,91.0
Cerezal de Peñahorcada,Salamanca,37100,97.0,0.0,100.0,99.0
Cerezo,Cáceres,10063,100.0,0.0,100.0,100.0
Cerezo de Abajo,Segovia,40053,33.0,0.0,100.0,100.0
Cerezo de Arriba,Segovia,40054,26.5,0.0,100.0,99.5
Cerezo de Río Tirón,Burgos,9098,100.0,0.0,100.0,100.0
Cernadilla,Zamora,49048,95.0,0.0,100.0,100.0
Cerollera (La),Teruel,44077,95.0,0.0,100.0,100.0
Cerralbo,Salamanca,37101,76.0,0.0,100.0,37.0
Cerralbos (Los),Toledo,45048,62.0,11.0,100.0,100.0
Cerratón de Juarros,Burgos,9100,0.0,0.0,83.0,93.0
Cerro (El),Salamanca,37102,55.0,0.0,99.5,99.0
Cerro de Andévalo (El),Huelva,21023,25.0,22.0,100.0,99.75
Cervantes,Lugo,27012,34.2,0.0,98.3,96.57
Cervatos de la Cueza,Palencia,34055,17.33,0.0,100.0,99.67
Cervelló,Barcelona,8068,97.88,96.38,100.0,100.0
Cervera,Lleida,25072,16.67,16.67,99.5,99.67
Cervera de Buitrago,Madrid,28039,50.0,50.0,99.5,99.5
Cervera de la Cañada,Zaragoza,50079,90.0,0.0,100.0,100.0
Cervera de los Montes,Toledo,45049,54.0,0.0,100.0,100.0
Cervera de Pisuerga,Palencia,34056,63.58,4.17,97.83,83.21
Cervera del Llano,Cuenca,16073,0.0,0.0,100.0,100.0
Cervera del Maestre,Castellón,12044,100.0,100.0,100.0,100.0
Cervera del Río Alhama,La Rioja,26047,64.83,50.0,100.0,94.17
Cerveruela,Zaragoza,50080,95.0,0.0,100.0,100.0
Cervià de les Garrigues,Lleida,25073,100.0,0.0,100.0,100.0
Cervià de Ter,Girona,17050,100.0,100.0,100.0,100.0
Cervillego de la Cruz,Valladolid,47049,100.0,0.0,100.0,86.0
Cervo,Lugo,27013,74.89,5.34,99.42,99.86
Cespedosa de Tormes,Salamanca,37103,100.0,0.0,99.0,99.0
Cetina,Zaragoza,50081,95.0,0.0,100.0,100.0
Ceuta,Ceuta,51001,81.67,69.67,100.0,97.0
Ceutí,Murcia,30018,100.0,100.0,100.0,100.0
Cevico de la Torre,Palencia,34057,99.0,0.0,100.0,100.0
Cevico Navero,Palencia,34058,100.0,0.0,100.0,100.0
Chagarcía Medianero,Salamanca,37114,80.0,0.0,100.0,100.0
Chalamera,Huesca,22094,95.0,0.0,100.0,100.0
Chamartín,Ávila,5067,0.0,0.0,100.0,100.0
Chandrexa de Queixa,Ourense,32029,54.09,0.0,99.77,99.94
Chantada,Lugo,27016,70.06,0.36,99.43,99.68
Chañe,Segovia,40065,0.0,0.0,100.0,100.0
Chapinería,Madrid,28051,89.5,89.5,100.0,100.0
Chauchina,Granada,18059,95.0,63.33,100.0,100.0
Checa,Guadalajara,19103,34.0,0.0,100.0,99.0
Cheles,Badajoz,6042,100.0,0.0,100.0,100.0
Chella,Valencia,46107,91.0,78.0,100.0,100.0
Chelva,Valencia,46106,33.33,33.33,100.0,92.33
Chequilla,Guadalajara,19104,0.0,0.0,100.0,99.0
Chera,Valencia,46108,93.0,93.0,100.0,99.0
Chercos,Almería,4036,25.0,0.0,100.0,100.0
Cheste,Valencia,46109,67.0,67.0,100.0,100.0
Chía,Huesca,22095,89.0,89.0,100.0,100.0
Chiclana de la Frontera,Cádiz,11015,90.0,72.5,100.0,100.0
Chiclana de Segura,Jaén,23029,60.0,60.0,100.0,92.4
Chilches/Xilxes,Castellón,12053,95.0,25.0,100.0,100.0
Chillarón de Cuenca,Cuenca,16023,90.5,0.0,99.5,99.5
Chillarón del Rey,Guadalajara,19106,100.0,0.0,99.5,99.5
Chillón,Ciudad Real,13038,100.0,100.0,100.0,100.0
Chilluévar,Jaén,23030,26.75,18.75,100.0,100.0
Chiloeches,Guadalajara,19105,80.29,55.14,99.86,99.86
Chimeneas,Granada,18061,76.0,42.5,100.0,99.5
Chimillas,Huesca,22096,59.0,29.0,100.0,100.0
Chinchilla de Monte-Aragón,Albacete,2029,70.56,22.22,100.0,91.89
Chinchón,Madrid,28052,32.92,16.58,98.33,97.92
Chipiona,Cádiz,11016,56.0,41.5,100.0,100.0
Chiprana,Zaragoza,50092,100.0,100.0,100.0,100.0
Chirivel,Almería,4037,44.44,1.78,91.22,92.11
Chiva,Valencia,46111,44.0,44.0,100.0,100.0
Chodes,Zaragoza,50093,100.0,0.0,100.0,100.0
Chodos/Xodos,Castellón,12055,0.0,0.0,100.0,97.0
Chóvar,Castellón,12056,100.0,100.0,100.0,100.0
Chozas de Abajo,León,24065,67.78,0.0,89.89,89.89
Chozas de Canales,Toledo,45056,88.67,66.67,100.0,100.0
Chucena,Huelva,21030,100.0,100.0,100.0,100.0
Chueca,Toledo,45057,100.0,0.0,100.0,100.0
Chulilla,Valencia,46112,76.6,39.2,99.4,99.8
Chumillas,Cuenca,16081,0.0,0.0,100.0,14.0
Churriana de la Vega,Granada,18062,100.0,100.0,100.0,100.0
Ciadoncha,Burgos,9101,100.0,0.0,100.0,100.0
Cidamón,La Rioja,26048,100.0,0.0,100.0,100.0
Cidones,Soria,42061,73.25,0.0,100.0,100.0
Ciempozuelos,Madrid,28040,10.44,10.44,99.0,98.78
Cierva (La),Cuenca,16074,0.0,0.0,100.0,39.0
Cieza,Cantabria,30019,66.0,0.0,100.0,100.0
Cieza,Murcia,39021,61.0,14.0,98.0,100.0
Cifuentes,Guadalajara,19086,90.91,7.09,99.91,79.45
Cigales,Valladolid,47050,93.0,93.0,100.0,100.0
Cigudosa,Soria,42062,0.0,0.0,100.0,99.0
Ciguñuela,Valladolid,47051,100.0,100.0,100.0,99.0
Cihuela,Soria,42063,88.0,0.0,100.0,95.0
Cihuri,La Rioja,26049,100.0,100.0,100.0,100.0
Cijuela,Granada,18048,100.0,100.0,100.0,100.0
Cillán,Ávila,5059,100.0,0.0,100.0,40.0
Cillaperlata,Burgos,9102,100.0,0.0,100.0,100.0
Cilleros,Cáceres,10064,49.5,0.0,80.0,66.5
Cilleros de la Bastida,Salamanca,37104,98.0,0.0,100.0,100.0
Cilleruelo de Abajo,Burgos,9103,64.0,0.0,100.0,44.0
Cilleruelo de Arriba,Burgos,9104,89.0,0.0,100.0,99.0
Cilleruelo de San Mamés,Segovia,40055,0.0,0.0,100.0,100.0
Cillorigo de Liébana,Cantabria,39022,44.89,4.28,98.22,97.61
Cimanes de la Vega,León,24054,100.0,0.0,100.0,100.0
Cimanes del Tejar,León,24055,84.17,0.0,100.0,100.0
Cimballa,Zaragoza,50082,95.0,0.0,100.0,32.0
Cinco Olivas,Zaragoza,50083,100.0,0.0,100.0,100.0
Cincovillas,Guadalajara,19087,0.0,0.0,100.0,90.0
Cinctorres,Castellón,12045,100.0,100.0,100.0,95.0
Cintruénigo,Navarra,31072,90.0,79.0,100.0,100.0
Cipérez,Salamanca,37106,54.86,0.0,96.86,94.43
Cirat,Castellón,12046,94.0,33.33,100.0,99.0
Cirauqui/Zirauki,Navarra,31074,100.0,11.0,100.0,100.0
Ciria,Soria,42064,0.0,0.0,100.0,99.0
Ciriza/Ziritza,Navarra,31075,50.0,0.0,99.5,99.5
Ciruelas,Guadalajara,19088,100.0,0.0,100.0,100.0
Ciruelos,Toledo,45050,95.0,0.0,99.0,99.0
Ciruelos de Cervera,Burgos,9105,0.0,0.0,100.0,85.5
Ciruelos del Pinar,Guadalajara,19089,0.0,0.0,100.0,34.0
Cirueña,La Rioja,26050,100.0,0.0,100.0,100.0
Cirujales del Río,Soria,42065,100.0,0.0,100.0,100.0
Cisla,Ávila,5060,0.0,0.0,100.0,59.0
Cisneros,Palencia,34059,100.0,0.0,100.0,100.0
Cistella,Girona,17051,72.8,72.8,100.0,100.0
Cistérniga,Valladolid,47052,100.0,100.0,100.0,100.0
Cistierna,León,24056,63.64,31.0,98.36,79.82
Ciudad Real,Ciudad Real,13034,90.0,65.33,100.0,100.0
Ciudad Rodrigo,Salamanca,37107,74.0,12.25,99.88,97.5
Ciutadella de Menorca,Illes Balears,7015,52.55,52.55,98.73,95.64
Ciutadilla,Lleida,25074,36.0,0.0,98.0,100.0
Cizur,Navarra,31076,87.45,7.09,99.91,99.91
Clarés de Ribota,Zaragoza,50084,95.0,0.0,100.0,83.0
Clariana de Cardener,Lleida,25075,52.5,0.0,100.0,99.75
Clavijo,La Rioja,26051,0.0,0.0,100.0,100.0
Coaña,Asturias,33018,67.36,1.2,98.82,97.78
Cóbdar,Almería,4034,100.0,0.0,100.0,99.0
Cobeja,Toledo,45051,100.0,100.0,100.0,100.0
Cobeña,Madrid,28041,38.5,38.5,100.0,100.0
Cobeta,Guadalajara,19090,0.0,0.0,100.0,95.0
Cobisa,Toledo,45052,98.0,98.0,100.0,100.0
Cobos de Cerrato,Palencia,34060,0.0,0.0,100.0,88.0
Cobos de Fuentidueña,Segovia,40056,100.0,0.0,95.0,100.0
Cobreros,Zamora,49050,87.54,0.0,100.0,100.0
Coca,Segovia,40057,33.33,26.33,100.0,98.0
Coca de Alba,Salamanca,37108,88.0,0.0,100.0,100.0
Cocentaina,Alicante,3056,94.25,60.5,99.88,99.88
Codo,Zaragoza,50085,95.0,0.0,87.0,100.0
Codoñera (La),Teruel,44080,95.0,0.0,100.0,100.0
Codorniz,Segovia,40058,0.0,0.0,100.0,100.0
Codos,Zaragoza,50086,95.0,0.0,99.0,100.0
Codosera (La),Badajoz,6037,35.29,14.29,98.86,96.29
Cofrentes,Valencia,46097,97.0,11.0,100.0,100.0
Cogeces de Íscar,Valladolid,47053,100.0,0.0,100.0,100.0
Cogeces del Monte,Valladolid,47054,100.0,13.0,100.0,99.0
Cogollor,Guadalajara,19091,100.0,0.0,100.0,100.0
Cogollos,Burgos,9108,100.0,100.0,100.0,100.0
Cogollos de Guadix,Granada,18049,100.0,100.0,100.0,100.0
Cogollos de la Vega,Granada,18050,100.0,71.0,100.0,100.0
Cogolludo,Guadalajara,19092,40.0,0.0,96.6,84.0
Cogul (El),Lleida,25076,0.0,0.0,100.0,100.0
Coín,Málaga,29042,100.0,100.0,100.0,100.0
Coirós,A Coruña,15027,86.55,68.97,99.84,99.87
Colera,Girona,17054,47.5,0.0,84.0,76.0
