municipio,provincia,codigo_INE,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g
Coles,Ourense,32026,81.56,3.9,99.95,99.95
Colilla (La),Ávila,5061,97.0,0.0,100.0,100.0
Colindres,Cantabria,39023,100.0,100.0,100.0,100.0
Coll de Nargó,Lleida,25077,16.67,16.67,97.17,82.5
Collado de Contreras,Ávila,5062,100.0,0.0,100.0,100.0
Collado de la Vera,Cáceres,10065,45.5,27.5,92.0,97.5
Collado del Mirón,Ávila,5063,0.0,0.0,100.0,99.0
Collado Hermoso,Segovia,40059,100.0,100.0,100.0,97.0
Collado Mediano,Madrid,28046,95.25,89.0,100.0,100.0
Collado Villalba,Madrid,28047,62.83,62.83,99.67,98.5
Collazos de Boedo,Palencia,34061,0.0,0.0,99.0,99.0
Collbató,Barcelona,8069,86.9,72.2,99.7,99.7
Colldejou,Tarragona,43045,0.0,0.0,100.0,25.0
Collsuspina,Barcelona,8070,5.67,0.0,100.0,100.0
Colmenar,Málaga,29043,48.0,20.0,99.4,99.6
Colmenar de Montemayor,Salamanca,37109,100.0,0.0,100.0,100.0
Colmenar de Oreja,Madrid,28043,47.82,34.55,96.09,98.18
Colmenar del Arroyo,Madrid,28042,87.5,87.5,100.0,100.0
Colmenar Viejo,Madrid,28045,47.67,47.67,100.0,100.0
Colmenarejo,Madrid,28044,95.0,95.0,100.0,100.0
Colomera,Granada,18051,100.0,100.0,100.0,94.0
Colomers,Girona,17055,100.0,100.0,100.0,100.0
Colunga,Asturias,33019,73.37,11.11,100.0,98.48
Colungo,Huesca,22090,95.0,24.0,94.0,100.0
Coma i la Pedra (La),Lleida,25163,48.33,13.0,100.0,100.0
Comares,Málaga,29044,82.0,7.6,100.0,100.0
Comillas,Cantabria,39024,73.14,12.14,99.86,99.86
Cómpeta,Málaga,29045,85.0,0.0,100.0,99.0
Conca de Dalt,Lleida,25161,100.0,0.0,100.0,96.25
Condado de Castilnovo,Segovia,40060,11.25,0.0,100.0,99.75
Condado de Treviño,Burgos,9109,40.94,0.0,98.98,94.81
Condemios de Abajo,Guadalajara,19095,0.0,0.0,100.0,100.0
Condemios de Arriba,Guadalajara,19096,0.0,0.0,100.0,49.5
Conesa,Tarragona,43046,0.0,0.0,100.0,9.0
Confrides,Alicante,3057,100.0,100.0,100.0,99.0
Congosto,León,24057,100.0,0.0,100.0,100.0
Congosto de Valdavia,Palencia,34062,33.33,0.0,100.0,79.0
Congostrina,Guadalajara,19097,100.0,0.0,100.0,99.0
Conil de la Frontera,Cádiz,11014,97.8,97.8,100.0,100.0
Conquista,Córdoba,14020,100.0,100.0,100.0,100.0
Conquista de la Sierra,Cáceres,10066,0.0,0.0,100.0,99.0
Consell,Illes Balears,7016,96.0,96.0,100.0,100.0
Constantí,Tarragona,43047,100.0,100.0,100.0,100.0
Constantina,Sevilla,41033,53.14,24.57,96.29,96.43
Constanzana,Ávila,5064,98.0,0.0,100.0,100.0
Consuegra,Toledo,45053,100.0,100.0,100.0,100.0
Contamina,Zaragoza,50087,0.0,0.0,100.0,100.0
Contreras,Burgos,9110,0.0,0.0,100.0,15.0
Coomonte,Zamora,49052,100.0,0.0,100.0,100.0
Copernal,Guadalajara,19098,100.0,0.0,100.0,100.0
Copons,Barcelona,8071,22.0,0.0,100.0,100.0
Corbalán,Teruel,44082,95.0,0.0,100.0,99.0
Corbera,Valencia,46098,88.0,69.0,100.0,100.0
Corbera d'Ebre,Tarragona,43048,100.0,100.0,100.0,100.0
Corbera de Llobregat,Barcelona,8072,100.0,100.0,100.0,100.0
Corbillos de los Oteros,León,24058,71.75,0.0,100.0,100.0
Corbins,Lleida,25078,98.0,9.0,100.0,100.0
Corçà,Girona,17057,84.25,7.75,100.0,100.0
Corcos,Valladolid,47055,90.5,0.0,100.0,96.5
Corcubión,A Coruña,15028,73.14,14.86,100.0,100.0
Córdoba,Córdoba,14021,75.33,51.17,99.54,99.75
Cordobilla de Lácara,Badajoz,6038,100.0,0.0,100.0,100.0
Cordovilla,Salamanca,37110,49.0,0.0,99.5,99.5
Cordovilla la Real,Palencia,34063,25.6,0.0,97.6,98.8
Cordovín,La Rioja,26052,100.0,100.0,100.0,100.0
Corduente,Guadalajara,19099,7.73,0.0,97.55,96.0
Corella,Navarra,31077,92.0,92.0,100.0,100.0
Corera,La Rioja,26053,100.0,0.0,100.0,100.0
Coreses,Zamora,49053,64.67,0.0,99.67,99.67
Corgo (O),Lugo,27014,61.46,3.0,99.85,99.86
Coria,Cáceres,10067,97.0,31.67,99.67,100.0
Coria del Río,Sevilla,41034,76.33,37.33,100.0,100.0
Coripe,Sevilla,41035,100.0,100.0,100.0,100.0
Coristanco,A Coruña,15029,86.18,17.82,99.89,99.99
Cornago,La Rioja,26054,50.0,50.0,95.0,86.0
Cornellà de Llobregat,Barcelona,8073,94.6,94.6,100.0,100.0
Cornellà del Terri,Girona,17056,95.9,65.6,100.0,100.0
Cornudella de Montsant,Tarragona,43049,35.0,0.0,100.0,97.0
Coronada (La),Badajoz,6039,100.0,77.0,100.0,100.0
Coronil (El),Sevilla,41036,100.0,100.0,100.0,100.0
Corpa,Madrid,28048,89.0,89.0,100.0,30.0
Corporales,La Rioja,26055,0.0,0.0,100.0,100.0
Corral de Almaguer,Toledo,45054,73.0,73.0,100.0,100.0
Corral de Ayllón,Segovia,40061,27.0,0.0,100.0,100.0
Corral de Calatrava,Ciudad Real,13035,99.0,0.0,100.0,100.0
Corral-Rubio,Albacete,2027,0.0,0.0,100.0,85.0
Corrales (Los),Sevilla,41037,100.0,100.0,100.0,100.0
Corrales de Buelna (Los),Cantabria,39025,85.0,22.83,99.0,99.67
Corrales de Duero,Valladolid,47056,0.0,0.0,100.0,99.0
Corrales del Vino,Zamora,49054,55.33,0.0,99.67,99.67
Corte de Peleas,Badajoz,6040,50.0,5.0,100.0,100.0
Corteconcepción,Huelva,21024,98.0,96.5,100.0,100.0
Cortegada,Ourense,32027,71.49,0.0,99.95,99.93
Cortegana,Huelva,21025,45.5,16.67,100.0,99.83
Cortelazor,Huelva,21026,100.0,100.0,100.0,100.0
Cortes,Navarra,31078,100.0,88.0,100.0,100.0
Cortes de Aragón,Teruel,44084,95.0,0.0,100.0,99.0
Cortes de Arenoso,Castellón,12048,50.0,50.0,100.0,99.0
Cortes de Baza,Granada,18053,91.67,33.33,97.17,100.0
