codigo_ine,municipio,provincia,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades
12042,Catí,Castellón,Catí,1,0,0,2,0
43043,Catllar (El),Tarragona,El Catllar,1,0,0,5,0
36010,Catoira,Pontevedra,Catoira,1,0,0,1,0
3055,Catral,Alicante,Catral,1,0,0,8,0
2025,Caudete,Albacete,Caudete,1,1,0,11,0
46095,Caudete de las Fuentes,Valencia,Caudete de las Fuentes,1,0,0,2,0
12043,Caudiel,Castellón,Caudiel,1,0,0,1,0
25071,Cava,Lleida,Cava,0,0,0,0,0
9063,Cavia,Burgos,Cavia,1,0,0,0,0
9093,Cayuela,Burgos,Cayuela,2,0,0,0,0
45045,Cazalegas,Toledo,Cazalegas,1,0,0,2,0
23027,Cazalilla,Jaén,Cazalilla,1,0,0,2,0
41032,Cazalla de la Sierra,Sevilla,Cazalla de la Sierra,1,1,0,7,0
23028,Cazorla,Jaén,Cazorla,3,1,1,15,0
49044,Cazurra,Zamora,Cazurra,1,0,0,0,0
24051,Cea,León,Cea,4,0,0,1,0
24052,Cebanico,León,Cebanico,2,0,0,0,0
45046,Cebolla,Toledo,Cebolla,1,1,0,3,0
9094,Cebrecos,Burgos,Cebrecos,1,0,0,0,0
5057,Cebreros,Ávila,Cebreros,1,1,0,4,0
24053,Cebrones del Río,León,Cebrones del Río,3,0,0,0,0
10061,Ceclavín,Cáceres,Ceclavín,1,1,0,2,0
15022,Cedeira,A Coruña,Cedeira,1,1,0,8,0
10062,Cedillo,Cáceres,Cedillo,1,0,0,0,0
40052,Cedillo de la Torre,Segovia,Cedillo de la Torre,1,0,0,0,0
45047,Cedillo del Condado,Toledo,Cedillo del Condado,1,0,0,2,0
44074,Cedrillas,Teruel,Cedrillas,1,1,0,2,0
15023,Cee,A Coruña,Cee,1,1,1,7,0
30017,Cehegín,Murcia,Cehegín,6,2,1,10,0
47048,Ceinos de Campos,Valladolid,Ceinos de Campos,1,0,0,0,0
9095,Celada del Camino,Burgos,Celada del Camino,1,0,0,0,0
44075,Celadas,Teruel,Celadas,1,0,0,0,0
32024,Celanova,Ourense,Celanova,1,1,0,4,0
44076,Cella,Teruel,Cella,1,1,0,4,0
17189,Cellera de Ter (La),Girona,La Cellera de Ter,1,0,0,2,0
26045,Cellorigo,La Rioja,Cellorigo,1,0,0,0,0
17049,Celrà,Girona,Celrà,1,1,0,6,0
31193,Cendea de Olza/Oltza Zendea,Navarra,Cendea de Olza/Oltza Zendea,2,0,0,0,0
19080,Cendejas de Enmedio,Guadalajara,Cendejas de Enmedio,2,0,0,0,0
19081,Cendejas de la Torre,Guadalajara,Cendejas de la Torre,1,0,0,0,0
18047,Cenes de la Vega,Granada,Cenes de la Vega,1,0,0,3,0
26046,Cenicero,La Rioja,Cenicero,1,0,0,2,0
28037,Cenicientos,Madrid,Cenicientos,1,0,0,2,0
2026,Cenizate,Albacete,Cenizate,1,0,0,3,0
32025,Cenlle,Ourense,Cenlle,2,0,0,1,0
8067,Centelles,Barcelona,Centelles,1,1,0,8,0
19082,Centenera,Guadalajara,Centenera,1,0,0,0,0
42059,Centenera de Andaluz,Soria,Centenera de Andaluz,1,0,0,0,0
37098,Cepeda,Salamanca,Cepeda,1,0,0,0,0
5058,Cepeda la Mora,Ávila,Cepeda la Mora,1,0,0,0,0
42060,Cerbón,Soria,Cerbón,1,0,0,0,0
15024,Cerceda,A Coruña,Cerceda,2,0,0,4,0
28038,Cercedilla,Madrid,Cercedilla,1,1,1,5,0
8268,Cercs,Barcelona,Cercs,4,0,0,1,0
46096,Cerdà,Valencia,Cerdà,1,0,0,1,0
8266,Cerdanyola del Vallès,Barcelona,Cerdanyola del Vallès,4,0,0,41,1
36902,Cerdedo-Cotobade,Pontevedra,Cerdedo-Cotobade,0,1,0,0,0
15025,Cerdido,A Coruña,Cerdido,1,0,0,0,0
37099,Cereceda de la Sierra,Salamanca,Cereceda de la Sierra,1,0,0,0,0
49046,Cerecinos de Campos,Zamora,Cerecinos de Campos,1,0,0,0,0
49047,Cerecinos del Carrizal,Zamora,Cerecinos del Carrizal,1,0,0,0,0
37100,Cerezal de Peñahorcada,Salamanca,Cerezal de Peñahorcada,1,0,0,0,0
10063,Cerezo,Cáceres,Cerezo,1,0,0,1,0
40053,Cerezo de Abajo,Segovia,Cerezo de Abajo,1,0,0,0,0
40054,Cerezo de Arriba,Segovia,Cerezo de Arriba,1,0,0,0,0
9098,Cerezo de Río Tirón,Burgos,Cerezo de Río Tirón,1,0,0,1,0
49048,Cernadilla,Zamora,Cernadilla,2,0,0,0,0
44077,Cerollera (La),Teruel,La Cerollera,1,0,0,0,0
37101,Cerralbo,Salamanca,Cerralbo,1,0,0,0,0
45048,Cerralbos (Los),Toledo,Los Cerralbos,1,0,0,1,0
9100,Cerratón de Juarros,Burgos,Cerratón de Juarros,1,0,0,0,0
37102,Cerro (El),Salamanca,El Cerro,1,0,0,0,0
21023,Cerro de Andévalo (El),Huelva,El Cerro de Andévalo,2,1,0,3,0
27012,Cervantes,Lugo,Cervantes,2,1,0,0,0
34055,Cervatos de la Cueza,Palencia,Cervatos de la Cueza,3,0,0,0,0
8068,Cervelló,Barcelona,Cervelló,1,0,0,6,0
25072,Cervera,Lleida,Cervera,2,1,0,10,0
28039,Cervera de Buitrago,Madrid,Cervera de Buitrago,1,0,0,1,0
50079,Cervera de la Cañada,Zaragoza,Cervera de la Cañada,1,0,0,0,0
45049,Cervera de los Montes,Toledo,Cervera de los Montes,1,0,0,0,0
34056,Cervera de Pisuerga,Palencia,Cervera de Pisuerga,8,1,0,2,0
16073,Cervera del Llano,Cuenca,Cervera del Llano,1,0,0,0,0
12044,Cervera del Maestre,Castellón,Cervera del Maestre,1,0,0,1,0
26047,Cervera del Río Alhama,La Rioja,Cervera del Río Alhama,4,1,0,3,0
50080,Cerveruela,Zaragoza,Cerveruela,1,0,0,0,0
25073,Cervià de les Garrigues,Lleida,Cervià de les Garrigues,1,0,0,1,0
17050,Cervià de Ter,Girona,Cervià de Ter,1,0,0,2,0
47049,Cervillego de la Cruz,Valladolid,Cervillego de la Cruz,1,0,0,0,0
27013,Cervo,Lugo,Cervo,2,0,0,5,0
37103,Cespedosa de Tormes,Salamanca,Cespedosa de Tormes,1,0,0,1,0
50081,Cetina,Zaragoza,Cetina,1,0,0,0,0
51001,Ceuta,Ceuta,Ceuta,3,1,1,43,1
30018,Ceutí,Murcia,Ceutí,2,1,0,11,0
34057,Cevico de la Torre,Palencia,Cevico de la Torre,1,0,0,1,0
34058,Cevico Navero,Palencia,Cevico Navero,1,0,0,0,0
37114,Chagarcía Medianero,Salamanca,Chagarcía Medianero,1,0,0,0,0
22094,Chalamera,Huesca,Chalamera,1,0,0,1,0
5067,Chamartín,Ávila,Chamartín,1,0,0,0,0
32029,Chandrexa de Queixa,Ourense,Chandrexa de Queixa,1,0,0,0,0
27016,Chantada,Lugo,Chantada,1,1,0,6,0
40065,Chañe,Segovia,Chañe,1,0,0,1,0
28051,Chapinería,Madrid,Chapinería,1,0,0,4,0
18059,Chauchina,Granada,Chauchina,3,0,0,8,0
19103,Checa,Guadalajara,Checa,1,1,0,1,0
6042,Cheles,Badajoz,Cheles,1,0,0,1,0
46107,Chella,Valencia,Chella,1,1,0,4,0
46106,Chelva,Valencia,Chelva,1,1,0,4,0
19104,Chequilla,Guadalajara,Chequilla,1,0,0,0,0
46108,Chera,Valencia,Chera,1,1,0,0,0
4036,Chercos,Almería,Chercos,1,0,0,0,0
46109,Cheste,Valencia,Cheste,1,1,0,11,0
22095,Chía,Huesca,Chía,1,0,0,0,0
11015,Chiclana de la Frontera,Cádiz,Chiclana de la Frontera,3,1,2,61,0
23029,Chiclana de Segura,Jaén,Chiclana de Segura,3,0,0,1,0
12053,Chilches/Xilxes,Castellón,Chilches/Xilxes,2,0,0,4,0
16023,Chillarón de Cuenca,Cuenca,Chillarón de Cuenca,2,0,0,0,0
19106,Chillarón del Rey,Guadalajara,Chillarón del Rey,1,0,0,0,0
13038,Chillón,Ciudad Real,Chillón,1,0,0,2,0
23030,Chilluévar,Jaén,Chilluévar,1,0,0,2,0
19105,Chiloeches,Guadalajara,Chiloeches,1,1,0,4,0
18061,Chimeneas,Granada,Chimeneas,2,0,0,1,0
22096,Chimillas,Huesca,Chimillas,1,0,0,2,0
2029,Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,4,1,0,4,0
28052,Chinchón,Madrid,Chinchón,1,1,0,5,0
11016,Chipiona,Cádiz,Chipiona,2,1,0,13,0
50092,Chiprana,Zaragoza,Chiprana,1,0,0,1,0
4037,Chirivel,Almería,Chirivel,2,1,0,3,0
