codigo_ine,municipio,provincia,municipio_nombre_humano,num_colegios,num_universidades
46043,Aielo de Rugat,Valencia,Aielo de Rugat,0,0
8014,Aiguafreda,Barcelona,Aiguafreda,2,0
43001,Aiguamúrcia,Tarragona,Aiguamúrcia,2,0
17002,Aiguaviva,Girona,Aiguaviva,0,0
3004,Aigües,Alicante,Aigües,1,0
12002,Aín,Castellón,Aín,0,0
22907,Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,0,0
50006,Ainzón,Zaragoza,Ainzón,2,0
22006,Aisa,Huesca,Aisa,0,0
25038,Aitona,Lleida,Aitona,2,0
20003,Aizarnazabal,Gipuzkoa,Aizarnazabal,4,0
28002,Ajalvir,Madrid,Ajalvir,3,0
26004,Ajamil de Cameros,La Rioja,Ajamil de Cameros,0,0
48911,Ajangiz,Bizkaia,Ajangiz,0,0
45001,Ajofrín,Toledo,Ajofrín,2,0
44006,Alacón,Teruel,Alacón,0,0
50007,Aladrén,Zaragoza,Aladrén,0,0
47004,Alaejos,Valladolid,Alaejos,1,0
50008,Alagón,Zaragoza,Alagón,7,0
10903,Alagón del Río,Cáceres,Alagón del Río,0,0
7002,Alaior,Illes Balears,Alaior,7,1
21001,Alájar,Huelva,Alájar,1,0
38003,Alajeró,Santa Cruz de Tenerife,Alajeró,1,0
29001,Alameda,Málaga,Alameda,4,0
37005,Alameda de Gardón (La),Salamanca,La Alameda de Gardón,0,0
45002,Alameda de la Sagra,Toledo,Alameda de la Sagra,2,0
28003,Alameda del Valle,Madrid,Alameda del Valle,0,0
18002,Alamedilla,Granada,Alamedilla,0,0
37006,Alamedilla (La),Salamanca,La Alamedilla,0,0
13003,Alamillo,Ciudad Real,Alamillo,1,0
19004,Alaminos,Guadalajara,Alaminos,0,0
28004,Álamo (El),Madrid,El Álamo,6,0
25004,Alamús (Els),Lleida,Els Alamús,2,0
6004,Alange,Badajoz,Alange,1,0
41002,Alanís,Sevilla,Alanís,3,0
46005,Alaquàs,Valencia,Alaquàs,20,0
34005,Alar del Rey,Palencia,Alar del Rey,1,0
37007,Alaraz,Salamanca,Alaraz,0,0
50009,Alarba,Zaragoza,Alarba,0,0
16003,Alarcón,Cuenca,Alarcón,0,0
19005,Alarilla,Guadalajara,Alarilla,0,0
7001,Alaró,Illes Balears,Alaró,3,0
25005,Alàs i Cerc,Lleida,Alàs i Cerc,0,0
2002,Alatoz,Albacete,Alatoz,0,0
44007,Alba,Teruel,Alba,0,0
34006,Alba de Cerrato,Palencia,Alba de Cerrato,0,0
37008,Alba de Tormes,Salamanca,Alba de Tormes,7,0
37009,Alba de Yeltes,Salamanca,Alba de Yeltes,0,0
2003,Albacete,Albacete,Albacete,132,1
25006,Albagés (L'),Lleida,L' Albagés,0,0
46006,Albaida,Valencia,Albaida,0,0
41003,Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,3,0
46007,Albal,Valencia,Albal,15,1
