municipio,provincia,codigo_ine,num_centros_salud,municipio_nombre_humano
Aldea de San Nicolás (La),Las Palmas,35020,2,La Aldea de San Nicolás
Aldea del Cano,Cáceres,10012,1,Aldea del Cano
Aldea del Fresno,Madrid,28008,1,Aldea del Fresno
Aldea del Obispo,Salamanca,37015,2,Aldea del Obispo
Aldea del Obispo (La),Cáceres,10013,1,La Aldea del Obispo
Aldea del Rey,Ciudad Real,13009,1,Aldea del Rey
Aldea en Cabo,Toledo,45008,1,Aldea en Cabo
Aldea Real,Segovia,40012,1,Aldea Real
Aldeacentenera,Cáceres,10011,1,Aldeacentenera
Aldeacipreste,Salamanca,37013,2,Aldeacipreste
Aldeadávila de la Ribera,Salamanca,37014,1,Aldeadávila de la Ribera
Aldealafuente,Soria,42009,2,Aldealafuente
Aldealcorvo,Segovia,40006,1,Aldealcorvo
Aldealengua,Salamanca,37016,1,Aldealengua
Aldealengua de Pedraza,Segovia,40007,1,Aldealengua de Pedraza
Aldealengua de Santa María,Segovia,40008,1,Aldealengua de Santa María
Aldealices,Soria,42010,1,Aldealices
Aldealpozo,Soria,42011,1,Aldealpozo
Aldealseñor,Soria,42012,1,Aldealseñor
Aldeamayor de San Martín,Valladolid,47007,1,Aldeamayor de San Martín
Aldeanueva de Barbarroya,Toledo,45009,1,Aldeanueva de Barbarroya
Aldeanueva de Ebro,La Rioja,26008,1,Aldeanueva de Ebro
Aldeanueva de Figueroa,Salamanca,37017,1,Aldeanueva de Figueroa
Aldeanueva de Guadalajara,Guadalajara,19015,1,Aldeanueva de Guadalajara
Aldeanueva de la Serrezuela,Segovia,40009,1,Aldeanueva de la Serrezuela
Aldeanueva de la Sierra,Salamanca,37018,1,Aldeanueva de la Sierra
Aldeanueva de la Vera,Cáceres,10014,1,Aldeanueva de la Vera
Aldeanueva de San Bartolomé,Toledo,45010,1,Aldeanueva de San Bartolomé
Aldeanueva de Santa Cruz,Ávila,5007,1,Aldeanueva de Santa Cruz
Aldeanueva del Camino,Cáceres,10015,1,Aldeanueva del Camino
Aldeanueva del Codonal,Segovia,40010,1,Aldeanueva del Codonal
Aldeaquemada,Jaén,23004,1,Aldeaquemada
Aldearrodrigo,Salamanca,37019,1,Aldearrodrigo
Aldearrubia,Salamanca,37020,1,Aldearrubia
Aldeaseca,Ávila,5008,1,Aldeaseca
Aldeaseca de Alba,Salamanca,37021,1,Aldeaseca de Alba
Aldeaseca de la Frontera,Salamanca,37022,1,Aldeaseca de la Frontera
Aldeasoña,Segovia,40013,1,Aldeasoña
Aldeatejada,Salamanca,37023,1,Aldeatejada
Aldeavieja de Tormes,Salamanca,37024,1,Aldeavieja de Tormes
Aldehorno,Segovia,40014,1,Aldehorno
Aldehuela (La),Ávila,5010,1,La Aldehuela
Aldehuela de Jerte,Cáceres,10016,1,Aldehuela de Jerte
Aldehuela de la Bóveda,Salamanca,37025,1,Aldehuela de la Bóveda
Aldehuela de Liestos,Zaragoza,50016,1,Aldehuela de Liestos
Aldehuela de Periáñez,Soria,42013,0,Aldehuela de Periáñez
Aldehuela de Yeltes,Salamanca,37026,1,Aldehuela de Yeltes
Aldehuela del Codonal,Segovia,40015,1,Aldehuela del Codonal
Aldehuelas (Las),Soria,42014,3,Las Aldehuelas
Aldeire,Granada,18010,1,Aldeire
Aldeonte,Segovia,40016,2,Aldeonte
Aldover,Tarragona,43006,1,Aldover
Aledo,Murcia,30006,1,Aledo
Alegia,Gipuzkoa,20005,1,Alegia
Alegría-Dulantzi,Álava,1001,1,Alegría-Dulantzi
Aleixar (L'),Tarragona,43007,1,L' Aleixar
Alella,Barcelona,8003,1,Alella
Alentisque,Soria,42015,2,Alentisque
Alerre,Huesca,22019,1,Alerre
Alesanco,La Rioja,26009,1,Alesanco
Alesón,La Rioja,26010,1,Alesón
Alfacar,Granada,18011,1,Alfacar
Alfafar,Valencia,46022,2,Alfafar
Alfafara,Alicante,3010,1,Alfafara
Alfajarín,Zaragoza,50017,1,Alfajarín
Alfambra,Teruel,44016,1,Alfambra
Alfamén,Zaragoza,50018,1,Alfamén
Alfántega,Huesca,22020,1,Alfántega
Alfara de Carles,Tarragona,43008,1,Alfara de Carles
Alfara de la Baronia,Valencia,46024,1,Alfara de la Baronia
Alfara del Patriarca,Valencia,46025,1,Alfara del Patriarca
Alfaraz de Sayago,Zamora,49005,2,Alfaraz de Sayago
Alfarnate,Málaga,29003,1,Alfarnate
Alfarnatejo,Málaga,29004,1,Alfarnatejo
Alfaro,La Rioja,26011,1,Alfaro
Alfarp,Valencia,46026,1,Alfarp
Alfarràs,Lleida,25013,1,Alfarràs
Alfarrasí,Valencia,46027,1,Alfarrasí
Alfàs del Pi (l'),Alicante,3011,2,L' Alfàs del Pi
Alfauir,Valencia,46023,1,Alfauir
Alfés,Lleida,25014,1,Alfés
Alfondeguilla,Castellón,12007,1,Alfondeguilla
Alforja,Tarragona,43009,1,Alforja
Alforque,Zaragoza,50019,1,Alforque
Alfoz,Lugo,27002,1,Alfoz
Alfoz de Bricia,Burgos,9011,3,Alfoz de Bricia
Alfoz de Lloredo,Cantabria,39001,3,Alfoz de Lloredo
Alfoz de Quintanadueñas,Burgos,9907,3,Alfoz de Quintanadueñas
Alfoz de Santa Gadea,Burgos,9012,2,Alfoz de Santa Gadea
Algaba (La),Sevilla,41007,1,La Algaba
Algadefe,León,24002,1,Algadefe
Algaida,Illes Balears,7004,3,Algaida
Algámitas,Sevilla,41008,1,Algámitas
Algar,Cádiz,11003,1,Algar
Algar de Mesa,Guadalajara,19016,1,Algar de Mesa
Algar de Palancia,Valencia,46028,1,Algar de Palancia
Algarinejo,Granada,18012,3,Algarinejo
Algarra,Cuenca,16013,1,Algarra
Algarrobo,Málaga,29005,2,Algarrobo
Algatocín,Málaga,29006,1,Algatocín
Algeciras,Cádiz,11004,10,Algeciras
Algemesí,Valencia,46029,2,Algemesí
Algerri,Lleida,25015,1,Algerri
Algete,Madrid,28009,2,Algete
Algímia d'Alfara,Valencia,46030,1,Algímia d'Alfara
Algimia de Almonacid,Castellón,12008,1,Algimia de Almonacid
Alginet,Valencia,46031,1,Alginet
Algodonales,Cádiz,11005,2,Algodonales
Algodre,Zamora,49006,1,Algodre
Algora,Guadalajara,19017,1,Algora
Algorfa,Alicante,3012,1,Algorfa
Alguaire,Lleida,25016,1,Alguaire
Alguazas,Murcia,30007,3,Alguazas
Algueña,Alicante,3013,1,Algueña
Alhabia,Almería,4010,1,Alhabia
Alhama de Almería,Almería,4011,1,Alhama de Almería
Alhama de Aragón,Zaragoza,50020,1,Alhama de Aragón
Alhama de Granada,Granada,18013,3,Alhama de Granada
Alhama de Murcia,Murcia,30008,4,Alhama de Murcia
Alhambra,Ciudad Real,13010,2,Alhambra
Alhaurín de la Torre,Málaga,29007,1,Alhaurín de la Torre
Alhaurín el Grande,Málaga,29008,1,Alhaurín el Grande
Alhendín,Granada,18014,1,Alhendín
Alhóndiga,Guadalajara,19018,1,Alhóndiga
Alía,Cáceres,10017,3,Alía
Aliaga,Teruel,44017,3,Aliaga
Aliaguilla,Cuenca,16014,1,Aliaguilla
Alicante/Alacant,Alicante,3014,22,Alicante/Alacant
Alicún,Almería,4012,1,Alicún
Alicún de Ortega,Granada,18015,1,Alicún de Ortega
Alija del Infantado,León,24003,3,Alija del Infantado
Alins,Lleida,25017,4,Alins
Alió,Tarragona,43010,1,Alió
Alique,Guadalajara,19019,1,Alique
Aliseda,Cáceres,10018,1,Aliseda
Aliud,Soria,42016,0,Aliud
Aljaraque,Huelva,21002,3,Aljaraque
Aljucén,Badajoz,6009,1,Aljucén
Alkiza,Gipuzkoa,20006,0,Alkiza
Allande,Asturias,33001,2,Allande
Allariz,Ourense,32001,1,Allariz
Allepuz,Teruel,44021,1,Allepuz
Aller,Asturias,33002,9,Aller
Allín/Allin,Navarra,31011,2,Allín/Allin
Allo,Navarra,31012,1,Allo
Alloza,Teruel,44022,1,Alloza
Allueva,Teruel,44023,1,Allueva
Almacelles,Lleida,25019,1,Almacelles
Almáchar,Málaga,29009,1,Almáchar
Almadén,Ciudad Real,13011,1,Almadén
Almadén de la Plata,Sevilla,41009,1,Almadén de la Plata
Almadenejos,Ciudad Real,13012,2,Almadenejos
Almadrones,Guadalajara,19020,1,Almadrones
Almagro,Ciudad Real,13013,1,Almagro
Almajano,Soria,42017,1,Almajano
Almaluez,Soria,42018,4,Almaluez
Almansa,Albacete,2009,1,Almansa
Almanza,León,24004,6,Almanza
Almaraz,Cáceres,10019,1,Almaraz
Almaraz de Duero,Zamora,49007,1,Almaraz de Duero
Almarcha (La),Cuenca,16015,1,La Almarcha
Almargen,Málaga,29010,1,Almargen
Almarza,Soria,42019,7,Almarza
Almarza de Cameros,La Rioja,26012,1,Almarza de Cameros
Almàssera,Valencia,46032,1,Almàssera
Almassora,Castellón,12009,3,Almassora
Almatret,Lleida,25020,1,Almatret
Almazán,Soria,42020,1,Almazán
Almazul,Soria,42021,2,Almazul
Almedíjar,Castellón,12010,1,Almedíjar
Almedina,Ciudad Real,13014,1,Almedina
Almedinilla,Córdoba,14004,1,Almedinilla
Almegíjar,Granada,18016,2,Almegíjar
Almeida de Sayago,Zamora,49008,2,Almeida de Sayago
Almenar,Lleida,25021,1,Almenar
Almenar de Soria,Soria,42022,3,Almenar de Soria
Almenara,Castellón,12011,2,Almenara
Almenara de Adaja,Valladolid,47008,1,Almenara de Adaja
Almenara de Tormes,Salamanca,37027,1,Almenara de Tormes
Almendra,Salamanca,37028,1,Almendra
Almendral,Badajoz,6010,1,Almendral
Almendral de la Cañada,Toledo,45011,1,Almendral de la Cañada
Almendralejo,Badajoz,6011,2,Almendralejo
Almendro (El),Huelva,21003,1,El Almendro
Almendros,Cuenca,16016,1,Almendros
Almensilla,Sevilla,41010,1,Almensilla
Almería,Almería,4013,21,Almería
Almiserà,Valencia,46033,1,Almiserà
Almochuel,Zaragoza,50021,1,Almochuel
Almócita,Almería,4014,1,Almócita
Almodóvar del Campo,Ciudad Real,13015,10,Almodóvar del Campo
Almodóvar del Pinar,Cuenca,16017,1,Almodóvar del Pinar
Almodóvar del Río,Córdoba,14005,2,Almodóvar del Río
Almogía,Málaga,29011,1,Almogía
Almoguera,Guadalajara,19021,1,Almoguera
Almohaja,Teruel,44018,1,Almohaja
Almoharín,Cáceres,10020,1,Almoharín
Almoines,Valencia,46034,1,Almoines
