municipio,provincia,municipio_nombre_humano,codigo_ine,comunidad_autonoma
Ahigal,Cáceres,Ahigal,10006,Extremadura
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,37003,Castilla y León
Ahigal de Villarino,Salamanca,Ahigal de Villarino,37004,Castilla y León
Ahillones,Badajoz,Ahillones,6003,Extremadura
Aia,Gipuzkoa,Aia,20016,País Vasco
Aibar/Oibar,Navarra,Aibar/Oibar,31009,Comunidad Foral de Navarra
Aielo de Malferit,Valencia,Aielo de Malferit,46042,Comunidad Valenciana
Aielo de Rugat,Valencia,Aielo de Rugat,46043,Comunidad Valenciana
Aiguafreda,Barcelona,Aiguafreda,8014,Cataluña
Aiguamúrcia,Tarragona,Aiguamúrcia,43001,Cataluña
Aiguaviva,Girona,Aiguaviva,17002,Cataluña
Aigües,Alicante,Aigües,3004,Comunidad Valenciana
Aín,Castellón,Aín,12002,Comunidad Valenciana
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,22907,Aragón
Ainzón,Zaragoza,Ainzón,50006,Aragón
Aisa,Huesca,Aisa,22006,Aragón
Aitona,Lleida,Aitona,25038,Cataluña
Aizarnazabal,Gipuzkoa,Aizarnazabal,20003,País Vasco
Ajalvir,Madrid,Ajalvir,28002,Comunidad de Madrid
Ajamil de Cameros,La Rioja,Ajamil de Cameros,26004,La Rioja
Ajangiz,Bizkaia,Ajangiz,48911,País Vasco
Ajofrín,Toledo,Ajofrín,45001,Castilla-La Mancha
Alacón,Teruel,Alacón,44006,Aragón
Aladrén,Zaragoza,Aladrén,50007,Aragón
Alaejos,Valladolid,Alaejos,47004,Castilla y León
Alagón,Zaragoza,Alagón,50008,Aragón
Alagón del Río,Cáceres,Alagón del Río,10903,Extremadura
Alaior,Illes Balears,Alaior,7002,Islas Baleares
Alájar,Huelva,Alájar,21001,Andalucía
Alajeró,Santa Cruz de Tenerife,Alajeró,38003,Islas Canarias
Alameda,Málaga,Alameda,29001,Andalucía
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,37005,Castilla y León
Alameda de la Sagra,Toledo,Alameda de la Sagra,45002,Castilla-La Mancha
Alameda del Valle,Madrid,Alameda del Valle,28003,Comunidad de Madrid
Alamedilla,Granada,Alamedilla,18002,Andalucía
Alamedilla (La),Salamanca,La Alamedilla,37006,Castilla y León
Alamillo,Ciudad Real,Alamillo,13003,Castilla-La Mancha
Alaminos,Guadalajara,Alaminos,19004,Castilla-La Mancha
Álamo (El),Madrid,El Álamo,28004,Comunidad de Madrid
Alamús (Els),Lleida,Els Alamús,25004,Cataluña
Alange,Badajoz,Alange,6004,Extremadura
Alanís,Sevilla,Alanís,41002,Andalucía
Alaquàs,Valencia,Alaquàs,46005,Comunidad Valenciana
Alar del Rey,Palencia,Alar del Rey,34005,Castilla y León
Alaraz,Salamanca,Alaraz,37007,Castilla y León
Alarba,Zaragoza,Alarba,50009,Aragón
Alarcón,Cuenca,Alarcón,16003,Castilla-La Mancha
Alarilla,Guadalajara,Alarilla,19005,Castilla-La Mancha
Alaró,Illes Balears,Alaró,7001,Islas Baleares
Alàs i Cerc,Lleida,Alàs i Cerc,25005,Cataluña
Alatoz,Albacete,Alatoz,2002,Castilla-La Mancha
Alba,Teruel,Alba,44007,Aragón
Alba de Cerrato,Palencia,Alba de Cerrato,34006,Castilla y León
Alba de Tormes,Salamanca,Alba de Tormes,37008,Castilla y León
Alba de Yeltes,Salamanca,Alba de Yeltes,37009,Castilla y León
Albacete,Albacete,Albacete,2003,Castilla-La Mancha
Albagés (L'),Lleida,L' Albagés,25006,Cataluña
Albaida,Valencia,Albaida,46006,Comunidad Valenciana
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,41003,Andalucía
Albal,Valencia,Albal,46007,Comunidad Valenciana
Albalá,Cáceres,Albalá,10007,Extremadura
Albaladejo,Ciudad Real,Albaladejo,13004,Castilla-La Mancha
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,16004,Castilla-La Mancha
Albalat de la Ribera,Valencia,Albalat de la Ribera,46008,Comunidad Valenciana
Albalat dels Sorells,Valencia,Albalat dels Sorells,46009,Comunidad Valenciana
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,46010,Comunidad Valenciana
Albalate de Cinca,Huesca,Albalate de Cinca,22007,Aragón
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,16005,Castilla-La Mancha
Albalate de Zorita,Guadalajara,Albalate de Zorita,19006,Castilla-La Mancha
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,44008,Aragón
Albalatillo,Huesca,Albalatillo,22008,Aragón
Albanchez,Almería,Albanchez,4004,Andalucía
Albanchez de Mágina,Jaén,Albanchez de Mágina,23001,Andalucía
Albanyà,Girona,Albanyà,17003,Cataluña
Albares,Guadalajara,Albares,19007,Castilla-La Mancha
Albarracín,Teruel,Albarracín,44009,Aragón
Albarreal de Tajo,Toledo,Albarreal de Tajo,45003,Castilla-La Mancha
Albatana,Albacete,Albatana,2004,Castilla-La Mancha
Albatàrrec,Lleida,Albatàrrec,25007,Cataluña
Albatera,Alicante,Albatera,3005,Comunidad Valenciana
Albelda,Huesca,Albelda,22009,Aragón
Albelda de Iregua,La Rioja,Albelda de Iregua,26005,La Rioja
Albendea,Cuenca,Albendea,16006,Castilla-La Mancha
Albendiego,Guadalajara,Albendiego,19008,Castilla-La Mancha
Albentosa,Teruel,Albentosa,44010,Aragón
Alberca (La),Salamanca,La Alberca,37010,Castilla y León
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,16007,Castilla-La Mancha
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,37011,Castilla y León
Alberic,Valencia,Alberic,46011,Comunidad Valenciana
Alberite,La Rioja,Alberite,26006,La Rioja
Alberite de San Juan,Zaragoza,Alberite de San Juan,50010,Aragón
Albero Alto,Huesca,Albero Alto,22011,Aragón
Albero Bajo,Huesca,Albero Bajo,22012,Aragón
Alberuela de Tubo,Huesca,Alberuela de Tubo,22013,Aragón
Albesa,Lleida,Albesa,25008,Cataluña
Albeta,Zaragoza,Albeta,50011,Aragón
Albi (L'),Lleida,L' Albi,25009,Cataluña
Albillos,Burgos,Albillos,9009,Castilla y León
Albinyana,Tarragona,Albinyana,43002,Cataluña
Albiol (L'),Tarragona,L' Albiol,43003,Cataluña
Albiztur,Gipuzkoa,Albiztur,20004,País Vasco
Albocàsser,Castellón,Albocàsser,12003,Comunidad Valenciana
Alboloduy,Almería,Alboloduy,4005,Andalucía
Albolote,Granada,Albolote,18003,Andalucía
Albondón,Granada,Albondón,18004,Andalucía
Albons,Girona,Albons,17004,Cataluña
Alborache,Valencia,Alborache,46012,Comunidad Valenciana
Alboraia/Alboraya,Valencia,Alboraia/Alboraya,46013,Comunidad Valenciana
Alborea,Albacete,Alborea,2005,Castilla-La Mancha
Alborge,Zaragoza,Alborge,50012,Aragón
Albornos,Ávila,Albornos,5005,Castilla y León
Albox,Almería,Albox,4006,Andalucía
Albudeite,Murcia,Albudeite,30004,Región de Murcia
Albuera (La),Badajoz,La Albuera,6005,Extremadura
Albuixech,Valencia,Albuixech,46014,Comunidad Valenciana
Albuñán,Granada,Albuñán,18005,Andalucía
Albuñol,Granada,Albuñol,18006,Andalucía
Albuñuelas,Granada,Albuñuelas,18007,Andalucía
Alburquerque,Badajoz,Alburquerque,6006,Extremadura
Alcabón,Toledo,Alcabón,45004,Castilla-La Mancha
Alcadozo,Albacete,Alcadozo,2006,Castilla-La Mancha
Alcaine,Teruel,Alcaine,44011,Aragón
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,50013,Aragón
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,41004,Andalucía
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,22014,Aragón
Alcalá de Henares,Madrid,Alcalá de Henares,28005,Comunidad de Madrid
Alcalá de la Selva,Teruel,Alcalá de la Selva,44012,Aragón
Alcalá de la Vega,Cuenca,Alcalá de la Vega,16008,Castilla-La Mancha
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,11001,Andalucía
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,50014,Aragón
Alcalà de Xivert,Castellón,Alcalà de Xivert,12004,Comunidad Valenciana
Alcalá del Júcar,Albacete,Alcalá del Júcar,2007,Castilla-La Mancha
Alcalá del Obispo,Huesca,Alcalá del Obispo,22015,Aragón
Alcalá del Río,Sevilla,Alcalá del Río,41005,Andalucía
Alcalá del Valle,Cádiz,Alcalá del Valle,11002,Andalucía
Alcalá la Real,Jaén,Alcalá la Real,23002,Andalucía
Alcalalí,Alicante,Alcalalí,3006,Comunidad Valenciana
Alcampell,Huesca,Alcampell,22016,Aragón
Alcanadre,La Rioja,Alcanadre,26007,La Rioja
Alcanar,Tarragona,Alcanar,43004,Cataluña
Alcanó,Lleida,Alcanó,25010,Cataluña
Alcántara,Cáceres,Alcántara,10008,Extremadura
Alcantarilla,Murcia,Alcantarilla,30005,Región de Murcia
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,46016,Comunidad Valenciana
Alcantud,Cuenca,Alcantud,16009,Castilla-La Mancha
Alcañices,Zamora,Alcañices,49003,Castilla y León
Alcañiz,Teruel,Alcañiz,44013,Aragón
Alcañizo,Toledo,Alcañizo,45005,Castilla-La Mancha
Alcaracejos,Córdoba,Alcaracejos,14003,Andalucía
Alcaraz,Albacete,Alcaraz,2008,Castilla-La Mancha
Alcarràs,Lleida,Alcarràs,25011,Cataluña
Alcàsser,Valencia,Alcàsser,46015,Comunidad Valenciana
Alcaucín,Málaga,Alcaucín,29002,Andalucía
Alcaudete,Jaén,Alcaudete,23003,Andalucía
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,45006,Castilla-La Mancha
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,13005,Castilla-La Mancha
Alcázar del Rey,Cuenca,Alcázar del Rey,16010,Castilla-La Mancha
Alcazarén,Valladolid,Alcazarén,47005,Castilla y León
Alcázares (Los),Murcia,Los Alcázares,30902,Región de Murcia
Alcoba,Ciudad Real,Alcoba,13006,Castilla-La Mancha
Alcobendas,Madrid,Alcobendas,28006,Comunidad de Madrid
Alcocer,Guadalajara,Alcocer,19009,Castilla-La Mancha
Alcocer de Planes,Alicante,Alcocer de Planes,3007,Comunidad Valenciana
Alcocero de Mola,Burgos,Alcocero de Mola,9010,Castilla y León
Alcohujate,Cuenca,Alcohujate,16011,Castilla-La Mancha
Alcolea,Almería,Alcolea,4007,Andalucía
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,13007,Castilla-La Mancha
Alcolea de Cinca,Huesca,Alcolea de Cinca,22017,Aragón
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,19010,Castilla-La Mancha
Alcolea de Tajo,Toledo,Alcolea de Tajo,45007,Castilla-La Mancha
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,19011,Castilla-La Mancha
Alcolea del Río,Sevilla,Alcolea del Río,41006,Andalucía
Alcoleja,Alicante,Alcoleja,3008,Comunidad Valenciana
Alcoletge,Lleida,Alcoletge,25012,Cataluña
Alcollarín,Cáceres,Alcollarín,10009,Extremadura
Alconaba,Soria,Alconaba,42006,Castilla y León
Alconada,Salamanca,Alconada,37012,Castilla y León
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,40005,Castilla y León
Alconchel,Badajoz,Alconchel,6007,Extremadura
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,50015,Aragón
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,16012,Castilla-La Mancha
Alconera,Badajoz,Alconera,6008,Extremadura
Alcóntar,Almería,Alcóntar,4008,Andalucía
Alcora (L'),Castellón,L' Alcora,12005,Comunidad Valenciana
Alcorcón,Madrid,Alcorcón,28007,Comunidad de Madrid
Alcorisa,Teruel,Alcorisa,44014,Aragón
Alcoroches,Guadalajara,Alcoroches,19013,Castilla-La Mancha
Alcover,Tarragona,Alcover,43005,Cataluña
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,3009,Comunidad Valenciana
Alcubierre,Huesca,Alcubierre,22018,Aragón
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,42007,Castilla y León
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,42008,Castilla y León
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,49004,Castilla y León
Alcubillas,Ciudad Real,Alcubillas,13008,Castilla-La Mancha
Alcublas,Valencia,Alcublas,46018,Comunidad Valenciana
Alcúdia,Illes Balears,Alcúdia,7003,Islas Baleares
Alcúdia (L'),Valencia,L' Alcúdia,46019,Comunidad Valenciana
Alcúdia de Crespins (L'),Valencia,L' Alcúdia de Crespins,46020,Comunidad Valenciana
Alcudia de Monteagud,Almería,Alcudia de Monteagud,4009,Andalucía
Alcudia de Veo,Castellón,Alcudia de Veo,12006,Comunidad Valenciana
Alcuéscar,Cáceres,Alcuéscar,10010,Extremadura
Aldaia,Valencia,Aldaia,46021,Comunidad Valenciana
Aldea (L'),Tarragona,L' Aldea,43904,Cataluña
Aldea de San Miguel,Valladolid,Aldea de San Miguel,47006,Castilla y León
Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,35020,Islas Canarias
Aldea del Cano,Cáceres,Aldea del Cano,10012,Extremadura
Aldea del Fresno,Madrid,Aldea del Fresno,28008,Comunidad de Madrid
Aldea del Obispo,Salamanca,Aldea del Obispo,37015,Castilla y León
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,10013,Extremadura
Aldea del Rey,Ciudad Real,Aldea del Rey,13009,Castilla-La Mancha
Aldea en Cabo,Toledo,Aldea en Cabo,45008,Castilla-La Mancha
Aldea Real,Segovia,Aldea Real,40012,Castilla y León
Aldeacentenera,Cáceres,Aldeacentenera,10011,Extremadura
Aldeacipreste,Salamanca,Aldeacipreste,37013,Castilla y León
Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,37014,Castilla y León
Aldealafuente,Soria,Aldealafuente,42009,Castilla y León
Aldealcorvo,Segovia,Aldealcorvo,40006,Castilla y León
Aldealengua,Salamanca,Aldealengua,37016,Castilla y León
Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,40007,Castilla y León
Aldealengua de Santa María,Segovia,Aldealengua de Santa María,40008,Castilla y León
Aldealices,Soria,Aldealices,42010,Castilla y León
Aldealpozo,Soria,Aldealpozo,42011,Castilla y León
Aldealseñor,Soria,Aldealseñor,42012,Castilla y León
Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,47007,Castilla y León
Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,45009,Castilla-La Mancha
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,26008,La Rioja
Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,37017,Castilla y León
Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,19015,Castilla-La Mancha
Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,40009,Castilla y León
Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,37018,Castilla y León
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,10014,Extremadura
Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,45010,Castilla-La Mancha
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,5007,Castilla y León
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,10015,Extremadura
Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,40010,Castilla y León
Aldeaquemada,Jaén,Aldeaquemada,23004,Andalucía
Aldearrodrigo,Salamanca,Aldearrodrigo,37019,Castilla y León
Aldearrubia,Salamanca,Aldearrubia,37020,Castilla y León
Aldeaseca,Ávila,Aldeaseca,5008,Castilla y León
Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,37021,Castilla y León
Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,37022,Castilla y León
Aldeasoña,Segovia,Aldeasoña,40013,Castilla y León
Aldeatejada,Salamanca,Aldeatejada,37023,Castilla y León
Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,37024,Castilla y León
Aldehorno,Segovia,Aldehorno,40014,Castilla y León
Aldehuela (La),Ávila,La Aldehuela,5010,Castilla y León
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,10016,Extremadura
Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,37025,Castilla y León
Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,50016,Aragón
Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,42013,Castilla y León
Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,37026,Castilla y León
Aldehuela del Codonal,Segovia,Aldehuela del Codonal,40015,Castilla y León
Aldehuelas (Las),Soria,Las Aldehuelas,42014,Castilla y León
Aldeire,Granada,Aldeire,18010,Andalucía
Aldeonte,Segovia,Aldeonte,40016,Castilla y León
Aldover,Tarragona,Aldover,43006,Cataluña
Aledo,Murcia,Aledo,30006,Región de Murcia
Alegia,Gipuzkoa,Alegia,20005,País Vasco
Alegría-Dulantzi,Álava,Alegría-Dulantzi,1001,País Vasco
Aleixar (L'),Tarragona,L' Aleixar,43007,Cataluña
Alella,Barcelona,Alella,8003,Cataluña
Alentisque,Soria,Alentisque,42015,Castilla y León
Alerre,Huesca,Alerre,22019,Aragón
Alesanco,La Rioja,Alesanco,26009,La Rioja
Alesón,La Rioja,Alesón,26010,La Rioja
Alfacar,Granada,Alfacar,18011,Andalucía
Alfafar,Valencia,Alfafar,46022,Comunidad Valenciana
Alfafara,Alicante,Alfafara,3010,Comunidad Valenciana
Alfajarín,Zaragoza,Alfajarín,50017,Aragón
Alfambra,Teruel,Alfambra,44016,Aragón
Alfamén,Zaragoza,Alfamén,50018,Aragón
Alfántega,Huesca,Alfántega,22020,Aragón
Alfara de Carles,Tarragona,Alfara de Carles,43008,Cataluña
Alfara de la Baronia,Valencia,Alfara de la Baronia,46024,Comunidad Valenciana
Alfara del Patriarca,Valencia,Alfara del Patriarca,46025,Comunidad Valenciana
Alfaraz de Sayago,Zamora,Alfaraz de Sayago,49005,Castilla y León
Alfarnate,Málaga,Alfarnate,29003,Andalucía
Alfarnatejo,Málaga,Alfarnatejo,29004,Andalucía
Alfaro,La Rioja,Alfaro,26011,La Rioja
Alfarp,Valencia,Alfarp,46026,Comunidad Valenciana
Alfarràs,Lleida,Alfarràs,25013,Cataluña
Alfarrasí,Valencia,Alfarrasí,46027,Comunidad Valenciana
Alfàs del Pi (L'),Alicante,L' Alfàs del Pi,3011,Comunidad Valenciana
Alfauir,Valencia,Alfauir,46023,Comunidad Valenciana
Alfés,Lleida,Alfés,25014,Cataluña
Alfondeguilla,Castellón,Alfondeguilla,12007,Comunidad Valenciana
Alforja,Tarragona,Alforja,43009,Cataluña
Alforque,Zaragoza,Alforque,50019,Aragón
Alfoz,Lugo,Alfoz,27002,Galicia
Alfoz de Bricia,Burgos,Alfoz de Bricia,9011,Castilla y León
Alfoz de Lloredo,Cantabria,Alfoz de Lloredo,39001,Cantabria
Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,9907,Castilla y León
Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,9012,Castilla y León
Algaba (La),Sevilla,La Algaba,41007,Andalucía
Algadefe,León,Algadefe,24002,Castilla y León
Algaida,Illes Balears,Algaida,7004,Islas Baleares
Algámitas,Sevilla,Algámitas,41008,Andalucía
Algar,Cádiz,Algar,11003,Andalucía
Algar de Mesa,Guadalajara,Algar de Mesa,19016,Castilla-La Mancha
Algar de Palancia,Valencia,Algar de Palancia,46028,Comunidad Valenciana
Algarinejo,Granada,Algarinejo,18012,Andalucía
Algarra,Cuenca,Algarra,16013,Castilla-La Mancha
Algarrobo,Málaga,Algarrobo,29005,Andalucía
Algatocín,Málaga,Algatocín,29006,Andalucía
Algeciras,Cádiz,Algeciras,11004,Andalucía
Algemesí,Valencia,Algemesí,46029,Comunidad Valenciana
Algerri,Lleida,Algerri,25015,Cataluña
Algete,Madrid,Algete,28009,Comunidad de Madrid
Algímia d'Alfara,Valencia,Algímia d'Alfara,46030,Comunidad Valenciana
Algimia de Almonacid,Castellón,Algimia de Almonacid,12008,Comunidad Valenciana
Alginet,Valencia,Alginet,46031,Comunidad Valenciana
Algodonales,Cádiz,Algodonales,11005,Andalucía
Algodre,Zamora,Algodre,49006,Castilla y León
Algora,Guadalajara,Algora,19017,Castilla-La Mancha
Algorfa,Alicante,Algorfa,3012,Comunidad Valenciana
Alguaire,Lleida,Alguaire,25016,Cataluña
Alguazas,Murcia,Alguazas,30007,Región de Murcia
Algueña,Alicante,Algueña,3013,Comunidad Valenciana
Alhabia,Almería,Alhabia,4010,Andalucía
Alhama de Almería,Almería,Alhama de Almería,4011,Andalucía
Alhama de Aragón,Zaragoza,Alhama de Aragón,50020,Aragón
Alhama de Granada,Granada,Alhama de Granada,18013,Andalucía
Alhama de Murcia,Murcia,Alhama de Murcia,30008,Región de Murcia
Alhambra,Ciudad Real,Alhambra,13010,Castilla-La Mancha
Alhaurín de la Torre,Málaga,Alhaurín de la Torre,29007,Andalucía
Alhaurín el Grande,Málaga,Alhaurín el Grande,29008,Andalucía
Alhendín,Granada,Alhendín,18014,Andalucía
Alhóndiga,Guadalajara,Alhóndiga,19018,Castilla-La Mancha
Alía,Cáceres,Alía,10017,Extremadura
Aliaga,Teruel,Aliaga,44017,Aragón
Aliaguilla,Cuenca,Aliaguilla,16014,Castilla-La Mancha
Alicante/Alacant,Alicante,Alicante/Alacant,3014,Comunidad Valenciana
Alicún,Almería,Alicún,4012,Andalucía
Alicún de Ortega,Granada,Alicún de Ortega,18015,Andalucía
Alija del Infantado,León,Alija del Infantado,24003,Castilla y León
Alins,Lleida,Alins,25017,Cataluña
Alió,Tarragona,Alió,43010,Cataluña
Alique,Guadalajara,Alique,19019,Castilla-La Mancha
