municipio,provincia,municipio_nombre_humano,lat,lon,kms_capital_provincia
Agost,Alicante,Agost,38.435937,-0.638589,17.519998
Agres,Alicante,Agres,38.78333,-0.51667,75.391019
Aigües,Alicante,Aigües,38.501351,-0.364025,23.890366999999998
Albatera,Alicante,Albatera,38.180289,-0.872395,45.33791
Alcalalí,Alicante,Alcalalí,38.754724,-0.043421,81.570256
Alcocer de Planes,Alicante,Alcocer de Planes,38.79501,-0.40244,72.37047199999999
Alcoleja,Alicante,Alcoleja,38.66992,-0.32382,74.108779
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,38.701616,-0.476523,58.761709
Alfafara,Alicante,Alfafara,38.77339,-0.55551,79.401583
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,38.566318,-0.104676,48.689337
Algorfa,Alicante,Algorfa,38.084582,-0.796363,57.09708800000001
Algueña,Alicante,Algueña,38.339218,-1.002629,54.268692
Alicante/Alacant,Alicante,Alicante/Alacant,38.360892,-0.486281,0.0
Almoradí,Alicante,Almoradí,38.110237,-0.792414,52.777699
Almudaina,Alicante,Almudaina,38.75999,-0.35149,76.59260499999999
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,38.360892,-0.486281,72
Altea,Alicante,Altea,38.596675,-0.055608,51.82248
Aspe,Alicante,Aspe,38.343766,-0.766951,28.820704999999997
Atzúbia (l'),Alicante,L' Atzúbia,38.338892,-0.509477,4.070081
Balones,Alicante,Balones,38.73726,-0.34324,72.80158800000001
Banyeres de Mariola,Alicante,Banyeres de Mariola,38.715255,-0.660488,56.599176
Benasau,Alicante,Benasau,38.69047,-0.34278,69.175432
Beneixama,Alicante,Beneixama,38.701806,-0.765858,74.16704
Benejúzar,Alicante,Benejúzar,38.076894,-0.838707,61.641148
Benferri,Alicante,Benferri,38.144565,-0.963573,55.740341
Beniarbeig,Alicante,Beniarbeig,38.822288,-0.006177,87.207058
Beniardá,Alicante,Beniardá,38.68433,-0.21629,63.903389000000004
Beniarrés,Alicante,Beniarrés,38.820507,-0.378199,77.497161
Benidoleig,Alicante,Benidoleig,38.7919,-0.03162,90.65489699999999
Benidorm,Alicante,Benidorm,38.542305,-0.127103,45.456987999999996
Benifallim,Alicante,Benifallim,38.66259,-0.39994,61.53644
Benifato,Alicante,Benifato,38.67395,-0.2292,63.689614999999996
Benigembla,Alicante,Benigembla,38.75494,-0.10903,88.048521
Benijófar,Alicante,Benijófar,38.062653,-0.745904,58.819616
Benilloba,Alicante,Benilloba,38.70012,-0.38998,64.783745
Benillup,Alicante,Benillup,38.75398,-0.37991,72.881747
Benimantell,Alicante,Benimantell,38.67709,-0.21057,61.37774700000001
Benimarfull,Alicante,Benimarfull,38.7759,-0.39079,70.12508
Benimassot,Alicante,Benimassot,38.75,-0.28333,79.83882399999999
Benimeli,Alicante,Benimeli,38.82362,-0.04221,90.694649
Benissa,Alicante,Benissa,38.715345,0.051209,72.674939
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,38.724094,0.150938,80.217993
Biar,Alicante,Biar,38.62662,-0.7623,47.890299
Bigastro,Alicante,Bigastro,38.06162,-0.894344,65.20472099999999
Bolulla,Alicante,Bolulla,38.67529,-0.11184,68.19624400000001
Busot,Alicante,Busot,38.464904,-0.432603,18.112807
Callosa de Segura,Alicante,Callosa de Segura,38.126098,-0.875694,51.42148
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,38.64888,-0.123885,64.120291
Calp,Alicante,Calp,38.658408,0.05646,65.83058500000001
Campello (el),Alicante,El Campello,38.428712,-0.400416,14.762881
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,38.70001,-0.79462,73.860182
Cañada,Alicante,Cañada,38.39711,-0.5831,11.507243
Castalla,Alicante,Castalla,38.599887,-0.667946,36.168037
Castell de Castells,Alicante,Castell de Castells,38.735695,-0.187075,88.035458
Castell de Guadalest (el),Alicante,El Castell de Guadalest,38.6768,-0.19908,61.184134
Catral,Alicante,Catral,38.16056,-0.802149,44.358688
Cocentaina,Alicante,Cocentaina,38.754923,-0.441782,65.16956900000001
Confrides,Alicante,Confrides,38.68451,-0.2689,79.370818
Cox,Alicante,Cox,38.141697,-0.887969,48.837855000000005
Crevillent,Alicante,Crevillent,38.247745,-0.814187,36.788305
Daya Nueva,Alicante,Daya Nueva,38.113322,-0.761471,53.251963
Daya Vieja,Alicante,Daya Vieja,38.1048,-0.73804,57.884034
Dénia,Alicante,Dénia,38.840863,0.103315,91.30220200000001
Dolores,Alicante,Dolores,38.139232,-0.769951,52.869319000000004
Elche/Elx,Alicante,Elche/Elx,38.262084,-0.700594,27.277099000000003
Elda,Alicante,Elda,38.47616,-0.795528,40.396854
Facheca,Alicante,Facheca,38.735,-0.26766,80.82422100000001
Famorca,Alicante,Famorca,38.73101,-0.24726,83.009172
Finestrat,Alicante,Finestrat,38.5671,-0.212203,40.812295
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,38.308625,-0.851245,43.537005
Formentera del Segura,Alicante,Formentera del Segura,38.084955,-0.745611,55.793694
Gaianes,Alicante,Gaianes,38.8164,-0.40881,75.15103
Gata de Gorgos,Alicante,Gata de Gorgos,38.774048,0.083486,81.103415
Gorga,Alicante,Gorga,38.71896,-0.35589,70.197691
Granja de Rocamora,Alicante,Granja de Rocamora,38.15353,-0.892395,47.605331
Guardamar del Segura,Alicante,Guardamar del Segura,38.090032,-0.658152,63.746407
Hondón de los Frailes,Alicante,Hondón de los Frailes,38.273571,-0.926858,51.801947999999996
Ibi,Alicante,Ibi,38.618356,-0.580273,41.713074999999996
Jacarilla,Alicante,Jacarilla,38.060975,-0.867996,64.358512
Jávea/Xàbia,Alicante,Jávea/Xàbia,38.785694,0.150464,88.177954
Jijona/Xixona,Alicante,Jijona/Xixona,38.532651,-0.506731,27.145925
