municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Albiztur,Gipuzkoa,20004,Albiztur,55708
Albocàsser,Castellón,12003,Albocàsser,19636
Alboloduy,Almería,4005,Alboloduy,15879
Albolote,Granada,18003,Albolote,26685
Albondón,Granada,18004,Albondón,16108
Albons,Girona,17004,Albons,31051
Alborache,Valencia,46012,Alborache,23163
Alboraia/Alboraya,Valencia,46013,Alboraia/Alboraya,33179
Alborea,Albacete,2005,Alborea,16604
Alborge,Zaragoza,50012,Alborge,19366
Albornos,Ávila,5005,Albornos,17345
Albox,Almería,4006,Albox,19282
Albudeite,Murcia,30004,Albudeite,16752
Albuera (La),Badajoz,6005,La Albuera,16703
Albuixech,Valencia,46014,Albuixech,25150
Albuñán,Granada,18005,Albuñán,16108
Albuñol,Granada,18006,Albuñol,17466
Albuñuelas,Granada,18007,Albuñuelas,16108
Alburquerque,Badajoz,6006,Alburquerque,16655
Alcabón,Toledo,45004,Alcabón,18671
Alcadozo,Albacete,2006,Alcadozo,16604
Alcaine,Teruel,44011,Alcaine,18797
Alcalá de Ebro,Zaragoza,50013,Alcalá de Ebro,19366
Alcalá de Guadaíra,Sevilla,41004,Alcalá de Guadaíra,25396
Alcalá de Gurrea,Huesca,22014,Alcalá de Gurrea,22933
Alcalá de Henares,Madrid,28005,Alcalá de Henares,29086
Alcalá de la Selva,Teruel,44012,Alcalá de la Selva,18797
Alcalá de la Vega,Cuenca,16008,Alcalá de la Vega,17337
Alcalá de los Gazules,Cádiz,11001,Alcalá de los Gazules,18853
Alcalá de Moncayo,Zaragoza,50014,Alcalá de Moncayo,19366
Alcalà de Xivert,Castellón,12004,Alcalà de Xivert,19815
Alcalá del Júcar,Albacete,2007,Alcalá del Júcar,15654
Alcalá del Obispo,Huesca,22015,Alcalá del Obispo,22933
Alcalá del Río,Sevilla,41005,Alcalá del Río,21161
Alcalá del Valle,Cádiz,11002,Alcalá del Valle,15569
Alcalá la Real,Jaén,23002,Alcalá la Real,18691
Alcalalí,Alicante,3006,Alcalalí,18091
Alcampell,Huesca,22016,Alcampell,22933
Alcanadre,La Rioja,26007,Alcanadre,21118
Alcanar,Tarragona,43004,Alcanar,21400
Alcanó,Lleida,25010,Alcanó,23784
Alcántara,Cáceres,10008,Alcántara,18565
Alcantarilla,Murcia,30005,Alcantarilla,23038
Alcàntera de Xúquer,Valencia,46016,Alcàntera de Xúquer,17885
Alcantud,Cuenca,16009,Alcantud,17337
Alcañices,Zamora,49003,Alcañices,17673
Alcañiz,Teruel,44013,Alcañiz,24092
Alcañizo,Toledo,45005,Alcañizo,18671
Alcaracejos,Córdoba,14003,Alcaracejos,18395
Alcaraz,Albacete,2008,Alcaraz,18908
Alcarràs,Lleida,25011,Alcarràs,22458
Alcàsser,Valencia,46015,Alcàsser,23256
Alcaucín,Málaga,29002,Alcaucín,16830
Alcaudete,Jaén,23003,Alcaudete,16829
Alcaudete de la Jara,Toledo,45006,Alcaudete de la Jara,16599
Alcázar de San Juan,Ciudad Real,13005,Alcázar de San Juan,25944
Alcázar del Rey,Cuenca,16010,Alcázar del Rey,17337
Alcazarén,Valladolid,47005,Alcazarén,19844
Alcázares (Los),Murcia,30902,Los Alcázares,21099
Alcoba,Ciudad Real,13006,Alcoba,16766
Alcobendas,Madrid,28006,Alcobendas,64063
Alcocer,Guadalajara,19009,Alcocer,20180
Alcocer de Planes,Alicante,3007,Alcocer de Planes,19603
Alcocero de Mola,Burgos,9010,Alcocero de Mola,22478
Alcohujate,Cuenca,16011,Alcohujate,17337
Alcolea,Almería,4007,Alcolea,15879
Alcolea de Calatrava,Ciudad Real,13007,Alcolea de Calatrava,19522
Alcolea de Cinca,Huesca,22017,Alcolea de Cinca,24945
Alcolea de las Peñas,Guadalajara,19010,Alcolea de las Peñas,20180
Alcolea de Tajo,Toledo,45007,Alcolea de Tajo,18671
Alcolea del Pinar,Guadalajara,19011,Alcolea del Pinar,20180
Alcolea del Río,Sevilla,41006,Alcolea del Río,16506
Alcoleja,Alicante,3008,Alcoleja,19603
Alcoletge,Lleida,25012,Alcoletge,25374
Alcollarín,Cáceres,10009,Alcollarín,15773
Alconaba,Soria,42006,Alconaba,19216
Alconada,Salamanca,37012,Alconada,17879
Alconada de Maderuelo,Segovia,40005,Alconada de Maderuelo,21066
Alconchel,Badajoz,6007,Alconchel,15455
Alconchel de Ariza,Zaragoza,50015,Alconchel de Ariza,19366
Alconchel de la Estrella,Cuenca,16012,Alconchel de la Estrella,17337
Alconera,Badajoz,6008,Alconera,15113
Alcóntar,Almería,4008,Alcóntar,15879
Alcora (L'),Castellón,12005,L' Alcora,28167
Alcorcón,Madrid,28007,Alcorcón,28671
Alcorisa,Teruel,44014,Alcorisa,23270
Alcoroches,Guadalajara,19013,Alcoroches,20180
Alcover,Tarragona,43005,Alcover,26389
Alcoy/Alcoi,Alicante,3009,Alcoy/Alcoi,24649
Alcubierre,Huesca,22018,Alcubierre,22933
Alcubilla de Avellaneda,Soria,42007,Alcubilla de Avellaneda,19216
Alcubilla de las Peñas,Soria,42008,Alcubilla de las Peñas,19216
Alcubilla de Nogales,Zamora,49004,Alcubilla de Nogales,16878
Alcubillas,Ciudad Real,13008,Alcubillas,16766
Alcublas,Valencia,46018,Alcublas,20105
Alcúdia,Illes Balears,7003,Alcúdia,27120
Alcúdia (L'),Valencia,46019,L' Alcúdia,23199
Alcúdia de Crespins (L'),Valencia,46020,L' Alcúdia de Crespins,20458
Alcudia de Monteagud,Almería,4009,Alcudia de Monteagud,15879
Alcudia de Veo,Castellón,12006,Alcudia de Veo,19448
Alcuéscar,Cáceres,10010,Alcuéscar,15686
Aldaia,Valencia,46021,Aldaia,22947
Aldea (L'),Tarragona,43904,L' Aldea,20971
Aldea de San Miguel,Valladolid,47006,Aldea de San Miguel,19844
Aldea de San Nicolás (La),Las Palmas,35020,La Aldea de San Nicolás,17429
Aldea del Cano,Cáceres,10012,Aldea del Cano,15773
Aldea del Fresno,Madrid,28008,Aldea del Fresno,23733
Aldea del Obispo,Salamanca,37015,Aldea del Obispo,17879
Aldea del Obispo (La),Cáceres,10013,La Aldea del Obispo,15773
Aldea del Rey,Ciudad Real,13009,Aldea del Rey,18552
Aldea en Cabo,Toledo,45008,Aldea en Cabo,18671
Aldea Real,Segovia,40012,Aldea Real,21066
Aldeacentenera,Cáceres,10011,Aldeacentenera,15773
Aldeacipreste,Salamanca,37013,Aldeacipreste,17879
Aldeadávila de la Ribera,Salamanca,37014,Aldeadávila de la Ribera,19150
Aldealafuente,Soria,42009,Aldealafuente,19216
Aldealcorvo,Segovia,40006,Aldealcorvo,21066
Aldealengua,Salamanca,37016,Aldealengua,17879
Aldealengua de Pedraza,Segovia,40007,Aldealengua de Pedraza,21066
Aldealengua de Santa María,Segovia,40008,Aldealengua de Santa María,21066
Aldealices,Soria,42010,Aldealices,19216
Aldealpozo,Soria,42011,Aldealpozo,19216
Aldealseñor,Soria,42012,Aldealseñor,19216
