municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Alamedilla (La),Salamanca,La Alamedilla,121,19.3364,6.25762810037029
Alamillo,Ciudad Real,Alamillo,470,67.2893,6.98476577999771
Alaminos,Guadalajara,Alaminos,57,19.4955,2.92375163499269
Álamo (El),Madrid,El Álamo,9908,22.2498,445.307373549425
Alamús (Els),Lleida,Els Alamús,773,20.45,37.799511002445
Alange,Badajoz,Alange,1850,160.3,11.5408608858391
Alanís,Sevilla,Alanís,1716,281.11,6.10437195403934
Alaquàs,Valencia,Alaquàs,29649,3.9016,7599.19007586631
Alar del Rey,Palencia,Alar del Rey,908,57.9143,15.6783385105233
Alaraz,Salamanca,Alaraz,429,49.1742,8.72408702124285
Alarba,Zaragoza,Alarba,112,18.9991,5.89501607970904
Alarcón,Cuenca,Alarcón,151,119.959,1.25876341083203
Alarilla,Guadalajara,Alarilla,127,22.1444,5.73508426509637
Alaró,Illes Balears,Alaró,5741,45.7217,125.564010087114
Alàs i Cerc,Lleida,Alàs i Cerc,322,57.36,5.61366806136681
Alatoz,Albacete,Alatoz,496,63.8551,7.76758630085929
Alba,Teruel,Alba,184,69.5341,2.64618367103335
Alba de Cerrato,Palencia,Alba de Cerrato,83,35.2078,2.35743215991911
Alba de Tormes,Salamanca,Alba de Tormes,5159,46.47,111.017860985582
Alba de Yeltes,Salamanca,Alba de Yeltes,216,22.3559,9.66187896707357
Albacete,Albacete,Albacete,172722,1126.99,153.259567520564
Albagés (L'),Lleida,L' Albagés,357,26.12,13.6676875957121
Albaida,Valencia,Albaida,5975,35.4136,168.720491562564
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,3221,10.92,294.96336996337
Albal,Valencia,Albal,16646,7.33,2270.94133697135
Albalá,Cáceres,Albalá,681,38.4947,17.6907470379039
Albaladejo,Ciudad Real,Albaladejo,1099,48.9393,22.4563898543706
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,236,55.1914,4.27602851168842
Albalat de la Ribera,Valencia,Albalat de la Ribera,3368,14.35,234.703832752613
Albalat dels Sorells,Valencia,Albalat dels Sorells,4110,4.6249,888.667863088932
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,1324,21.3449,62.0288687227394
Albalate de Cinca,Huesca,Albalate de Cinca,1125,44.2320,25.4340748779164
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,256,40.1082,6.38273470262939
Albalate de Zorita,Guadalajara,Albalate de Zorita,1080,53.3221,20.2542660547878
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,1977,205.6870,9.6116915507543
Albalatillo,Huesca,Albalatillo,188,9.1483,20.5502661696709
Albanchez,Almería,Albanchez,726,34.9,20.8022922636103
Albanchez de Mágina,Jaén,Albanchez de Mágina,992,38.8257,25.5500866693968
Albanyà,Girona,Albanyà,178,94.5052,1.88349424158671
Albares,Guadalajara,Albares,479,29.436,16.272591384699
Albarracín,Teruel,Albarracín,990,452.70,2.18687872763419
Albarreal de Tajo,Toledo,Albarreal de Tajo,708,41.44,17.0849420849421
Albatana,Albacete,Albatana,681,30.50,22.327868852459
Albatàrrec,Lleida,Albatàrrec,2224,10.70,207.85046728972
Albatera,Alicante,Albatera,12714,61.54,206.597335066623
Albelda,Huesca,Albelda,686,51.85,13.2304725168756
