municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours
Hormazas (Las),Burgos,Las Hormazas,9166,42.5275,-3.926667,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Hormigos,Toledo,Hormigos,45076,40.09778,-4.44473,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Hormilla,La Rioja,Hormilla,26075,42.43828,-2.77447,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Hormilleja,La Rioja,Hormilleja,26076,42.45628,-2.73155,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Hornachos,Badajoz,Hornachos,6069,38.552797,-6.067863,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3
Hornachuelos,Córdoba,Hornachuelos,14036,37.831875,-5.253525,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4
Hornillo (El),Ávila,El Hornillo,5100,40.24994,-5.10356,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hornillos de Cameros,La Rioja,Hornillos de Cameros,26077,42.21001,-2.4196,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Hornillos de Cerrato,Palencia,Hornillos de Cerrato,34087,41.98772,-4.27207,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Hornillos de Eresma,Valladolid,Hornillos de Eresma,47074,41.353913,-4.732075,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Hornillos del Camino,Burgos,Hornillos del Camino,9167,42.33863,-3.9256,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Hornos,Jaén,Hornos,23043,38.2171,-2.72052,-2.82,19.32,8.38,75.13,7.63,0,12.0,0.09,37.65,108.9,13.6,40.55,28.09,36.08,7.24,0,0.9,0.0,7.38,353.3
Hornos de Moncalvillo,La Rioja,Hornos de Moncalvillo,26078,42.39198,-2.5855,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Horra (La),Burgos,La Horra,9168,41.74139,-3.8756,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Horta de Sant Joan,Tarragona,Horta de Sant Joan,43071,40.954704,0.315937,-1.73,20.02,9.63,70.27,11.09,0,3.0,0.03,27.37,93.5,14.95,32.58,25.05,65.05,8.86,0,12.0,0.07,19.51,163.1
Hortezuela de Océn,Guadalajara,Hortezuela de Océn,19145,40.95407,-2.40848,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Hortigüela,Burgos,Hortigüela,9169,42.06842,-3.42578,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Hospital de Órbigo,León,Hospital de Órbigo,24082,42.462969,-5.883402,-6.82,15.19,4.06,79.42,12.02,0,3.0,0.1,35.07,96.2,5.68,34.37,20.33,56.78,9.0,0,12.0,0.03,14.24,269.8
Hospitalet de Llobregat (L'),Barcelona,L' Hospitalet de Llobregat,8101,41.361337,2.116416,1.62,19.26,10.73,71.45,14.04,0,12.0,0.06,27.49,96.9,17.41,32.91,25.59,71.02,12.49,0,12.0,0.17,16.96,186.1
Hostalets de Pierola (Els),Barcelona,Els Hostalets de Pierola,8162,41.541536,1.796359,0.35,18.97,10.23,71.47,10.8,0,12.0,0.06,28.22,121.7,16.51,33.57,25.31,66.02,9.94,0,12.0,0.06,16.28,226.6
Hostalric,Girona,Hostalric,17083,41.735797,2.619563,0.78,18.94,10.33,72.33,11.23,0,12.0,0.07,34.52,107.1,17.51,32.89,25.31,66.34,9.4,0,12.0,0.09,17.22,247.9
Hoya (La),Salamanca,La Hoya,37163,40.410113,-5.697248,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,2040,38.9579,-1.55679,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4
Hoyales de Roa,Burgos,Hoyales de Roa,9170,41.65893,-3.86202,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Hoyo de Manzanares,Madrid,Hoyo de Manzanares,28072,40.622148,-3.909191,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5
Hoyo de Pinares (El),Ávila,El Hoyo de Pinares,5102,40.5005,-4.422379,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Hoyocasero,Ávila,Hoyocasero,5101,40.3989,-4.97455,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoyorredondo,Ávila,Hoyorredondo,5103,40.4627,-5.41097,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoyos,Cáceres,Hoyos,10100,40.163439,-6.724292,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoyos de Miguel Muñoz,Ávila,Hoyos de Miguel Muñoz,5106,40.39237,-5.06713,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoyos del Collado,Ávila,Hoyos del Collado,5104,40.35945,-5.20027,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoyos del Espino,Ávila,Hoyos del Espino,5105,40.35623,-5.17505,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Hoz de Jaca,Huesca,Hoz de Jaca,22122,42.69045,-0.3065,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Hoz de la Vieja (La),Teruel,La Hoz de la Vieja,44124,40.925528,-0.840638,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Hoz y Costean,Huesca,Hoz y Costean,22908,42.12501,0.14545,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Huarte/Uharte,Navarra,Huarte/Uharte,31122,42.826591,-1.6003,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Huecas,Toledo,Huecas,45077,40.031197,-4.204358,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Huécija,Almería,Huécija,4051,36.96804,-2.6094,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Huélaga,Cáceres,Huélaga,10101,40.05582,-6.61568,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Huélago,Granada,Huélago,18096,37.41972,-3.26226,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Huélamo,Cuenca,Huélamo,16107,40.27658,-1.80957,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huelma,Jaén,Huelma,23044,37.648805,-3.458117,-2.82,19.32,8.38,75.13,7.63,0,12.0,0.09,37.65,108.9,13.6,40.55,28.09,36.08,7.24,0,0.9,0.0,7.38,353.3
Huelva,Huelva,Huelva,21041,37.265491,-6.942441,5.49,25.43,14.89,70.71,12.67,0,3.0,0.02,26.97,160.4,17.53,40.6,28.73,55.8,12.74,0,0.3,0.0,5.93,377.2
Huelves,Cuenca,Huelves,16108,40.04282,-2.88444,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huéneja,Granada,Huéneja,18097,37.1766,-2.95024,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Huércal de Almería,Almería,Huércal de Almería,4052,36.880862,-2.441678,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Huércal-Overa,Almería,Huércal-Overa,4053,37.395639,-1.945354,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Huércanos,La Rioja,Huércanos,26079,42.428095,-2.69504,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Huerce (La),Guadalajara,La Huerce,19146,41.15,-3.16667,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huérguina,Cuenca,Huérguina,16109,40.03333,-1.6,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4
Huérmeces,Burgos,Huérmeces,9172,42.5225,-3.77072,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Huérmeces del Cerro,Guadalajara,Huérmeces del Cerro,19147,41.05332,-2.79711,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huerta,Salamanca,Huerta,37164,40.963493,-5.464387,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Huerta de Arriba,Burgos,Huerta de Arriba,9173,42.11672,-3.08212,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Huerta de la Obispalía,Cuenca,Huerta de la Obispalía,16110,39.976001,-2.483563,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huerta de Rey,Burgos,Huerta de Rey,9174,41.8391,-3.34755,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Huerta de Valdecarábanos,Toledo,Huerta de Valdecarábanos,45078,39.863411,-3.611985,-2.19,18.07,7.72,70.85,11.74,0,3.0,0.04,28.85,122.3,14.51,38.63,27.12,35.48,10.51,0,3.0,0.01,5.46,362.1
Huerta del Marquesado,Cuenca,Huerta del Marquesado,16111,40.15,-1.68333,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4
Huertahernando,Guadalajara,Huertahernando,19148,40.82348,-2.28697,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huerto,Huesca,Huerto,22124,41.93128,-0.16684,-0.78,19.46,8.29,71.54,17.21,0,3.0,0.02,30.08,94.3,13.76,38.72,25.49,48.87,17.57,0,3.0,0.01,12.64,245.5
Huertos (Los),Segovia,Los Huertos,40103,41.01004,-4.21877,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5
Huesa,Jaén,Huesa,23045,37.764709,-3.077514,-2.82,19.32,8.38,75.13,7.63,0,12.0,0.09,37.65,108.9,13.6,40.55,28.09,36.08,7.24,0,0.9,0.0,7.38,353.3
Huesa del Común,Teruel,Huesa del Común,44125,41.01053,-0.91882,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Huesca,Huesca,Huesca,22125,42.145874,-0.428305,-0.78,19.46,8.29,71.54,17.21,0,3.0,0.02,30.08,94.3,13.76,38.72,25.49,48.87,17.57,0,3.0,0.01,12.64,245.5
Huéscar,Granada,Huéscar,18098,37.810085,-2.542196,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Huete,Cuenca,Huete,16112,40.144913,-2.689782,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huétor de Santillán,Granada,Huétor de Santillán,18099,37.224139,-3.514126,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Huétor Tájar,Granada,Huétor Tájar,18100,37.197711,-4.045844,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Huétor Vega,Granada,Huétor Vega,18101,37.147227,-3.568218,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Hueva,Guadalajara,Hueva,19150,40.46221,-2.96039,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Huévar del Aljarafe,Sevilla,Huévar del Aljarafe,41051,37.355277,-6.279181,2.69,26.03,12.56,74.66,10.15,0,3.0,0.04,23.31,157.7,17.2,40.68,28.02,49.38,10.48,0,3.0,0.0,5.26,378.3
Humada,Burgos,Humada,9175,42.66667,-4.08333,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Humanes,Guadalajara,Humanes,19151,40.827703,-3.155852,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Humanes de Madrid,Madrid,Humanes de Madrid,28073,40.275043,-3.816102,-2.15,18.0,7.68,70.74,11.7,0,3.0,0.03,28.96,122.1,14.46,38.51,27.05,35.97,10.48,0,3.0,0.01,5.31,362.4
Humilladero,Málaga,Humilladero,29059,37.114517,-4.702504,5.91,20.15,12.66,74.04,16.09,0,3.0,0.08,31.6,111.7,16.38,35.88,24.41,68.19,11.77,0,3.0,0.02,13.02,286.8
Hurones,Burgos,Hurones,9176,42.417764,-3.587166,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Hurtumpascual,Ávila,Hurtumpascual,5107,40.692,-5.11379,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Husillos,Palencia,Husillos,34088,42.09054,-4.52709,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Ibahernando,Cáceres,Ibahernando,10102,39.325162,-5.918215,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3
Ibargoiti,Navarra,Ibargoiti,31124,42.67322,-1.456231,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Ibarra,Gipuzkoa,Ibarra,20042,43.130771,-2.061175,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Ibarrangelu,Bizkaia,Ibarrangelu,48048,43.39027,-2.63423,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1
Ibdes,Zaragoza,Ibdes,50125,41.21667,-1.83333,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Ibeas de Juarros,Burgos,Ibeas de Juarros,9177,42.335439,-3.498621,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Ibi,Alicante,Ibi,3079,38.618356,-0.580273,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Ibias,Asturias,Ibias,33028,43.0385,-6.87376,-1.52,17.05,7.63,80.0,8.53,0,3.0,0.1,53.71,49.7,10.25,29.18,19.09,82.25,6.62,0,12.0,0.06,43.7,137.1
Ibieca,Huesca,Ibieca,22126,42.16079,-0.20856,-0.78,19.46,8.29,71.54,17.21,0,3.0,0.02,30.08,94.3,13.76,38.72,25.49,48.87,17.57,0,3.0,0.01,12.64,245.5
Ibrillos,Burgos,Ibrillos,9178,42.45431,-3.08238,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Ibros,Jaén,Ibros,23046,38.019883,-3.502653,-2.82,19.32,8.38,75.13,7.63,0,12.0,0.09,37.65,108.9,13.6,40.55,28.09,36.08,7.24,0,0.9,0.0,7.38,353.3
Icod de los Vinos,Santa Cruz de Tenerife,Icod de los Vinos,38022,28.3663,-16.713948,11.46,22.54,16.32,74.97,18.07,0,12.0,0.03,37.87,84.0,16.24,31.47,21.78,77.32,24.05,0,3.0,0.0,36.47,126.3
Idiazabal,Gipuzkoa,Idiazabal,20043,43.012058,-2.233818,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Igantzi,Navarra,Igantzi,31259,43.22526,-1.70048,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Igea,La Rioja,Igea,26080,42.06777,-2.01094,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Iglesiarrubia,Burgos,Iglesiarrubia,9179,41.97383,-3.84701,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Iglesias,Burgos,Iglesias,9180,42.312016,-3.984506,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Iglesuela del Cid (La),Teruel,La Iglesuela del Cid,44126,40.482116,-0.319202,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0
Iglesuela del Tiétar (La),Toledo,La Iglesuela del Tiétar,45079,40.23277,-4.75162,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Igorre,Bizkaia,Igorre,48094,43.16667,-2.76667,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1
Igriés,Huesca,Igriés,22127,42.21443,-0.43201,-0.78,19.46,8.29,71.54,17.21,0,3.0,0.02,30.08,94.3,13.76,38.72,25.49,48.87,17.57,0,3.0,0.01,12.64,245.5
Igualada,Barcelona,Igualada,8102,41.585445,1.623363,0.35,18.97,10.23,71.47,10.8,0,12.0,0.06,28.22,121.7,16.51,33.57,25.31,66.02,9.94,0,12.0,0.06,16.28,226.6
Igualeja,Málaga,Igualeja,29060,36.630809,-5.121513,3.59,20.34,12.35,75.09,14.44,0,3.0,0.03,37.03,91.8,15.66,34.53,24.03,64.14,12.06,0,3.0,0.02,18.8,234.8
Igüeña,León,Igüeña,24083,42.72853,-6.27738,-6.82,15.19,4.06,79.42,12.02,0,3.0,0.1,35.07,96.2,5.68,34.37,20.33,56.78,9.0,0,12.0,0.03,14.24,269.8
Igúzquiza,Navarra,Igúzquiza,31125,42.64545,-2.08551,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Ikaztegieta,Gipuzkoa,Ikaztegieta,20044,43.09444,-2.12373,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Ilche,Huesca,Ilche,22128,41.95702,0.05728,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Illa de Arousa (A),Pontevedra,A Illa de Arousa,36901,42.549457,-8.86733,3.22,19.33,11.0,83.91,12.74,0,12.0,0.08,46.3,87.3,13.8,33.44,21.48,74.52,9.9,0,12.0,0.02,25.99,231.7
Illán de Vacas,Toledo,Illán de Vacas,45080,39.97079,-4.55743,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Illana,Guadalajara,Illana,19152,40.174026,-3.049363,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Illano,Asturias,Illano,33029,43.33385,-6.8656,-1.52,17.05,7.63,80.0,8.53,0,3.0,0.1,53.71,49.7,10.25,29.18,19.09,82.25,6.62,0,12.0,0.06,43.7,137.1
Íllar,Almería,Íllar,4054,36.98562,-2.63871,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Illas,Asturias,Illas,33030,43.49716,-5.975,-1.52,17.05,7.63,80.0,8.53,0,3.0,0.1,53.71,49.7,10.25,29.18,19.09,82.25,6.62,0,12.0,0.06,43.7,137.1
Illescas,Toledo,Illescas,45081,40.126109,-3.849527,-2.19,18.07,7.72,70.85,11.74,0,3.0,0.04,28.85,122.3,14.51,38.63,27.12,35.48,10.51,0,3.0,0.01,5.46,362.1
Íllora,Granada,Íllora,18102,37.286168,-3.880464,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Illueca,Zaragoza,Illueca,50126,41.537629,-1.626886,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Imotz,Navarra,Imotz,31126,42.96009,-1.80285,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Inca,Illes Balears,Inca,7027,39.718621,2.90814,1.26,20.43,11.28,77.93,11.63,0,3.0,0.02,29.32,63.8,18.37,36.17,26.68,62.8,10.87,0,12.0,0.01,10.73,273.7
Incio (O),Lugo,O Incio,27024,42.65991,-7.31874,-0.12,19.15,8.46,84.1,9.04,0,12.0,0.58,55.81,70.8,10.36,35.76,21.25,70.26,7.7,0,12.0,0.03,27.65,221.6
Ingenio,Las Palmas,Ingenio,35011,27.911608,-15.41101,12.91,24.0,18.12,66.96,23.47,0,3.0,0.01,36.41,63.4,19.23,31.86,23.48,65.63,38.88,0,0.3,0.0,28.09,52.6
Iniesta,Cuenca,Iniesta,16113,39.444468,-1.750143,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4
Iniéstola,Guadalajara,Iniéstola,19153,40.994,-2.37063,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Instinción,Almería,Instinción,4055,36.99344,-2.66046,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1
Inviernas (Las),Guadalajara,Las Inviernas,19154,40.87234,-2.6702,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Irañeta,Navarra,Irañeta,31127,42.92287,-1.94595,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
