codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia
31039,Artazu,Navarra,Comunidad Foral de Navarra,Artazu,2,2
48023,Artea,Bizkaia,País Vasco,Artea,1,2
15005,Arteixo,A Coruña,Galicia,Arteixo,1,3
35005,Artenara,Las Palmas,Islas Canarias,Artenara,1,2
8010,Artés,Barcelona,Cataluña,Artés,1,2
25033,Artesa de Lleida,Lleida,Cataluña,Artesa de Lleida,2,1
25034,Artesa de Segre,Lleida,Cataluña,Artesa de Segre,2,1
50035,Artieda,Zaragoza,Aragón,Artieda,2,1
48008,Artzentales,Bizkaia,País Vasco,Artzentales,1,2
1004,Artziniega,Álava,País Vasco,Artziniega,2,2
35006,Arucas,Las Palmas,Islas Canarias,Arucas,1,2
15006,Arzúa,A Coruña,Galicia,Arzúa,1,3
43019,Ascó,Tarragona,Cataluña,Ascó,1,2
50036,Asín,Zaragoza,Aragón,Asín,2,1
25036,Aspa,Lleida,Cataluña,Aspa,2,1
49016,Aspariegos,Zamora,Castilla y León,Aspariegos,3,2
1009,Asparrena,Álava,País Vasco,Asparrena,2,2
3019,Aspe,Alicante,Comunidad Valenciana,Aspe,1,3
20014,Asteasu,Gipuzkoa,País Vasco,Asteasu,1,2
20903,Astigarraga,Gipuzkoa,País Vasco,Astigarraga,1,2
39008,Astillero (El),Cantabria,Cantabria,El Astillero,1,1
24008,Astorga,León,Castilla y León,Astorga,2,1
34017,Astudillo,Palencia,Castilla y León,Astudillo,2,2
49017,Asturianos,Zamora,Castilla y León,Asturianos,3,2
29021,Atajate,Málaga,Andalucía,Atajate,1,2
6013,Atalaya,Badajoz,Extremadura,Atalaya,3,0
37037,Atalaya (La),Salamanca,Castilla y León,La Atalaya,0,2
16026,Atalaya del Cañavate,Cuenca,Castilla-La Mancha,Atalaya del Cañavate,2,2
19043,Atanzón,Guadalajara,Castilla-La Mancha,Atanzón,0,1
9029,Atapuerca,Burgos,Castilla y León,Atapuerca,2,2
47011,Ataquines,Valladolid,Castilla y León,Ataquines,3,0
18022,Atarfe,Granada,Andalucía,Atarfe,1,1
20015,Ataun,Gipuzkoa,País Vasco,Ataun,1,2
28016,Atazar (El),Madrid,Comunidad de Madrid,El Atazar,3,2
50037,Atea,Zaragoza,Aragón,Atea,2,1
50038,Ateca,Zaragoza,Aragón,Ateca,2,1
31040,Atez/Atetz,Navarra,Comunidad Foral de Navarra,Atez/Atetz,2,2
19044,Atienza,Guadalajara,Castilla-La Mancha,Atienza,0,1
48091,Atxondo,Bizkaia,País Vasco,Atxondo,1,2
46003,Atzeneta d'Albaida,Valencia,Comunidad Valenciana,Atzeneta d'Albaida,1,0
12001,Atzeneta del Maestrat,Castellón,Comunidad Valenciana,Atzeneta del Maestrat,1,2
3001,Atzúbia (L'),Alicante,Comunidad Valenciana,L' Atzúbia,1,3
48070,Aulesti,Bizkaia,País Vasco,Aulesti,1,2
19045,Auñón,Guadalajara,Castilla-La Mancha,Auñón,0,1
31058,Auritz/Burguete,Navarra,Comunidad Foral de Navarra,Auritz/Burguete,2,2
26020,Ausejo,La Rioja,La Rioja,Ausejo,2,2
42028,Ausejo de la Sierra,Soria,Castilla y León,Ausejo de la Sierra,3,1
9030,Ausines (Los),Burgos,Castilla y León,Los Ausines,2,2
34018,Autilla del Pino,Palencia,Castilla y León,Autilla del Pino,2,2
34019,Autillo de Campos,Palencia,Castilla y León,Autillo de Campos,2,2
26021,Autol,La Rioja,La Rioja,Autol,2,2
5017,Aveinte,Ávila,Castilla y León,Aveinte,0,1
5018,Avellaneda,Ávila,Castilla y León,Avellaneda,0,1
25037,Avellanes i Santa Linya (Les),Lleida,Cataluña,Les Avellanes i Santa Linya,2,1
9032,Avellanosa de Muñó,Burgos,Castilla y León,Avellanosa de Muñó,2,2
8011,Avià,Barcelona,Cataluña,Avià,1,2
5019,Ávila,Ávila,Castilla y León,Ávila,0,1
33004,Avilés,Asturias,Principado de Asturias,Avilés,1,1
8012,Avinyó,Barcelona,Cataluña,Avinyó,1,2
17012,Avinyonet de Puigventós,Girona,Cataluña,Avinyonet de Puigventós,1,1
8013,Avinyonet del Penedès,Barcelona,Cataluña,Avinyonet del Penedès,1,2
32004,Avión,Ourense,Galicia,Avión,2,2
1010,Ayala/Aiara,Álava,País Vasco,Ayala/Aiara,2,2
21010,Ayamonte,Huelva,Andalucía,Ayamonte,1,0
31041,Ayegui/Aiegi,Navarra,Comunidad Foral de Navarra,Ayegui/Aiegi,2,2
22039,Ayerbe,Huesca,Aragón,Ayerbe,2,1
40024,Ayllón,Segovia,Castilla y León,Ayllón,3,1
2011,Ayna,Albacete,Castilla-La Mancha,Ayna,2,2
12017,Ayódar,Castellón,Comunidad Valenciana,Ayódar,1,2
49018,Ayoó de Vidriales,Zamora,Castilla y León,Ayoó de Vidriales,3,2
46044,Ayora,Valencia,Comunidad Valenciana,Ayora,1,0
34020,Ayuela,Palencia,Castilla y León,Ayuela,2,2
31042,Azagra,Navarra,Comunidad Foral de Navarra,Azagra,2,2
44031,Azaila,Teruel,Aragón,Azaila,2,1
22040,Azanuy-Alins,Huesca,Aragón,Azanuy-Alins,2,1
22041,Azara,Huesca,Aragón,Azara,2,1
20017,Azkoitia,Gipuzkoa,País Vasco,Azkoitia,1,2
22042,Azlor,Huesca,Aragón,Azlor,2,1
41012,Aznalcázar,Sevilla,Andalucía,Aznalcázar,2,0
41013,Aznalcóllar,Sevilla,Andalucía,Aznalcóllar,2,0
26022,Azofra,La Rioja,La Rioja,Azofra,2,2
20018,Azpeitia,Gipuzkoa,País Vasco,Azpeitia,1,2
6014,Azuaga,Badajoz,Extremadura,Azuaga,3,0
50039,Azuara,Zaragoza,Aragón,Azuara,2,1
12018,Azuébar,Castellón,Comunidad Valenciana,Azuébar,1,2
31043,Azuelo,Navarra,Comunidad Foral de Navarra,Azuelo,2,2
19046,Azuqueca de Henares,Guadalajara,Castilla-La Mancha,Azuqueca de Henares,0,1
45017,Azután,Toledo,Castilla-La Mancha,Azután,0,2
37038,Babilafuente,Salamanca,Castilla y León,Babilafuente,0,2
4019,Bacares,Almería,Andalucía,Bacares,1,2
6015,Badajoz,Badajoz,Extremadura,Badajoz,3,0
8015,Badalona,Barcelona,Cataluña,Badalona,1,2
26023,Badarán,La Rioja,La Rioja,Badarán,2,2
44032,Bádenas,Teruel,Aragón,Bádenas,2,1
8904,Badia del Vallès,Barcelona,Cataluña,Badia del Vallès,1,2
41014,Badolatosa,Sevilla,Andalucía,Badolatosa,2,0
50040,Badules,Zaragoza,Aragón,Badules,2,1
22043,Baélls,Huesca,Aragón,Baélls,2,1
14007,Baena,Córdoba,Andalucía,Baena,2,2
23009,Baeza,Jaén,Andalucía,Baeza,2,2
8016,Bagà,Barcelona,Cataluña,Bagà,1,2
44033,Báguena,Teruel,Aragón,Báguena,2,1
50041,Bagüés,Zaragoza,Aragón,Bagüés,2,1
47012,Bahabón,Valladolid,Castilla y León,Bahabón,3,0
9033,Bahabón de Esgueva,Burgos,Castilla y León,Bahabón de Esgueva,2,2
19047,Baides,Guadalajara,Castilla-La Mancha,Baides,0,1
23010,Bailén,Jaén,Andalucía,Bailén,2,2
22044,Bailo,Huesca,Aragón,Bailo,2,1
36003,Baiona,Pontevedra,Galicia,Baiona,1,3
25039,Baix Pallars,Lleida,Cataluña,Baix Pallars,2,1
31044,Bakaiku,Navarra,Comunidad Foral de Navarra,Bakaiku,2,2
48012,Bakio,Bizkaia,País Vasco,Bakio,1,2
25040,Balaguer,Lleida,Cataluña,Balaguer,2,1
4904,Balanegra,Almería,Andalucía,Balanegra,1,2
2012,Balazote,Albacete,Castilla-La Mancha,Balazote,2,2
9034,Balbases (Los),Burgos,Castilla y León,Los Balbases,2,2
24009,Balboa,León,Castilla y León,Balboa,2,1
50042,Balconchán,Zaragoza,Aragón,Balconchán,2,1
22045,Baldellou,Huesca,Aragón,Baldellou,2,1
27004,Baleira,Lugo,Galicia,Baleira,1,2
8017,Balenyà,Barcelona,Cataluña,Balenyà,1,2
20904,Baliarrain,Gipuzkoa,País Vasco,Baliarrain,1,2
2014,Ballestero (El),Albacete,Castilla-La Mancha,El Ballestero,2,2
13022,Ballesteros de Calatrava,Ciudad Real,Castilla-La Mancha,Ballesteros de Calatrava,3,2
22046,Ballobar,Huesca,Aragón,Ballobar,2,1
48090,Balmaseda,Bizkaia,País Vasco,Balmaseda,1,2
3020,Balones,Alicante,Comunidad Valenciana,Balones,1,3
2013,Balsa de Ves,Albacete,Castilla-La Mancha,Balsa de Ves,2,2
8018,Balsareny,Barcelona,Cataluña,Balsareny,1,2
34022,Baltanás,Palencia,Castilla y León,Baltanás,2,2
32005,Baltar,Ourense,Galicia,Baltar,2,2
22047,Banastás,Huesca,Aragón,Banastás,2,1
32006,Bande,Ourense,Galicia,Bande,2,2
7007,Banyalbufar,Illes Balears,Islas Baleares,Banyalbufar,1,2
3021,Banyeres de Mariola,Alicante,Comunidad Valenciana,Banyeres de Mariola,1,3
43020,Banyeres del Penedès,Tarragona,Cataluña,Banyeres del Penedès,1,2
17015,Banyoles,Girona,Cataluña,Banyoles,1,1
15007,Baña (A),A Coruña,Galicia,A Baña,1,3
26024,Bañares,La Rioja,La Rioja,Bañares,2,2
24010,Bañeza (La),León,Castilla y León,La Bañeza,2,1
37039,Bañobárez,Salamanca,Castilla y León,Bañobárez,0,2
44034,Bañón,Teruel,Aragón,Bañón,2,1
1011,Baños de Ebro/Mañueta,Álava,País Vasco,Baños de Ebro/Mañueta,2,2
23011,Baños de la Encina,Jaén,Andalucía,Baños de la Encina,2,2
32007,Baños de Molgas,Ourense,Galicia,Baños de Molgas,2,2
10024,Baños de Montemayor,Cáceres,Extremadura,Baños de Montemayor,0,3
26026,Baños de Río Tobía,La Rioja,La Rioja,Baños de Río Tobía,2,2
26025,Baños de Rioja,La Rioja,La Rioja,Baños de Rioja,2,2
19048,Baños de Tajo,Guadalajara,Castilla-La Mancha,Baños de Tajo,0,1
9035,Baños de Valdearados,Burgos,Castilla y León,Baños de Valdearados,2,2
19049,Bañuelos,Guadalajara,Castilla-La Mancha,Bañuelos,0,1
9036,Bañuelos de Bureba,Burgos,Castilla y León,Bañuelos de Bureba,2,2
34024,Baquerín de Campos,Palencia,Castilla y León,Baquerín de Campos,2,2
16027,Barajas de Melo,Cuenca,Castilla-La Mancha,Barajas de Melo,2,2
48013,Barakaldo,Bizkaia,País Vasco,Barakaldo,1,2
27901,Baralla,Lugo,Galicia,Baralla,1,2
31901,Barañáin/Barañain,Navarra,Comunidad Foral de Navarra,Barañáin/Barañain,2,2
42029,Baraona,Soria,Castilla y León,Baraona,3,1
31045,Barásoain,Navarra,Comunidad Foral de Navarra,Barásoain,2,2
32008,Barbadás,Ourense,Galicia,Barbadás,2,2
37040,Barbadillo,Salamanca,Castilla y León,Barbadillo,0,2
9037,Barbadillo de Herreros,Burgos,Castilla y León,Barbadillo de Herreros,2,2
9038,Barbadillo del Mercado,Burgos,Castilla y León,Barbadillo del Mercado,2,2
9039,Barbadillo del Pez,Burgos,Castilla y León,Barbadillo del Pez,2,2
37041,Barbalos,Salamanca,Castilla y León,Barbalos,0,2
31046,Barbarin,Navarra,Comunidad Foral de Navarra,Barbarin,2,2
22048,Barbastro,Huesca,Aragón,Barbastro,2,1
11007,Barbate,Cádiz,Andalucía,Barbate,1,0
25041,Barbens,Lleida,Cataluña,Barbens,2,1
43021,Barberà de la Conca,Tarragona,Cataluña,Barberà de la Conca,1,2
8252,Barberà del Vallès,Barcelona,Cataluña,Barberà del Vallès,1,2
50043,Bárboles,Zaragoza,Aragón,Bárboles,2,1
40025,Barbolla,Segovia,Castilla y León,Barbolla,3,1
22049,Barbués,Huesca,Aragón,Barbués,2,1
22050,Barbuñales,Huesca,Aragón,Barbuñales,2,1
42030,Barca,Soria,Castilla y León,Barca,3,1
22051,Bárcabo,Huesca,Aragón,Bárcabo,2,1
6016,Barcarrota,Badajoz,Extremadura,Barcarrota,3,0
8019,Barcelona,Barcelona,Cataluña,Barcelona,1,2
34025,Bárcena de Campos,Palencia,Castilla y León,Bárcena de Campos,2,2
39009,Bárcena de Cicero,Cantabria,Cantabria,Bárcena de Cicero,1,1
39010,Bárcena de Pie de Concha,Cantabria,Cantabria,Bárcena de Pie de Concha,1,1
37042,Barceo,Salamanca,Castilla y León,Barceo,0,2
16029,Barchín del Hoyo,Cuenca,Castilla-La Mancha,Barchín del Hoyo,2,2
47013,Barcial de la Loma,Valladolid,Castilla y León,Barcial de la Loma,3,0
49019,Barcial del Barco,Zamora,Castilla y León,Barcial del Barco,3,2
45018,Barcience,Toledo,Castilla-La Mancha,Barcience,0,2
5021,Barco de Ávila (El),Ávila,Castilla y León,El Barco de Ávila,0,1
32009,Barco de Valdeorras (O),Ourense,Galicia,O Barco de Valdeorras,2,2
42031,Barcones,Soria,Castilla y León,Barcones,3,1
50044,Bardallur,Zaragoza,Aragón,Bardallur,2,1
39011,Bareyo,Cantabria,Cantabria,Bareyo,1,1
45019,Bargas,Toledo,Castilla-La Mancha,Bargas,0,2
31047,Bargota,Navarra,Comunidad Foral de Navarra,Bargota,2,2
31048,Barillas,Navarra,Comunidad Foral de Navarra,Barillas,2,2
24011,Barjas,León,Castilla y León,Barjas,2,1
38007,Barlovento,Santa Cruz de Tenerife,Islas Canarias,Barlovento,1,2
25042,Baronia de Rialb (La),Lleida,Cataluña,La Baronia de Rialb,2,1
12020,Barracas,Castellón,Comunidad Valenciana,Barracas,1,2
44035,Barrachina,Teruel,Aragón,Barrachina,2,1
5022,Barraco (El),Ávila,Castilla y León,El Barraco,0,1
10025,Barrado,Cáceres,Extremadura,Barrado,0,3
2015,Barrax,Albacete,Castilla-La Mancha,Barrax,2,2
27005,Barreiros,Lugo,Galicia,Barreiros,1,2
48014,Barrika,Bizkaia,País Vasco,Barrika,1,2
9041,Barrio de Muñó,Burgos,Castilla y León,Barrio de Muñó,2,2
19050,Barriopedro,Guadalajara,Castilla-La Mancha,Barriopedro,0,1
11008,Barrios (Los),Cádiz,Andalucía,Los Barrios,1,0
9043,Barrios de Bureba (Los),Burgos,Castilla y León,Los Barrios de Bureba,2,2
9044,Barrios de Colina,Burgos,Castilla y León,Barrios de Colina,2,2
24012,Barrios de Luna (Los),León,Castilla y León,Los Barrios de Luna,2,1
36002,Barro,Pontevedra,Galicia,Barro,1,3
5023,Barromán,Ávila,Castilla y León,Barromán,0,1
37044,Barruecopardo,Salamanca,Castilla y León,Barruecopardo,0,2
34027,Barruelo de Santullán,Palencia,Castilla y León,Barruelo de Santullán,2,2
47014,Barruelo del Valle,Valladolid,Castilla y León,Barruelo del Valle,3,0
1013,Barrundia,Álava,País Vasco,Barrundia,2,2
46046,Barx,Valencia,Comunidad Valenciana,Barx,1,0
46045,Barxeta,Valencia,Comunidad Valenciana,Barxeta,1,0
31049,Basaburua,Navarra,Comunidad Foral de Navarra,Basaburua,2,2
40026,Basardilla,Segovia,Castilla y León,Basardilla,3,1
48015,Basauri,Bizkaia,País Vasco,Basauri,1,2
17016,Bàscara,Girona,Cataluña,Bàscara,1,1
9045,Basconcillos del Tozo,Burgos,Castilla y León,Basconcillos del Tozo,2,2
34028,Báscones de Ojeda,Palencia,Castilla y León,Báscones de Ojeda,2,2
9046,Bascuñana,Burgos,Castilla y León,Bascuñana,2,2
16030,Bascuñana de San Pedro,Cuenca,Castilla-La Mancha,Bascuñana de San Pedro,2,2
25044,Bassella,Lleida,Cataluña,Bassella,2,1
37045,Bastida (La),Salamanca,Castilla y León,La Bastida,0,2
43022,Batea,Tarragona,Cataluña,Batea,1,2
6017,Baterno,Badajoz,Extremadura,Baterno,3,0
28017,Batres,Madrid,Comunidad de Madrid,Batres,3,2
25045,Bausen,Lleida,Cataluña,Bausen,2,1
4020,Bayárcal,Almería,Andalucía,Bayárcal,1,2
4021,Bayarque,Almería,Andalucía,Bayarque,1,2
42032,Bayubas de Abajo,Soria,Castilla y León,Bayubas de Abajo,3,1
42033,Bayubas de Arriba,Soria,Castilla y León,Bayubas de Arriba,3,1
18023,Baza,Granada,Andalucía,Baza,1,1
31050,Baztan,Navarra,Comunidad Foral de Navarra,Baztan,2,2
44036,Bea,Teruel,Aragón,Bea,2,1
32010,Beade,Ourense,Galicia,Beade,2,2
16031,Beamud,Cuenca,Castilla-La Mancha,Beamud,2,2
32011,Beariz,Ourense,Galicia,Beariz,2,2
21011,Beas,Huelva,Andalucía,Beas,1,0
18024,Beas de Granada,Granada,Andalucía,Beas de Granada,1,1
18025,Beas de Guadix,Granada,Andalucía,Beas de Guadix,1,1
23012,Beas de Segura,Jaén,Andalucía,Beas de Segura,2,2
20019,Beasain,Gipuzkoa,País Vasco,Beasain,1,2
5024,Becedas,Ávila,Castilla y León,Becedas,0,1
5025,Becedillas,Ávila,Castilla y León,Becedillas,0,1
44037,Beceite,Teruel,Aragón,Beceite,2,1
27006,Becerreá,Lugo,Galicia,Becerreá,1,2
34029,Becerril de Campos,Palencia,Castilla y León,Becerril de Campos,2,2
28018,Becerril de la Sierra,Madrid,Comunidad de Madrid,Becerril de la Sierra,3,2
47015,Becilla de Valderaduey,Valladolid,Castilla y León,Becilla de Valderaduey,3,0
4022,Bédar,Almería,Andalucía,Bédar,1,2
48092,Bedia,Bizkaia,País Vasco,Bedia,1,2
23902,Bedmar y Garcíez,Jaén,Andalucía,Bedmar y Garcíez,2,2
23014,Begíjar,Jaén,Andalucía,Begíjar,2,2
27007,Begonte,Lugo,Galicia,Begonte,1,2
8020,Begues,Barcelona,Cataluña,Begues,1,2
17013,Begur,Girona,Cataluña,Begur,1,1
31137,Beintza-Labaien,Navarra,Comunidad Foral de Navarra,Beintza-Labaien,2,2
31051,Beire,Navarra,Comunidad Foral de Navarra,Beire,2,2
4023,Beires,Almería,Andalucía,Beires,1,2
20020,Beizama,Gipuzkoa,País Vasco,Beizama,1,2
37046,Béjar,Salamanca,Castilla y León,Béjar,0,2
12022,Bejís,Castellón,Comunidad Valenciana,Bejís,1,2
14008,Belalcázar,Córdoba,Andalucía,Belalcázar,2,2
31052,Belascoáin,Navarra,Comunidad Foral de Navarra,Belascoáin,2,2
20021,Belauntza,Gipuzkoa,País Vasco,Belauntza,1,2
9047,Belbimbre,Burgos,Castilla y León,Belbimbre,2,2
50045,Belchite,Zaragoza,Aragón,Belchite,2,1
37047,Beleña,Salamanca,Castilla y León,Beleña,0,2
46047,Bèlgida,Valencia,Comunidad Valenciana,Bèlgida,1,0
25046,Belianes,Lleida,Cataluña,Belianes,2,1
16032,Belinchón,Cuenca,Castilla-La Mancha,Belinchón,2,2
25048,Bell-lloc d'Urgell,Lleida,Cataluña,Bell-lloc d'Urgell,2,1
25170,Bellaguarda,Lleida,Cataluña,Bellaguarda,2,1
17018,Bellcaire d'Empordà,Girona,Cataluña,Bellcaire d'Empordà,1,1
25047,Bellcaire d'Urgell,Lleida,Cataluña,Bellcaire d'Urgell,2,1
25049,Bellmunt d'Urgell,Lleida,Cataluña,Bellmunt d'Urgell,2,1
43023,Bellmunt del Priorat,Tarragona,Cataluña,Bellmunt del Priorat,1,2
44039,Bello,Teruel,Aragón,Bello,2,1
8021,Bellprat,Barcelona,Cataluña,Bellprat,1,2
25050,Bellpuig,Lleida,Cataluña,Bellpuig,2,1
46048,Bellreguard,Valencia,Comunidad Valenciana,Bellreguard,1,0
46049,Bellús,Valencia,Comunidad Valenciana,Bellús,1,0
43024,Bellvei,Tarragona,Cataluña,Bellvei,1,2
25051,Bellver de Cerdanya,Lleida,Cataluña,Bellver de Cerdanya,2,1
25052,Bellvís,Lleida,Cataluña,Bellvís,2,1
14009,Belmez,Córdoba,Andalucía,Belmez,2,2
23015,Bélmez de la Moraleda,Jaén,Andalucía,Bélmez de la Moraleda,2,2
16033,Belmonte,Cuenca,Castilla-La Mancha,Belmonte,2,2
34031,Belmonte de Campos,Palencia,Castilla y León,Belmonte de Campos,2,2
50046,Belmonte de Gracián,Zaragoza,Aragón,Belmonte de Gracián,2,1
33005,Belmonte de Miranda,Asturias,Principado de Asturias,Belmonte de Miranda,1,1
44038,Belmonte de San José,Teruel,Aragón,Belmonte de San José,2,1
28019,Belmonte de Tajo,Madrid,Comunidad de Madrid,Belmonte de Tajo,3,2
16034,Belmontejo,Cuenca,Castilla-La Mancha,Belmontejo,2,2
9048,Belorado,Burgos,Castilla y León,Belorado,2,2
22052,Belver de Cinca,Huesca,Aragón,Belver de Cinca,2,1
49020,Belver de los Montes,Zamora,Castilla y León,Belver de los Montes,3,2
45020,Belvís de la Jara,Toledo,Castilla-La Mancha,Belvís de la Jara,0,2
10026,Belvís de Monroy,Cáceres,Extremadura,Belvís de Monroy,0,3
24014,Bembibre,León,Castilla y León,Bembibre,2,1
22053,Benabarre,Huesca,Aragón,Benabarre,2,1
41015,Benacazón,Sevilla,Andalucía,Benacazón,2,0
29022,Benadalid,Málaga,Andalucía,Benadalid,1,2
47016,Benafarces,Valladolid,Castilla y León,Benafarces,3,0
12024,Benafer,Castellón,Comunidad Valenciana,Benafer,1,2
12025,Benafigos,Castellón,Comunidad Valenciana,Benafigos,1,2
46050,Benagéber,Valencia,Comunidad Valenciana,Benagéber,1,0
46051,Benaguasil,Valencia,Comunidad Valenciana,Benaguasil,1,0
4024,Benahadux,Almería,Andalucía,Benahadux,1,2
29023,Benahavís,Málaga,Andalucía,Benahavís,1,2
29024,Benalauría,Málaga,Andalucía,Benalauría,1,2
29025,Benalmádena,Málaga,Andalucía,Benalmádena,1,2
18027,Benalúa,Granada,Andalucía,Benalúa,1,1
18028,Benalúa de las Villas,Granada,Andalucía,Benalúa de las Villas,1,1
11901,Benalup-Casas Viejas,Cádiz,Andalucía,Benalup-Casas Viejas,1,0
29026,Benamargosa,Málaga,Andalucía,Benamargosa,1,2
18029,Benamaurel,Granada,Andalucía,Benamaurel,1,1
14010,Benamejí,Córdoba,Andalucía,Benamejí,2,2
29027,Benamocarra,Málaga,Andalucía,Benamocarra,1,2
11009,Benaocaz,Cádiz,Andalucía,Benaocaz,1,0
29028,Benaoján,Málaga,Andalucía,Benaoján,1,2
29029,Benarrabá,Málaga,Andalucía,Benarrabá,1,2
3022,Benasau,Alicante,Comunidad Valenciana,Benasau,1,3
22054,Benasque,Huesca,Aragón,Benasque,2,1
12026,Benassal,Castellón,Comunidad Valenciana,Benassal,1,2
23016,Benatae,Jaén,Andalucía,Benatae,2,2
25053,Benavent de Segrià,Lleida,Cataluña,Benavent de Segrià,2,1
49021,Benavente,Zamora,Castilla y León,Benavente,3,2
24015,Benavides,León,Castilla y León,Benavides,2,1
46052,Benavites,Valencia,Comunidad Valenciana,Benavites,1,0
49022,Benegiles,Zamora,Castilla y León,Benegiles,3,2
3023,Beneixama,Alicante,Comunidad Valenciana,Beneixama,1,3
46053,Beneixida,Valencia,Comunidad Valenciana,Beneixida,1,0
3024,Benejúzar,Alicante,Comunidad Valenciana,Benejúzar,1,3
46054,Benetússer,Valencia,Comunidad Valenciana,Benetússer,1,0
3025,Benferri,Alicante,Comunidad Valenciana,Benferri,1,3
3026,Beniarbeig,Alicante,Comunidad Valenciana,Beniarbeig,1,3
3027,Beniardá,Alicante,Comunidad Valenciana,Beniardá,1,3
46055,Beniarjó,Valencia,Comunidad Valenciana,Beniarjó,1,0
3028,Beniarrés,Alicante,Comunidad Valenciana,Beniarrés,1,3
46056,Beniatjar,Valencia,Comunidad Valenciana,Beniatjar,1,0
12027,Benicarló,Castellón,Comunidad Valenciana,Benicarló,1,2
12028,Benicasim/Benicàssim,Castellón,Comunidad Valenciana,Benicasim/Benicàssim,1,2
46057,Benicolet,Valencia,Comunidad Valenciana,Benicolet,1,0
46904,Benicull de Xúquer,Valencia,Comunidad Valenciana,Benicull de Xúquer,1,0
3030,Benidoleig,Alicante,Comunidad Valenciana,Benidoleig,1,3
3031,Benidorm,Alicante,Comunidad Valenciana,Benidorm,1,3
30010,Beniel,Murcia,Región de Murcia,Beniel,1,2
46060,Benifaió,Valencia,Comunidad Valenciana,Benifaió,1,0
46059,Benifairó de la Valldigna,Valencia,Comunidad Valenciana,Benifairó de la Valldigna,1,0
46058,Benifairó de les Valls,Valencia,Comunidad Valenciana,Benifairó de les Valls,1,0
43025,Benifallet,Tarragona,Cataluña,Benifallet,1,2
3032,Benifallim,Alicante,Comunidad Valenciana,Benifallim,1,3
3033,Benifato,Alicante,Comunidad Valenciana,Benifato,1,3
46061,Beniflá,Valencia,Comunidad Valenciana,Beniflá,1,0
46062,Benigànim,Valencia,Comunidad Valenciana,Benigànim,1,0
3029,Benigembla,Alicante,Comunidad Valenciana,Benigembla,1,3
3034,Benijófar,Alicante,Comunidad Valenciana,Benijófar,1,3
3035,Benilloba,Alicante,Comunidad Valenciana,Benilloba,1,3
3036,Benillup,Alicante,Comunidad Valenciana,Benillup,1,3
3037,Benimantell,Alicante,Comunidad Valenciana,Benimantell,1,3
3038,Benimarfull,Alicante,Comunidad Valenciana,Benimarfull,1,3
3039,Benimassot,Alicante,Comunidad Valenciana,Benimassot,1,3
3040,Benimeli,Alicante,Comunidad Valenciana,Benimeli,1,3
46063,Benimodo,Valencia,Comunidad Valenciana,Benimodo,1,0
46064,Benimuslem,Valencia,Comunidad Valenciana,Benimuslem,1,0
46065,Beniparrell,Valencia,Comunidad Valenciana,Beniparrell,1,0
46066,Benirredrà,Valencia,Comunidad Valenciana,Benirredrà,1,0
3041,Benissa,Alicante,Comunidad Valenciana,Benissa,1,3
43026,Benissanet,Tarragona,Cataluña,Benissanet,1,2
46067,Benissanó,Valencia,Comunidad Valenciana,Benissanó,1,0
46068,Benissoda,Valencia,Comunidad Valenciana,Benissoda,1,0
46069,Benissuera,Valencia,Comunidad Valenciana,Benissuera,1,0
3042,Benitachell/Poble Nou de Benitatxell (el),Alicante,Comunidad Valenciana,El Benitachell/Poble Nou de Benitatxell,1,3
4026,Benitagla,Almería,Andalucía,Benitagla,1,2
4027,Benizalón,Almería,Andalucía,Benizalón,1,2
12029,Benlloc,Castellón,Comunidad Valenciana,Benlloc,1,2
10027,Benquerencia,Cáceres,Extremadura,Benquerencia,0,3
6018,Benquerencia de la Serena,Badajoz,Extremadura,Benquerencia de la Serena,3,0
4028,Bentarique,Almería,Andalucía,Bentarique,1,2
24016,Benuza,León,Castilla y León,Benuza,2,1
31250,Bera,Navarra,Comunidad Foral de Navarra,Bera,2,2
48016,Berango,Bizkaia,País Vasco,Berango,1,2
1014,Berantevilla,Álava,País Vasco,Berantevilla,2,2
22246,Beranuy,Huesca,Aragón,Beranuy,2,1
20022,Berastegi,Gipuzkoa,País Vasco,Berastegi,1,2
42034,Beratón,Soria,Castilla y León,Beratón,3,1
22055,Berbegal,Huesca,Aragón,Berbegal,2,1
9050,Berberana,Burgos,Castilla y León,Berberana,2,2
31053,Berbinzana,Navarra,Comunidad Foral de Navarra,Berbinzana,2,2
26027,Berceo,La Rioja,La Rioja,Berceo,2,2
47017,Bercero,Valladolid,Castilla y León,Bercero,3,0
47018,Berceruelo,Valladolid,Castilla y León,Berceruelo,3,0
18030,Bérchules,Granada,Andalucía,Bérchules,1,1
40028,Bercial,Segovia,Castilla y León,Bercial,3,1
5026,Bercial de Zapardiel,Ávila,Castilla y León,Bercial de Zapardiel,0,1
24017,Bercianos del Páramo,León,Castilla y León,Bercianos del Páramo,2,1
24018,Bercianos del Real Camino,León,Castilla y León,Bercianos del Real Camino,2,1
40029,Bercimuel,Segovia,Castilla y León,Bercimuel,3,1
50047,Berdejo,Zaragoza,Aragón,Berdejo,2,1
8022,Berga,Barcelona,Cataluña,Berga,1,2
20074,Bergara,Gipuzkoa,País Vasco,Bergara,1,2
26028,Bergasa,La Rioja,La Rioja,Bergasa,2,2
