codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia
28001,Acebeda (La),Madrid,Comunidad de Madrid,La Acebeda,3,2
24001,Acebedo,León,Castilla y León,Acebedo,2,1
10003,Acebo,Cáceres,Extremadura,Acebo,0,3
16002,Acebrón (El),Cuenca,Castilla-La Mancha,El Acebrón,2,2
6001,Acedera,Badajoz,Extremadura,Acedera,3,0
10004,Acehúche,Cáceres,Extremadura,Acehúche,0,3
10005,Aceituna,Cáceres,Extremadura,Aceituna,0,3
50002,Acered,Zaragoza,Aragón,Acered,2,1
6002,Aceuchal,Badajoz,Extremadura,Aceuchal,3,0
22003,Adahuesca,Huesca,Aragón,Adahuesca,2,1
47001,Adalia,Valladolid,Castilla y León,Adalia,3,0
14001,Adamuz,Córdoba,Andalucía,Adamuz,2,2
5001,Adanero,Ávila,Castilla y León,Adanero,0,1
38001,Adeje,Santa Cruz de Tenerife,Islas Canarias,Adeje,1,2
46001,Ademuz,Valencia,Comunidad Valenciana,Ademuz,1,0
31007,Adiós,Navarra,Comunidad Foral de Navarra,Adiós,2,2
19003,Adobes,Guadalajara,Castilla-La Mancha,Adobes,0,1
46002,Ador,Valencia,Comunidad Valenciana,Ador,1,0
4003,Adra,Almería,Andalucía,Adra,1,2
5002,Adrada (La),Ávila,Castilla y León,La Adrada,0,1
9003,Adrada de Haza,Burgos,Castilla y León,Adrada de Haza,2,2
40002,Adrada de Pirón,Segovia,Castilla y León,Adrada de Pirón,3,1
42003,Adradas,Soria,Castilla y León,Adradas,3,1
40003,Adrados,Segovia,Castilla y León,Adrados,3,1
20002,Aduna,Gipuzkoa,País Vasco,Aduna,1,2
35001,Agaete,Las Palmas,Islas Canarias,Agaete,1,2
37002,Agallas,Salamanca,Castilla y León,Agallas,0,2
25002,Àger,Lleida,Cataluña,Àger,2,1
36020,Agolada,Pontevedra,Galicia,Agolada,1,3
50003,Agón,Zaragoza,Aragón,Agón,2,1
26002,Agoncillo,La Rioja,La Rioja,Agoncillo,2,2
3002,Agost,Alicante,Comunidad Valenciana,Agost,1,3
25003,Agramunt,Lleida,Cataluña,Agramunt,2,1
42004,Ágreda,Soria,Castilla y León,Ágreda,3,1
3003,Agres,Alicante,Comunidad Valenciana,Agres,1,3
18001,Agrón,Granada,Andalucía,Agrón,1,1
41001,Aguadulce,Sevilla,Andalucía,Aguadulce,2,0
50004,Aguarón,Zaragoza,Aragón,Aguarón,2,1
9006,Aguas Cándidas,Burgos,Castilla y León,Aguas Cándidas,2,2
47002,Aguasal,Valladolid,Castilla y León,Aguasal,3,0
44003,Aguatón,Teruel,Aragón,Aguatón,2,1
44004,Aguaviva,Teruel,Aragón,Aguaviva,2,1
13002,Agudo,Ciudad Real,Castilla-La Mancha,Agudo,3,2
22004,Agüero,Huesca,Aragón,Agüero,2,1
40004,Aguilafuente,Segovia,Castilla y León,Aguilafuente,3,1
9007,Aguilar de Bureba,Burgos,Castilla y León,Aguilar de Bureba,2,2
34004,Aguilar de Campoo,Palencia,Castilla y León,Aguilar de Campoo,2,2
47003,Aguilar de Campos,Valladolid,Castilla y León,Aguilar de Campos,3,0
31008,Aguilar de Codés,Navarra,Comunidad Foral de Navarra,Aguilar de Codés,2,2
14002,Aguilar de la Frontera,Córdoba,Andalucía,Aguilar de la Frontera,2,2
8002,Aguilar de Segarra,Barcelona,Cataluña,Aguilar de Segarra,1,2
44005,Aguilar del Alfambra,Teruel,Aragón,Aguilar del Alfambra,2,1
26003,Aguilar del Río Alhama,La Rioja,La Rioja,Aguilar del Río Alhama,2,2
30003,Águilas,Murcia,Región de Murcia,Águilas,1,2
50005,Aguilón,Zaragoza,Aragón,Aguilón,2,1
35002,Agüimes,Las Palmas,Islas Canarias,Agüimes,1,2
17001,Agullana,Girona,Cataluña,Agullana,1,1
46004,Agullent,Valencia,Comunidad Valenciana,Agullent,1,0
38002,Agulo,Santa Cruz de Tenerife,Islas Canarias,Agulo,1,2
1051,Agurain/Salvatierra,Álava,País Vasco,Agurain/Salvatierra,2,2
10006,Ahigal,Cáceres,Extremadura,Ahigal,0,3
37003,Ahigal de los Aceiteros,Salamanca,Castilla y León,Ahigal de los Aceiteros,0,2
37004,Ahigal de Villarino,Salamanca,Castilla y León,Ahigal de Villarino,0,2
6003,Ahillones,Badajoz,Extremadura,Ahillones,3,0
20016,Aia,Gipuzkoa,País Vasco,Aia,1,2
31009,Aibar/Oibar,Navarra,Comunidad Foral de Navarra,Aibar/Oibar,2,2
46042,Aielo de Malferit,Valencia,Comunidad Valenciana,Aielo de Malferit,1,0
46043,Aielo de Rugat,Valencia,Comunidad Valenciana,Aielo de Rugat,1,0
8014,Aiguafreda,Barcelona,Cataluña,Aiguafreda,1,2
