municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia
Ahillones,Badajoz,Ahillones,321.86,4,-,0,1149.0,126096,7.0,530
Aia,Gipuzkoa,Aia,793.94,17,-,0,3234.0,289436,16.0,1275
Aibar/Oibar,Navarra,Aibar/Oibar,-,-,-,0,1691.0,164441,10.0,981
Aielo de Malferit,Valencia,Aielo de Malferit,801.72,46,2.71,1,1445.0,163450,11.0,1042
Aielo de Rugat,Valencia,Aielo de Rugat,-,-,-,0,1445.0,163450,11.0,1042
Aiguafreda,Barcelona,Aiguafreda,1732.68,34,-,0,2946.0,272259,16.0,1367
Aiguamúrcia,Tarragona,Aiguamúrcia,1085.63,39,12.27,2,1552.0,140182,9.0,736
Aiguaviva,Girona,Aiguaviva,1967.81,10,-,0,2169.0,193575,11.0,941
Aigües,Alicante,Aigües,1401.71,53,6.16,8,1663.0,176931,9.0,845
Aín,Castellón,Aín,567.69,3,-,0,1133.0,115966,8.0,653
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,1423.58,71,7.75,1,1513.0,123979,8.0,636
Ainzón,Zaragoza,Ainzón,-,-,5.67,1,1674.0,154117,9.0,720
Aisa,Huesca,Aisa,2336.65,40,7.68,2,1513.0,123979,8.0,636
Aitona,Lleida,Aitona,832.4,8,-,0,1159.0,114344,7.0,654
Aizarnazabal,Gipuzkoa,Aizarnazabal,-,-,-,0,3234.0,289436,16.0,1275
Ajalvir,Madrid,Ajalvir,2252.61,64,9.98,7,3314.0,343514,16.0,1414
Ajamil de Cameros,La Rioja,Ajamil de Cameros,-,-,-,0,1457.0,148105,8.0,703
Ajangiz,Bizkaia,Ajangiz,-,-,-,0,2853.0,269369,13.0,1124
Ajofrín,Toledo,Ajofrín,-,-,-,0,1023.0,103420,7.0,582
Alacón,Teruel,Alacón,-,-,-,0,1068.0,103002,6.0,501
Aladrén,Zaragoza,Aladrén,-,-,-,0,1674.0,154117,9.0,720
Alaejos,Valladolid,Alaejos,-,-,-,0,1497.0,151208,8.0,668
Alagón,Zaragoza,Alagón,-,-,-,2,1674.0,154117,9.0,720
Alagón del Río,Cáceres,Alagón del Río,1140.35,2,-,0,1132.0,119586,6.0,497
Alaior,Illes Balears,Alaior,2951.21,285,-,0,3139.0,358810,14.0,1392
Alájar,Huelva,Alájar,1096.96,10,5.5,2,1299.0,122249,10.0,761
Alajeró,Santa Cruz de Tenerife,Alajeró,-,-,9.23,1,1906.0,174893,10.0,793
Alameda,Málaga,Alameda,696.46,72,3.98,3,2630.0,301594,11.0,1055
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,0,0,-,0,1673.0,156058,9.0,801
Alameda de la Sagra,Toledo,Alameda de la Sagra,1163.01,59,6.28,6,1023.0,103420,7.0,582
Alameda del Valle,Madrid,Alameda del Valle,1256.2,12,5.28,1,3314.0,343514,16.0,1414
Alamedilla,Granada,Alamedilla,467.42,7,-,0,1691.0,181669,8.0,760
Alamedilla (La),Salamanca,La Alamedilla,523.41,3,-,0,1673.0,156058,9.0,801
Alamillo,Ciudad Real,Alamillo,299.51,4,-,0,936.0,96893,5.0,461
Alaminos,Guadalajara,Alaminos,875.0,1,-,0,1372.0,146012,8.0,691
Álamo (El),Madrid,El Álamo,1686.11,80,7.68,6,3314.0,343514,16.0,1414
Alamús (Els),Lleida,Els Alamús,602.04,10,-,0,1159.0,114344,7.0,654
Alange,Badajoz,Alange,608.74,25,-,0,1149.0,126096,7.0,530
Alanís,Sevilla,Alanís,-,-,4.38,1,1611.0,162042,10.0,821
Alaquàs,Valencia,Alaquàs,847.97,232,7.22,7,1445.0,163450,11.0,1042
Alar del Rey,Palencia,Alar del Rey,395.3,23,-,0,1352.0,128845,7.0,499
Alaraz,Salamanca,Alaraz,370.09,6,-,0,1673.0,156058,9.0,801
Alarba,Zaragoza,Alarba,-,-,-,0,1674.0,154117,9.0,720
Alarcón,Cuenca,Alarcón,2750.0,2,2.46,1,1139.0,119313,8.0,608
Alarilla,Guadalajara,Alarilla,423.33,2,-,0,1372.0,146012,8.0,691
Alaró,Illes Balears,Alaró,-,-,-,0,3139.0,358810,14.0,1392
Alàs i Cerc,Lleida,Alàs i Cerc,-,-,-,0,1159.0,114344,7.0,654
Alatoz,Albacete,Alatoz,945.38,3,-,0,1300.0,152281,7.0,659
Alba,Teruel,Alba,-,-,-,0,1068.0,103002,6.0,501
Alba de Cerrato,Palencia,Alba de Cerrato,209.02,3,-,0,1352.0,128845,7.0,499
Alba de Tormes,Salamanca,Alba de Tormes,685.88,99,4.48,5,1673.0,156058,9.0,801
Alba de Yeltes,Salamanca,Alba de Yeltes,670.66,2,-,0,1673.0,156058,9.0,801
Albacete,Albacete,Albacete,1447.44,2470,-,199,1300.0,152281,7.0,659
Albagés (L'),Lleida,L' Albagés,-,-,-,0,1159.0,114344,7.0,654
Albaida,Valencia,Albaida,675.68,121,2.65,1,1445.0,163450,11.0,1042
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,-,-,-,0,1611.0,162042,10.0,821
Albal,Valencia,Albal,872.18,209,7.21,7,1445.0,163450,11.0,1042
Albalá,Cáceres,Albalá,-,-,-,0,1132.0,119586,6.0,497
Albaladejo,Ciudad Real,Albaladejo,238.65,10,-,0,936.0,96893,5.0,461
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,306.75,2,-,0,1139.0,119313,8.0,608
Albalat de la Ribera,Valencia,Albalat de la Ribera,-,-,-,0,1445.0,163450,11.0,1042
Albalat dels Sorells,Valencia,Albalat dels Sorells,755.81,36,-,0,1445.0,163450,11.0,1042
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,892.85,67,-,0,1445.0,163450,11.0,1042
Albalate de Cinca,Huesca,Albalate de Cinca,390.51,7,-,0,1513.0,123979,8.0,636
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,381.75,6,-,0,1139.0,119313,8.0,608
Albalate de Zorita,Guadalajara,Albalate de Zorita,898.32,73,-,0,1372.0,146012,8.0,691
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,-,-,4.09,3,1068.0,103002,6.0,501
Albalatillo,Huesca,Albalatillo,533.33,1,-,0,1513.0,123979,8.0,636
Albanchez,Almería,Albanchez,232.73,14,-,0,1168.0,109377,8.0,668
Albanchez de Mágina,Jaén,Albanchez de Mágina,1023.48,10,-,0,989.0,105216,6.0,496
Albanyà,Girona,Albanyà,574.71,3,-,0,2169.0,193575,11.0,941
Albares,Guadalajara,Albares,391.13,11,-,0,1372.0,146012,8.0,691
Albarracín,Teruel,Albarracín,-,-,-,0,1068.0,103002,6.0,501
Albarreal de Tajo,Toledo,Albarreal de Tajo,900.0,20,-,0,1023.0,103420,7.0,582
Albatana,Albacete,Albatana,213.28,4,-,0,1300.0,152281,7.0,659
Albatàrrec,Lleida,Albatàrrec,1403.28,57,-,0,1159.0,114344,7.0,654
Albatera,Alicante,Albatera,963.39,139,7.12,4,1663.0,176931,9.0,845
Albelda,Huesca,Albelda,431.64,7,-,0,1513.0,123979,8.0,636
Albelda de Iregua,La Rioja,Albelda de Iregua,1165.09,107,5.51,1,1457.0,148105,8.0,703
Albendea,Cuenca,Albendea,285.0,1,-,0,1139.0,119313,8.0,608
Albendiego,Guadalajara,Albendiego,128.05,1,-,0,1372.0,146012,8.0,691
Albentosa,Teruel,Albentosa,-,-,-,0,1068.0,103002,6.0,501
Alberca (La),Salamanca,La Alberca,961.88,14,5.28,3,1673.0,156058,9.0,801
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,450.1,18,-,0,1139.0,119313,8.0,608
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,533.33,1,-,0,1673.0,156058,9.0,801
Alberic,Valencia,Alberic,863.93,225,-,0,1445.0,163450,11.0,1042
Alberite,La Rioja,Alberite,1002.62,79,5.89,4,1457.0,148105,8.0,703
Alberite de San Juan,Zaragoza,Alberite de San Juan,-,-,-,0,1674.0,154117,9.0,720
Albero Alto,Huesca,Albero Alto,0,0,-,0,1513.0,123979,8.0,636
Albero Bajo,Huesca,Albero Bajo,4285.71,1,-,0,1513.0,123979,8.0,636
Alberuela de Tubo,Huesca,Alberuela de Tubo,512.53,3,-,0,1513.0,123979,8.0,636
Albesa,Lleida,Albesa,442.63,8,-,0,1159.0,114344,7.0,654
Albeta,Zaragoza,Albeta,-,-,-,0,1674.0,154117,9.0,720
Albi (L'),Lleida,L' Albi,-,-,-,0,1159.0,114344,7.0,654
Albillos,Burgos,Albillos,752.0,5,-,0,1445.0,138383,8.0,633
Albinyana,Tarragona,Albinyana,1887.69,87,-,0,1552.0,140182,9.0,736
Albiol (L'),Tarragona,L' Albiol,-,-,-,0,1552.0,140182,9.0,736
Albiztur,Gipuzkoa,Albiztur,-,-,-,0,3234.0,289436,16.0,1275
Albocàsser,Castellón,Albocàsser,904.41,47,-,0,1133.0,115966,8.0,653
Alboloduy,Almería,Alboloduy,494.67,7,-,0,1168.0,109377,8.0,668
Albolote,Granada,Albolote,1140.17,572,6.63,17,1691.0,181669,8.0,760
Albondón,Granada,Albondón,664.9,9,-,0,1691.0,181669,8.0,760
Albons,Girona,Albons,2324.94,14,-,0,2169.0,193575,11.0,941
Alborache,Valencia,Alborache,-,-,-,0,1445.0,163450,11.0,1042
Alboraia/Alboraya,Valencia,Alboraia/Alboraya,-,-,22.63,107,1445.0,163450,11.0,1042
Alborea,Albacete,Alborea,395.31,20,1.53,1,1300.0,152281,7.0,659
Alborge,Zaragoza,Alborge,-,-,-,0,1674.0,154117,9.0,720
Albornos,Ávila,Albornos,322.86,4,-,0,1022.0,99417,6.0,520
Albox,Almería,Albox,774.71,290,4.67,14,1168.0,109377,8.0,668
Albudeite,Murcia,Albudeite,471.7,14,inf,1,1148.0,119550,9.0,792
Albuera (La),Badajoz,La Albuera,713.26,22,9.88,1,1149.0,126096,7.0,530
Albuixech,Valencia,Albuixech,1490.57,46,8.52,4,1445.0,163450,11.0,1042
Albuñán,Granada,Albuñán,276.91,3,-,0,1691.0,181669,8.0,760
Albuñol,Granada,Albuñol,832.94,60,7.14,13,1691.0,181669,8.0,760
Albuñuelas,Granada,Albuñuelas,582.13,44,4.52,1,1691.0,181669,8.0,760
Alburquerque,Badajoz,Alburquerque,610.4,35,4.29,1,1149.0,126096,7.0,530
Alcabón,Toledo,Alcabón,1013.51,40,-,0,1023.0,103420,7.0,582
Alcadozo,Albacete,Alcadozo,222.91,6,-,0,1300.0,152281,7.0,659
Alcaine,Teruel,Alcaine,-,-,-,0,1068.0,103002,6.0,501
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,-,-,-,0,1674.0,154117,9.0,720
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,1315.8,1154,7.53,39,1611.0,162042,10.0,821
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,366.09,7,-,0,1513.0,123979,8.0,636
