municipio,provincia,codigo_ine,municipio_nombre_humano,num_colegios
Alhama de Murcia,Murcia,30008,Alhama de Murcia,15
Alhambra,Ciudad Real,13010,Alhambra,1
Alhaurín de la Torre,Málaga,29007,Alhaurín de la Torre,32
Alhaurín el Grande,Málaga,29008,Alhaurín el Grande,18
Alhendín,Granada,18014,Alhendín,7
Alhóndiga,Guadalajara,19018,Alhóndiga,0
Alía,Cáceres,10017,Alía,3
Aliaga,Teruel,44017,Aliaga,1
Aliaguilla,Cuenca,16014,Aliaguilla,0
Alicante/Alacant,Alicante,3014,Alicante/Alacant,177
Alicún,Almería,4012,Alicún,1
Alicún de Ortega,Granada,18015,Alicún de Ortega,1
Alija del Infantado,León,24003,Alija del Infantado,1
Alins,Lleida,25017,Alins,0
Alió,Tarragona,43010,Alió,1
Alique,Guadalajara,19019,Alique,0
Aliseda,Cáceres,10018,Aliseda,1
Aliud,Soria,42016,Aliud,0
Aljaraque,Huelva,21002,Aljaraque,12
Aljucén,Badajoz,6009,Aljucén,1
Alkiza,Gipuzkoa,20006,Alkiza,2
Allande,Asturias,33001,Allande,8
Allariz,Ourense,32001,Allariz,2
Allepuz,Teruel,44021,Allepuz,0
Aller,Asturias,33002,Aller,9
Allín/Allin,Navarra,31011,Allín/Allin,0
Allo,Navarra,31012,Allo,0
Alloza,Teruel,44022,Alloza,1
Allueva,Teruel,44023,Allueva,0
Almacelles,Lleida,25019,Almacelles,3
Almáchar,Málaga,29009,Almáchar,3
Almadén,Ciudad Real,13011,Almadén,6
Almadén de la Plata,Sevilla,41009,Almadén de la Plata,2
Almadenejos,Ciudad Real,13012,Almadenejos,0
Almadrones,Guadalajara,19020,Almadrones,0
Almagro,Ciudad Real,13013,Almagro,9
Almajano,Soria,42017,Almajano,0
Almaluez,Soria,42018,Almaluez,0
Almansa,Albacete,2009,Almansa,22
Almanza,León,24004,Almanza,0
Almaraz,Cáceres,10019,Almaraz,1
Almaraz de Duero,Zamora,49007,Almaraz de Duero,1
Almarcha (La),Cuenca,16015,La Almarcha,0
Almargen,Málaga,29010,Almargen,2
Almarza,Soria,42019,Almarza,2
Almarza de Cameros,La Rioja,26012,Almarza de Cameros,0
Almàssera,Valencia,46032,Almàssera,8
Almassora,Castellón,12009,Almassora,0
Almatret,Lleida,25020,Almatret,0
Almazán,Soria,42020,Almazán,9
Almazul,Soria,42021,Almazul,0
Almedíjar,Castellón,12010,Almedíjar,1
Almedina,Ciudad Real,13014,Almedina,0
Almedinilla,Córdoba,14004,Almedinilla,3
Almegíjar,Granada,18016,Almegíjar,0
Almeida de Sayago,Zamora,49008,Almeida de Sayago,1
Almenar,Lleida,25021,Almenar,4
Almenar de Soria,Soria,42022,Almenar de Soria,0
Almenara,Castellón,12011,Almenara,5
Almenara de Adaja,Valladolid,47008,Almenara de Adaja,0
Almenara de Tormes,Salamanca,37027,Almenara de Tormes,0
Almendra,Salamanca,37028,Almendra,0
Almendral,Badajoz,6010,Almendral,1
Almendral de la Cañada,Toledo,45011,Almendral de la Cañada,0
Almendralejo,Badajoz,6011,Almendralejo,20
Almendro (El),Huelva,21003,El Almendro,1
Almendros,Cuenca,16016,Almendros,0
Almensilla,Sevilla,41010,Almensilla,7
Almería,Almería,4013,Almería,193
Almiserà,Valencia,46033,Almiserà,0
Almochuel,Zaragoza,50021,Almochuel,0
Almócita,Almería,4014,Almócita,0
Almodóvar del Campo,Ciudad Real,13015,Almodóvar del Campo,6
Almodóvar del Pinar,Cuenca,16017,Almodóvar del Pinar,0
Almodóvar del Río,Córdoba,14005,Almodóvar del Río,10
Almogía,Málaga,29011,Almogía,5
Almoguera,Guadalajara,19021,Almoguera,2
Almohaja,Teruel,44018,Almohaja,0
Almoharín,Cáceres,10020,Almoharín,1
Almoines,Valencia,46034,Almoines,4
Almolda (La),Zaragoza,50022,La Almolda,1
Almonacid de la Cuba,Zaragoza,50023,Almonacid de la Cuba,0
Almonacid de la Sierra,Zaragoza,50024,Almonacid de la Sierra,2
