municipio,provincia,municipio_nombre_humano,codigo_INE
Alcanadre,La Rioja,Alcanadre,26007
Alcanar,Tarragona,Alcanar,43004
Alcanó,Lleida,Alcanó,25010
Alcántara,Cáceres,Alcántara,10008
Alcantarilla,Murcia,Alcantarilla,30005
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,46016
Alcantud,Cuenca,Alcantud,16009
Alcañices,Zamora,Alcañices,49003
Alcañiz,Teruel,Alcañiz,44013
Alcañizo,Toledo,Alcañizo,45005
Alcaracejos,Córdoba,Alcaracejos,14003
Alcaraz,Albacete,Alcaraz,2008
Alcarràs,Lleida,Alcarràs,25011
Alcàsser,Valencia,Alcàsser,46015
Alcaucín,Málaga,Alcaucín,29002
Alcaudete,Jaén,Alcaudete,23003
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,45006
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,13005
Alcázar del Rey,Cuenca,Alcázar del Rey,16010
Alcazarén,Valladolid,Alcazarén,47005
Alcázares (Los),Murcia,Los Alcázares,30902
Alcoba,Ciudad Real,Alcoba,13006
Alcobendas,Madrid,Alcobendas,28006
Alcocer,Guadalajara,Alcocer,19009
Alcocer de Planes,Alicante,Alcocer de Planes,3007
Alcocero de Mola,Burgos,Alcocero de Mola,9010
Alcohujate,Cuenca,Alcohujate,16011
Alcolea,Almería,Alcolea,4007
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,13007
Alcolea de Cinca,Huesca,Alcolea de Cinca,22017
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,19010
Alcolea de Tajo,Toledo,Alcolea de Tajo,45007
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,19011
Alcolea del Río,Sevilla,Alcolea del Río,41006
Alcoleja,Alicante,Alcoleja,3008
Alcoletge,Lleida,Alcoletge,25012
Alcollarín,Cáceres,Alcollarín,10009
Alconaba,Soria,Alconaba,42006
Alconada,Salamanca,Alconada,37012
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,40005
Alconchel,Badajoz,Alconchel,6007
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,50015
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,16012
Alconera,Badajoz,Alconera,6008
Alcóntar,Almería,Alcóntar,4008
Alcora (l'),Castellón,L' Alcora,12005
Alcorcón,Madrid,Alcorcón,28007
Alcorisa,Teruel,Alcorisa,44014
Alcoroches,Guadalajara,Alcoroches,19013
Alcover,Tarragona,Alcover,43005
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,3009
Alcubierre,Huesca,Alcubierre,22018
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,42007
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,42008
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,49004
Alcubillas,Ciudad Real,Alcubillas,13008
Alcublas,Valencia,Alcublas,46018
Alcúdia,Illes Balears,Alcúdia,7003
Alcúdia (l'),Valencia,L' Alcúdia,46019
Alcúdia de Crespins (l'),Valencia,L' Alcúdia de Crespins,46020
Alcudia de Monteagud,Almería,Alcudia de Monteagud,4009
Alcudia de Veo,Castellón,Alcudia de Veo,12006
Alcuéscar,Cáceres,Alcuéscar,10010
Aldaia,Valencia,Aldaia,46021
Aldea (L'),Tarragona,L' Aldea,43904
Aldea de San Miguel,Valladolid,Aldea de San Miguel,47006
Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,35020
Aldea del Cano,Cáceres,Aldea del Cano,10012
Aldea del Fresno,Madrid,Aldea del Fresno,28008
Aldea del Obispo,Salamanca,Aldea del Obispo,37015
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,10013
Aldea del Rey,Ciudad Real,Aldea del Rey,13009
Aldea en Cabo,Toledo,Aldea en Cabo,45008
Aldea Real,Segovia,Aldea Real,40012
Aldeacentenera,Cáceres,Aldeacentenera,10011
Aldeacipreste,Salamanca,Aldeacipreste,37013
