codigo_ine,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours,kms_capital_provincia,altitud,renta_bruta_media,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
47023,1,0,0,3,0,3,0,4219,24.12,174.93,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,12.76,727,34435,1062.29,33,6.18,4,1497,151208,8,668,54.49,9.35,49.39,947,98.0,83.0,100.0,100.0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
37055,1,0,0,0,0,0,2,134,32.91,4.07,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,92.78,713,17879,0,0,0,0,1673,156058,9,801,55.83,10.3,50.08,538,81.0,0.0,100.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,1,0,1,0,2,2,768,166.01,4.63,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4,76.09,872,16604,414.93,23,0,0,1300,152281,7,659,58.07,12.41,50.86,532,38.78,0.0,99.56,99.33,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5036,1,0,0,0,0,0,1,117,22.09,5.3,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,35.8,884,17345,820.77,1,0,0,1022,99417,6,520,52.78,14.86,44.94,374,100.0,0.0,100.0,100.0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
10030,1,1,0,1,0,0,3,485,64.52,7.52,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,130.82,340,15773,417.62,2,0,0,1132,119586,6,497,54.28,17.78,44.63,452,19.0,0.0,100.0,99.0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5037,4,0,0,0,0,0,1,231,74.37,3.11,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,89.83,1147,17345,468.69,11,3.57,1,1022,99417,6,520,52.78,14.86,44.94,374,100.0,0.0,100.0,100.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15010,1,0,0,3,0,1,3,1943,82.34,23.6,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8,59.55,491,16777,585.63,9,0,0,1583,156959,8,666,53.86,10.92,47.98,1466,64.7,4.45,99.62,99.88,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15011,2,1,0,17,0,1,3,18955,86.58,218.93,3.22,19.33,11.0,83.91,12.74,0,12.0,0.08,46.3,87.3,13.8,33.44,21.48,74.52,9.9,0,12.0,0.02,25.99,231.7,122.51,24,20997,1021.09,121,8.28,16,1583,156959,8,666,53.86,10.92,47.98,1466,85.91,29.14,99.97,99.98,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
32014,1,0,0,0,0,2,2,1075,34.9,30.8,-0.12,19.15,8.46,84.1,9.04,0,12.0,0.58,55.81,70.8,10.36,35.76,21.25,70.26,7.7,0,12.0,0.03,27.65,221.6,33.02,485,16318,249.94,17,0,0,1434,156580,6,564,48.99,10.84,43.68,471,88.28,1.3,99.94,99.96,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
13023,1,1,0,9,0,3,2,11992,87.89,136.44,-2.82,19.32,8.38,75.13,7.63,0,12.0,0.09,37.65,108.9,13.6,40.55,28.09,36.08,7.24,0,0.9,0.0,7.38,353.3,34.54,650,18626,675.17,32,4.09,1,936,96893,5,461,55.64,17.1,46.12,496,100.0,100.0,100.0,100.0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47024,1,0,0,0,0,3,0,277,29.92,9.26,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,68.26,712,19844,454.55,1,0,0,1497,151208,8,668,54.49,9.35,49.39,947,86.0,0.0,100.0,99.0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
46073,1,0,0,1,0,1,0,1336,40.39,33.08,1.83,23.6,11.99,63.53,13.9,0,12.0,0.02,24.38,101.7,18.69,36.22,26.49,63.54,10.55,0,3.0,0.01,15.85,189.0,76.67,234,17905,0,0,0,0,1445,163450,11,1042,59.18,12.36,51.87,3312,91.0,0.0,100.0,100.0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41016,1,0,0,15,0,2,0,11099,62.56,177.41,2.69,26.03,12.56,74.66,10.15,0,3.0,0.04,23.31,157.7,17.2,40.68,28.02,49.38,10.48,0,3.0,0.0,5.26,378.3,20.64,86,25345,1060.68,124,6.61,4,1611,162042,10,821,57.59,17.89,47.29,1717,100.0,100.0,100.0,100.0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
21013,1,1,0,13,0,1,0,14392,49.31,291.87,5.49,25.43,14.89,70.71,12.67,0,3.0,0.02,26.97,160.4,17.53,40.6,28.73,55.8,12.74,0,0.3,0.0,5.93,377.2,40.74,127,18158,821.17,99,5.47,3,1299,122249,10,761,56.77,12.24,49.83,472,82.0,82.0,100.0,100.0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
32015,1,1,0,1,0,2,2,828,91.17,9.08,-0.12,19.15,8.46,84.1,9.04,0,12.0,0.58,55.81,70.8,10.36,35.76,21.25,70.26,7.7,0,12.0,0.03,27.65,221.6,110.25,750,16806,320.16,10,0,0,1434,156580,6,564,48.99,10.84,43.68,471,55.32,1.93,99.64,99.64,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0
22066,1,0,0,2,0,2,1,1065,139.45,7.64,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,97.15,596,24020,582.22,16,0,0,1513,123979,8,636,57.78,10.87,51.5,526,32.0,11.5,96.83,93.5,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
3045,1,0,0,1,0,1,3,426,13.57,31.39,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3,68.2,216,19603,1186.81,23,0,0,1663,176931,9,845,57.08,14.13,49.01,1773,70.0,70.0,100.0,99.0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
17024,1,0,0,1,0,1,1,489,10.66,45.88,-0.59,20.14,9.69,68.47,16.52,0,3.0,0.04,38.23,115.1,16.6,35.21,25.51,56.07,15.55,0,3.0,0.02,21.88,273.7,169.49,1115,31051,3312.55,27,15.69,3,2169,193575,11,941,63.76,8.26,58.49,1248,100.0,67.78,100.0,100.0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22067,1,0,0,0,0,2,1,90,37.29,2.41,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,150.73,1236,22933,1540.01,3,4.75,2,1513,123979,8,636,57.78,10.87,51.5,526,25.14,11.57,99.29,98.0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
21014,1,1,0,5,0,1,0,6075,64.77,93.79,5.49,25.43,14.89,70.71,12.67,0,3.0,0.02,26.97,160.4,17.53,40.6,28.73,55.8,12.74,0,0.3,0.0,5.93,377.2,29.33,91,18282,856.46,31,0,0,1299,122249,10,761,56.77,12.24,49.83,472,100.0,100.0,100.0,100.0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
43030,1,0,0,2,0,1,2,727,24.98,29.1,-1.49,20.08,9.75,70.06,10.76,0,3.0,0.03,27.37,94.3,15.17,32.62,25.18,65.16,8.96,0,12.0,0.07,19.45,168.6,33.66,162,23434,1119.21,30,6.11,1,1552,140182,9,736,56.53,10.63,50.52,1234,91.0,0.0,100.0,99.0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2018,1,1,0,2,0,2,2,1031,125.06,8.24,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4,50.75,898,17222,585.95,3,0,0,1300,152281,7,659,58.07,12.41,50.86,532,100.0,100.0,100.0,100.0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
16036,1,0,0,0,0,2,2,139,53.02,2.62,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4,72.53,1088,17337,361.84,5,0,0,1139,119313,8,608,56.94,10.77,50.81,329,0.0,0.0,100.0,100.0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5038,3,0,0,0,0,0,1,131,55.06,2.38,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,54.01,1080,17345,559.76,7,3.0,1,1022,99417,6,520,52.78,14.86,44.94,374,60.5,0.0,100.0,100.0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2019,1,1,0,4,0,2,2,2718,502.87,5.4,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4,68.05,1066,17129,437.24,26,0,0,1300,152281,7,659,58.07,12.41,50.86,532,50.0,50.0,99.5,82.0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
46074,1,0,0,5,0,1,0,3780,1.06,3566.04,1.83,23.6,11.99,63.53,13.9,0,12.0,0.02,24.38,101.7,18.69,36.22,26.49,63.54,10.55,0,3.0,0.01,15.85,189.0,7.03,18,24585,906.73,14,8.33,1,1445,163450,11,1042,59.18,12.36,51.87,3312,96.0,96.0,100.0,100.0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
