codigo_ine,municipio,provincia,municipio_nombre_humano
23001,Albanchez de Mágina,Jaén,Albanchez de Mágina
17003,Albanyà,Girona,Albanyà
19007,Albares,Guadalajara,Albares
44009,Albarracín,Teruel,Albarracín
45003,Albarreal de Tajo,Toledo,Albarreal de Tajo
02004,Albatana,Albacete,Albatana
25007,Albatàrrec,Lleida,Albatàrrec
03005,Albatera,Alicante,Albatera
22009,Albelda,Huesca,Albelda
26005,Albelda de Iregua,La Rioja,Albelda de Iregua
16006,Albendea,Cuenca,Albendea
19008,Albendiego,Guadalajara,Albendiego
44010,Albentosa,Teruel,Albentosa
37010,Alberca (La),Salamanca,La Alberca
16007,Alberca de Záncara (La),Cuenca,La Alberca de Záncara
37011,Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán
46011,Alberic,Valencia,Alberic
26006,Alberite,La Rioja,Alberite
50010,Alberite de San Juan,Zaragoza,Alberite de San Juan
22011,Albero Alto,Huesca,Albero Alto
22012,Albero Bajo,Huesca,Albero Bajo
22013,Alberuela de Tubo,Huesca,Alberuela de Tubo
25008,Albesa,Lleida,Albesa
50011,Albeta,Zaragoza,Albeta
25009,Albi (L'),Lleida,L' Albi
09009,Albillos,Burgos,Albillos
43002,Albinyana,Tarragona,Albinyana
43003,Albiol (L'),Tarragona,L' Albiol
20004,Albiztur,Gipuzkoa,Albiztur
12003,Albocàsser,Castellón,Albocàsser
04005,Alboloduy,Almería,Alboloduy
18003,Albolote,Granada,Albolote
18004,Albondón,Granada,Albondón
17004,Albons,Girona,Albons
46012,Alborache,Valencia,Alborache
46013,Alboraia/Alboraya,Valencia,Alboraia/Alboraya
02005,Alborea,Albacete,Alborea
50012,Alborge,Zaragoza,Alborge
05005,Albornos,Ávila,Albornos
04006,Albox,Almería,Albox
30004,Albudeite,Murcia,Albudeite
06005,Albuera (La),Badajoz,La Albuera
46014,Albuixech,Valencia,Albuixech
18005,Albuñán,Granada,Albuñán
18006,Albuñol,Granada,Albuñol
18007,Albuñuelas,Granada,Albuñuelas
06006,Alburquerque,Badajoz,Alburquerque
45004,Alcabón,Toledo,Alcabón
02006,Alcadozo,Albacete,Alcadozo
44011,Alcaine,Teruel,Alcaine
50013,Alcalá de Ebro,Zaragoza,Alcalá de Ebro
41004,Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra
22014,Alcalá de Gurrea,Huesca,Alcalá de Gurrea
28005,Alcalá de Henares,Madrid,Alcalá de Henares
44012,Alcalá de la Selva,Teruel,Alcalá de la Selva
16008,Alcalá de la Vega,Cuenca,Alcalá de la Vega
11001,Alcalá de los Gazules,Cádiz,Alcalá de los Gazules
50014,Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo
12004,Alcalà de Xivert,Castellón,Alcalà de Xivert
02007,Alcalá del Júcar,Albacete,Alcalá del Júcar
22015,Alcalá del Obispo,Huesca,Alcalá del Obispo
41005,Alcalá del Río,Sevilla,Alcalá del Río
11002,Alcalá del Valle,Cádiz,Alcalá del Valle
23002,Alcalá la Real,Jaén,Alcalá la Real
03006,Alcalalí,Alicante,Alcalalí
22016,Alcampell,Huesca,Alcampell
26007,Alcanadre,La Rioja,Alcanadre
43004,Alcanar,Tarragona,Alcanar
25010,Alcanó,Lleida,Alcanó
10008,Alcántara,Cáceres,Alcántara
30005,Alcantarilla,Murcia,Alcantarilla
46016,Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer
16009,Alcantud,Cuenca,Alcantud
49003,Alcañices,Zamora,Alcañices
44013,Alcañiz,Teruel,Alcañiz
45005,Alcañizo,Toledo,Alcañizo
14003,Alcaracejos,Córdoba,Alcaracejos
02008,Alcaraz,Albacete,Alcaraz
25011,Alcarràs,Lleida,Alcarràs
46015,Alcàsser,Valencia,Alcàsser
29002,Alcaucín,Málaga,Alcaucín
23003,Alcaudete,Jaén,Alcaudete
45006,Alcaudete de la Jara,Toledo,Alcaudete de la Jara
