municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Alberic,Valencia,Alberic,46011,1,0
Alberite,La Rioja,Alberite,26006,2,2
Alberite de San Juan,Zaragoza,Alberite de San Juan,50010,2,1
Albero Alto,Huesca,Albero Alto,22011,2,1
Albero Bajo,Huesca,Albero Bajo,22012,2,1
Alberuela de Tubo,Huesca,Alberuela de Tubo,22013,2,1
Albesa,Lleida,Albesa,25008,2,1
Albeta,Zaragoza,Albeta,50011,2,1
Albi (L'),Lleida,L' Albi,25009,2,1
Albillos,Burgos,Albillos,09009,2,2
Albinyana,Tarragona,Albinyana,43002,1,2
Albiol (L'),Tarragona,L' Albiol,43003,1,2
Albiztur,Gipuzkoa,Albiztur,20004,1,2
Albocàsser,Castellón,Albocàsser,12003,1,2
Alboloduy,Almería,Alboloduy,04005,1,2
Albolote,Granada,Albolote,18003,1,1
Albondón,Granada,Albondón,18004,1,1
Albons,Girona,Albons,17004,1,1
Alborache,Valencia,Alborache,46012,1,0
Alboraia/Alboraya,Valencia,Alboraia/Alboraya,46013,1,0
Alborea,Albacete,Alborea,02005,2,2
Alborge,Zaragoza,Alborge,50012,2,1
Albornos,Ávila,Albornos,05005,0,1
Albox,Almería,Albox,04006,1,2
Albudeite,Murcia,Albudeite,30004,1,2
Albuera (La),Badajoz,La Albuera,06005,3,0
Albuixech,Valencia,Albuixech,46014,1,0
Albuñán,Granada,Albuñán,18005,1,1
Albuñol,Granada,Albuñol,18006,1,1
Albuñuelas,Granada,Albuñuelas,18007,1,1
Alburquerque,Badajoz,Alburquerque,06006,3,0
Alcabón,Toledo,Alcabón,45004,0,2
Alcadozo,Albacete,Alcadozo,02006,2,2
Alcaine,Teruel,Alcaine,44011,2,1
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,50013,2,1
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,41004,2,0
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,22014,2,1
Alcalá de Henares,Madrid,Alcalá de Henares,28005,3,2
Alcalá de la Selva,Teruel,Alcalá de la Selva,44012,2,1
Alcalá de la Vega,Cuenca,Alcalá de la Vega,16008,2,2
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,11001,1,0
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,50014,2,1
Alcalà de Xivert,Castellón,Alcalà de Xivert,12004,1,2
Alcalá del Júcar,Albacete,Alcalá del Júcar,02007,2,2
Alcalá del Obispo,Huesca,Alcalá del Obispo,22015,2,1
