municipio,provincia,municipio_nombre_humano,lat,lon
Albatera,Alicante,Albatera,38.180289,-0.872395
Alcalalí,Alicante,Alcalalí,38.754724,-0.043421
Alcocer de Planes,Alicante,Alcocer de Planes,38.79501,-0.40244
Alcoleja,Alicante,Alcoleja,38.66992,-0.32382
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,38.701616,-0.476523
Alfafara,Alicante,Alfafara,38.77339,-0.55551
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,38.566318,-0.104676
Algorfa,Alicante,Algorfa,38.084582,-0.796363
Algueña,Alicante,Algueña,38.339218,-1.002629
Alicante/Alacant,Alicante,Alicante/Alacant,38.360892,-0.486281
Almoradí,Alicante,Almoradí,38.110237,-0.792414
Almudaina,Alicante,Almudaina,38.75999,-0.35149
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,38.360892,-0.486281
Altea,Alicante,Altea,38.596675,-0.055608
Aspe,Alicante,Aspe,38.343766,-0.766951
Atzúbia (l'),Alicante,L' Atzúbia,38.338892,-0.509477
Balones,Alicante,Balones,38.73726,-0.34324
Banyeres de Mariola,Alicante,Banyeres de Mariola,38.715255,-0.660488
Benasau,Alicante,Benasau,38.69047,-0.34278
Beneixama,Alicante,Beneixama,38.701806,-0.765858
Benejúzar,Alicante,Benejúzar,38.076894,-0.838707
Benferri,Alicante,Benferri,38.144565,-0.963573
Beniarbeig,Alicante,Beniarbeig,38.822288,-0.006177
Beniardá,Alicante,Beniardá,38.68433,-0.21629
Beniarrés,Alicante,Beniarrés,38.820507,-0.378199
Benidoleig,Alicante,Benidoleig,38.7919,-0.03162
Benidorm,Alicante,Benidorm,38.542305,-0.127103
Benifallim,Alicante,Benifallim,38.66259,-0.39994
Benifato,Alicante,Benifato,38.67395,-0.2292
Benigembla,Alicante,Benigembla,38.75494,-0.10903
Benijófar,Alicante,Benijófar,38.062653,-0.745904
Benilloba,Alicante,Benilloba,38.70012,-0.38998
Benillup,Alicante,Benillup,38.75398,-0.37991
Benimantell,Alicante,Benimantell,38.67709,-0.21057
Benimarfull,Alicante,Benimarfull,38.7759,-0.39079
Benimassot,Alicante,Benimassot,38.75,-0.28333
Benimeli,Alicante,Benimeli,38.82362,-0.04221
Benissa,Alicante,Benissa,38.715345,0.051209
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,38.724094,0.150938
Biar,Alicante,Biar,38.62662,-0.7623
Bigastro,Alicante,Bigastro,38.06162,-0.894344
Bolulla,Alicante,Bolulla,38.67529,-0.11184
Busot,Alicante,Busot,38.464904,-0.432603
Callosa de Segura,Alicante,Callosa de Segura,38.126098,-0.875694
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,38.64888,-0.123885
Calp,Alicante,Calp,38.658408,0.05646
Campello (el),Alicante,El Campello,38.428712,-0.400416
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,38.70001,-0.79462
Cañada,Alicante,Cañada,38.39711,-0.5831
Castalla,Alicante,Castalla,38.599887,-0.667946
Castell de Castells,Alicante,Castell de Castells,38.735695,-0.187075
Castell de Guadalest (el),Alicante,El Castell de Guadalest,38.6768,-0.19908
Catral,Alicante,Catral,38.16056,-0.802149
Cocentaina,Alicante,Cocentaina,38.754923,-0.441782
Confrides,Alicante,Confrides,38.68451,-0.2689
Cox,Alicante,Cox,38.141697,-0.887969
Crevillent,Alicante,Crevillent,38.247745,-0.814187
Daya Nueva,Alicante,Daya Nueva,38.113322,-0.761471
Daya Vieja,Alicante,Daya Vieja,38.1048,-0.73804
Dénia,Alicante,Dénia,38.840863,0.103315
Dolores,Alicante,Dolores,38.139232,-0.769951
Elche/Elx,Alicante,Elche/Elx,38.262084,-0.700594
Elda,Alicante,Elda,38.47616,-0.795528
Facheca,Alicante,Facheca,38.735,-0.26766
Famorca,Alicante,Famorca,38.73101,-0.24726
Finestrat,Alicante,Finestrat,38.5671,-0.212203
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,38.308625,-0.851245
Formentera del Segura,Alicante,Formentera del Segura,38.084955,-0.745611
Gaianes,Alicante,Gaianes,38.8164,-0.40881
Gata de Gorgos,Alicante,Gata de Gorgos,38.774048,0.083486
Gorga,Alicante,Gorga,38.71896,-0.35589
Granja de Rocamora,Alicante,Granja de Rocamora,38.15353,-0.892395
Guardamar del Segura,Alicante,Guardamar del Segura,38.090032,-0.658152
Hondón de los Frailes,Alicante,Hondón de los Frailes,38.273571,-0.926858
Ibi,Alicante,Ibi,38.618356,-0.580273
Jacarilla,Alicante,Jacarilla,38.060975,-0.867996
Jávea/Xàbia,Alicante,Jávea/Xàbia,38.785694,0.150464
Jijona/Xixona,Alicante,Jijona/Xixona,38.532651,-0.506731
Llíber,Alicante,Llíber,38.74272,-0.006
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa,38.360892,-0.486281
Millena,Alicante,Millena,38.73082,-0.36274
Monforte del Cid,Alicante,Monforte del Cid,38.379799,-0.722666
Monóvar/Monòver,Alicante,Monóvar/Monòver,38.436388,-0.840944
Montesinos (Los),Alicante,Los Montesinos,38.027433,-0.745376
Murla,Alicante,Murla,38.76037,-0.08208
Muro de Alcoy,Alicante,Muro de Alcoy,38.780312,-0.440017
Mutxamel,Alicante,Mutxamel,38.407895,-0.448889
Novelda,Alicante,Novelda,38.385706,-0.768862
Nucia (la),Alicante,La Nucia,38.599959,-0.132423
Ondara,Alicante,Ondara,38.824783,0.020541
Onil,Alicante,Onil,38.628054,-0.675278
Orba,Alicante,Orba,38.780068,-0.058304
Orihuela,Alicante,Orihuela,38.082111,-0.946934
Orxeta,Alicante,Orxeta,38.56397,-0.26299
Parcent,Alicante,Parcent,38.7457,-0.064354
Pedreguer,Alicante,Pedreguer,38.793927,0.035132
Pego,Alicante,Pego,38.841697,-0.115876
Penàguila,Alicante,Penàguila,38.68,-0.35845
Petrer,Alicante,Petrer,38.484322,-0.779674
Pilar de la Horadada,Alicante,Pilar de la Horadada,37.862662,-0.788448
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso,38.400231,-1.043137
