municipio,renta_bruta_media_corregida,codigo_ine
Markina-Xemein,24994,48060
Maruri-Jatabe,21869,48061
Mendata,11823,48062
Mendexa,20019,48063
Meñaka,20779,48064
Ugao-Miraballes,21315,48065
Morga,24167,48066
Muxika,30895,48067
Mundaka,24366,48068
Mungia,39134,48069
Aulesti,21714,48070
Muskiz,80790,48071
Otxandio,18876,48072
Ondarroa,22383,48073
Urduña/Orduña,15366,48074
Orozko,96546,48075
Sukarrieta,34084,48076
Plentzia,16467,48077
Portugalete,16497,48078
Errigoiti,13951,48079
Valle de Trápaga-Trapagaran,59127,48080
Lezama,56868,48081
Santurtzi,21904,48082
Ortuella,30480,48083
Sestao,19259,48084
Sopela,21025,48085
Sopuerta,19729,48086
Trucios-Turtzioz,17554,48087
Ubide,10637,48088
Urduliz,48605,48089
Balmaseda,19126,48090
Atxondo,73192,48091
Bedia,53165,48092
Areatza,12966,48093
Igorre,47996,48094
Zaldibar,41771,48095
Zalla,20274,48096
Zaratamo,58597,48097
Derio,140223,48901
Erandio,45108,48902
Loiu,225513,48903
Sondika,59355,48904
Zamudio,530327,48905
Forua,17010,48906
Kortezubi,15852,48907
Murueta,25172,48908
Nabarniz,18686,48909
Iurreta,82778,48910
Ajangiz,229615,48911
Alonsotegi,29523,48912
Zierbena,155946,48913
Arratzu,22332,48914
Ziortza-Bolibar,11840,48915
