municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Alcora (L'),Castellón,12005,L' Alcora,28167
Alcorcón,Madrid,28007,Alcorcón,28671
Alcorisa,Teruel,44014,Alcorisa,23270
Alcoroches,Guadalajara,19013,Alcoroches,-
Alcover,Tarragona,43005,Alcover,26389
Alcoy/Alcoi,Alicante,3009,Alcoy/Alcoi,24649
Alcubierre,Huesca,22018,Alcubierre,-
Alcubilla de Avellaneda,Soria,42007,Alcubilla de Avellaneda,-
Alcubilla de las Peñas,Soria,42008,Alcubilla de las Peñas,-
Alcubilla de Nogales,Zamora,49004,Alcubilla de Nogales,-
Alcubillas,Ciudad Real,13008,Alcubillas,-
Alcublas,Valencia,46018,Alcublas,-
Alcúdia,Illes Balears,7003,Alcúdia,27120
Alcúdia (L'),Valencia,46019,L' Alcúdia,23199
Alcúdia de Crespins (L'),Valencia,46020,L' Alcúdia de Crespins,20458
Alcudia de Monteagud,Almería,4009,Alcudia de Monteagud,-
Alcudia de Veo,Castellón,12006,Alcudia de Veo,-
Alcuéscar,Cáceres,10010,Alcuéscar,15686
Aldaia,Valencia,46021,Aldaia,22947
Aldea (L'),Tarragona,43904,L' Aldea,20971
Aldea de San Miguel,Valladolid,47006,Aldea de San Miguel,-
Aldea de San Nicolás (La),Las Palmas,35020,La Aldea de San Nicolás,17429
Aldea del Cano,Cáceres,10012,Aldea del Cano,-
Aldea del Fresno,Madrid,28008,Aldea del Fresno,23733
Aldea del Obispo,Salamanca,37015,Aldea del Obispo,-
Aldea del Obispo (La),Cáceres,10013,La Aldea del Obispo,-
Aldea del Rey,Ciudad Real,13009,Aldea del Rey,18552
Aldea en Cabo,Toledo,45008,Aldea en Cabo,-
Aldea Real,Segovia,40012,Aldea Real,-
Aldeacentenera,Cáceres,10011,Aldeacentenera,-
Aldeacipreste,Salamanca,37013,Aldeacipreste,-
Aldeadávila de la Ribera,Salamanca,37014,Aldeadávila de la Ribera,19150
Aldealafuente,Soria,42009,Aldealafuente,-
Aldealcorvo,Segovia,40006,Aldealcorvo,-
Aldealengua,Salamanca,37016,Aldealengua,-
Aldealengua de Pedraza,Segovia,40007,Aldealengua de Pedraza,-
Aldealengua de Santa María,Segovia,40008,Aldealengua de Santa María,-
Aldealices,Soria,42010,Aldealices,-
Aldealpozo,Soria,42011,Aldealpozo,-
Aldealseñor,Soria,42012,Aldealseñor,-
Aldeamayor de San Martín,Valladolid,47007,Aldeamayor de San Martín,26614
Aldeanueva de Barbarroya,Toledo,45009,Aldeanueva de Barbarroya,-
Aldeanueva de Ebro,La Rioja,26008,Aldeanueva de Ebro,21779
Aldeanueva de Figueroa,Salamanca,37017,Aldeanueva de Figueroa,-
Aldeanueva de Guadalajara,Guadalajara,19015,Aldeanueva de Guadalajara,-
Aldeanueva de la Serrezuela,Segovia,40009,Aldeanueva de la Serrezuela,-
Aldeanueva de la Sierra,Salamanca,37018,Aldeanueva de la Sierra,-
Aldeanueva de la Vera,Cáceres,10014,Aldeanueva de la Vera,16218
Aldeanueva de San Bartolomé,Toledo,45010,Aldeanueva de San Bartolomé,-
Aldeanueva de Santa Cruz,Ávila,5007,Aldeanueva de Santa Cruz,-
Aldeanueva del Camino,Cáceres,10015,Aldeanueva del Camino,-
Aldeanueva del Codonal,Segovia,40010,Aldeanueva del Codonal,-
Aldeaquemada,Jaén,23004,Aldeaquemada,-
Aldearrodrigo,Salamanca,37019,Aldearrodrigo,-
Aldearrubia,Salamanca,37020,Aldearrubia,-
Aldeaseca,Ávila,5008,Aldeaseca,-
Aldeaseca de Alba,Salamanca,37021,Aldeaseca de Alba,-
Aldeaseca de la Frontera,Salamanca,37022,Aldeaseca de la Frontera,-
Aldeasoña,Segovia,40013,Aldeasoña,-
Aldeatejada,Salamanca,37023,Aldeatejada,29073
Aldeavieja de Tormes,Salamanca,37024,Aldeavieja de Tormes,-
Aldehorno,Segovia,40014,Aldehorno,-
Aldehuela (La),Ávila,5010,La Aldehuela,-
Aldehuela de Jerte,Cáceres,10016,Aldehuela de Jerte,-
Aldehuela de la Bóveda,Salamanca,37025,Aldehuela de la Bóveda,-
Aldehuela de Liestos,Zaragoza,50016,Aldehuela de Liestos,-
Aldehuela de Periáñez,Soria,42013,Aldehuela de Periáñez,-
Aldehuela de Yeltes,Salamanca,37026,Aldehuela de Yeltes,-
Aldehuela del Codonal,Segovia,40015,Aldehuela del Codonal,-
Aldehuelas (Las),Soria,42014,Las Aldehuelas,-
Aldeire,Granada,18010,Aldeire,-
Aldeonte,Segovia,40016,Aldeonte,-
Aldover,Tarragona,43006,Aldover,-
Aledo,Murcia,30006,Aledo,19689
Alegia,Gipuzkoa,20005,Alegia,41148
Alegría-Dulantzi,Álava,1001,Alegría-Dulantzi,44332
Aleixar (L'),Tarragona,43007,L' Aleixar,-
Alella,Barcelona,8003,Alella,53128
Alentisque,Soria,42015,Alentisque,-
Alerre,Huesca,22019,Alerre,-
Alesanco,La Rioja,26009,Alesanco,-
Alesón,La Rioja,26010,Alesón,-
Alfacar,Granada,18011,Alfacar,23078
Alfafar,Valencia,46022,Alfafar,21660
Alfafara,Alicante,3010,Alfafara,-
Alfajarín,Zaragoza,50017,Alfajarín,25254
Alfambra,Teruel,44016,Alfambra,-
Alfamén,Zaragoza,50018,Alfamén,17806
Alfántega,Huesca,22020,Alfántega,-
Alfara de Carles,Tarragona,43008,Alfara de Carles,-
Alfara de la Baronia,Valencia,46024,Alfara de la Baronia,-
Alfara del Patriarca,Valencia,46025,Alfara del Patriarca,24452
Alfaraz de Sayago,Zamora,49005,Alfaraz de Sayago,-
Alfarnate,Málaga,29003,Alfarnate,15474
Alfarnatejo,Málaga,29004,Alfarnatejo,-
Alfaro,La Rioja,26011,Alfaro,26085
Alfarp,Valencia,46026,Alfarp,21499
Alfarràs,Lleida,25013,Alfarràs,23262
Alfarrasí,Valencia,46027,Alfarrasí,21375
Alfàs del Pi (L'),Alicante,3011,L' Alfàs del Pi,23653
Alfauir,Valencia,46023,Alfauir,-
Alfés,Lleida,25014,Alfés,-
Alfondeguilla,Castellón,12007,Alfondeguilla,-
Alforja,Tarragona,43009,Alforja,25755
Alforque,Zaragoza,50019,Alforque,-
Alfoz,Lugo,27002,Alfoz,17674
Alfoz de Bricia,Burgos,9011,Alfoz de Bricia,-
Alfoz de Lloredo,Cantabria,39001,Alfoz de Lloredo,22467
Alfoz de Quintanadueñas,Burgos,9907,Alfoz de Quintanadueñas,28009
Alfoz de Santa Gadea,Burgos,9012,Alfoz de Santa Gadea,-
Algaba (La),Sevilla,41007,La Algaba,21801
Algadefe,León,24002,Algadefe,-
Algaida,Illes Balears,7004,Algaida,29129
