municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,38.701616,-0.476523,service;commercial;sport,service
Alfafara,Alicante,Alfafara,38.77339,-0.55551,sport;natural;leisure,sport
Alfàs del Pi (L'),Alicante,L' Alfàs del Pi,38.566318,-0.104676,sport;building;commercial,sport
Algorfa,Alicante,Algorfa,38.084582,-0.796363,sport;catering;commercial,sport
Algueña,Alicante,Algueña,38.339218,-1.002629,leisure;service;building,leisure
Alicante/Alacant,Alicante,Alicante/Alacant,38.360892,-0.486281,commercial;catering;sport,commercial
Almoradí,Alicante,Almoradí,38.110237,-0.792414,catering;commercial;service,catering
Almudaina,Alicante,Almudaina,38.75999,-0.35149,sport;natural;building,sport
Alqueria d'Asnar (L'),Alicante,L' Alqueria d'Asnar,38.360892,-0.486281,commercial;catering;sport,commercial
Altea,Alicante,Altea,38.596675,-0.055608,sport;leisure;accommodation,sport
Aspe,Alicante,Aspe,38.343766,-0.766951,leisure;commercial;catering,leisure
Atzúbia (L'),Alicante,L' Atzúbia,38.338892,-0.509477,leisure;sport;access_limited,leisure
Balones,Alicante,Balones,38.73726,-0.34324,access_limited;sport;access,access_limited
Banyeres de Mariola,Alicante,Banyeres de Mariola,38.715255,-0.660488,activity;leisure;service,activity
Benasau,Alicante,Benasau,38.69047,-0.34278,natural;leisure;sport,natural
Beneixama,Alicante,Beneixama,38.701806,-0.765858,leisure;natural;sport,leisure
Benejúzar,Alicante,Benejúzar,38.076894,-0.838707,commercial;catering;service,commercial
Benferri,Alicante,Benferri,38.144565,-0.963573,natural;leisure;activity,natural
Beniarbeig,Alicante,Beniarbeig,38.822288,-0.006177,access_limited;no_access;access,access_limited
Beniardá,Alicante,Beniardá,38.68433,-0.21629,natural;sport;catering,natural
Beniarrés,Alicante,Beniarrés,38.820507,-0.378199,sport;access_limited;natural,sport
Benidoleig,Alicante,Benidoleig,38.7919,-0.03162,sport;catering;building,sport
Benidorm,Alicante,Benidorm,38.542305,-0.127103,sport;catering;building,sport
Benifallim,Alicante,Benifallim,38.66259,-0.39994,sport;natural;access_limited,sport
Benifato,Alicante,Benifato,38.67395,-0.2292,natural;sport;catering,natural
Benigembla,Alicante,Benigembla,38.75494,-0.10903,sport;commercial;building,sport
Benijófar,Alicante,Benijófar,38.062653,-0.745904,leisure;natural;access_limited,leisure
Benilloba,Alicante,Benilloba,38.70012,-0.38998,sport;access;access_limited,sport
Benillup,Alicante,Benillup,38.75398,-0.37991,sport;natural;access_limited,sport
Benimantell,Alicante,Benimantell,38.67709,-0.21057,access_limited;sport;catering,access_limited
Benimarfull,Alicante,Benimarfull,38.7759,-0.39079,sport;natural;leisure,sport
Benimassot,Alicante,Benimassot,38.75,-0.28333,leisure;sport;access,leisure
Benimeli,Alicante,Benimeli,38.82362,-0.04221,access_limited;sport;leisure,access_limited
Benissa,Alicante,Benissa,38.715345,0.051209,catering;commercial;leisure,catering
Benitachell/Poble Nou de Benitatxell (El),Alicante,El Benitachell/Poble Nou de Benitatxell,38.724094,0.150938,sport;natural;building,sport
Biar,Alicante,Biar,38.62662,-0.7623,sport;leisure;natural,sport
Bigastro,Alicante,Bigastro,38.06162,-0.894344,commercial;service;catering,commercial
Bolulla,Alicante,Bolulla,38.67529,-0.11184,access_limited;natural;sport,access_limited
Busot,Alicante,Busot,38.464904,-0.432603,sport;leisure;catering,sport
Callosa de Segura,Alicante,Callosa de Segura,38.126098,-0.875694,commercial;leisure;catering,commercial
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,38.64888,-0.123885,leisure;commercial;catering,leisure
Calp,Alicante,Calp,38.658408,0.05646,access_limited;leisure;sport,access_limited
