municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Urda,Toledo,Urda,45177,39.411878,-3.717206
Urdazubi/Urdax,Navarra,Urdazubi/Urdax,31239,43.26667,-1.5
Urdiain,Navarra,Urdiain,31240,42.88829,-2.13667
Urdiales del Páramo,León,Urdiales del Páramo,24174,42.386376,-5.790531
Urduliz,Bizkaia,Urduliz,48089,43.38333,-2.95
Urduña/Orduña,Bizkaia,Urduña/Orduña,48074,42.994587,-3.009847
Urkabustaiz,Álava,Urkabustaiz,1054,42.972748,-2.920274
Urnieta,Gipuzkoa,Urnieta,20072,43.245119,-1.99292
Urones de Castroponce,Valladolid,Urones de Castroponce,47177,42.09911,-5.28222
Urrácal,Almería,Urrácal,4096,37.3974,-2.36485
Urraul Alto,Navarra,Urraul Alto,31241,42.792723,-1.225141
Urraul Bajo,Navarra,Urraul Bajo,31242,42.715617,-1.301525
Urrea de Gaén,Teruel,Urrea de Gaén,44237,41.16062,-0.4701
Urrea de Jalón,Zaragoza,Urrea de Jalón,50269,41.66715,-1.2342
Urretxu,Gipuzkoa,Urretxu,20077,43.091,-2.31701
Urriés,Zaragoza,Urriés,50270,42.51943,-1.13022
Urroz,Navarra,Urroz,31244,42.77799,-1.45911
Urroz-Villa,Navarra,Urroz-Villa,31243,42.778326,-1.453441
Urueña,Valladolid,Urueña,47178,41.72738,-5.20304
Urueñas,Segovia,Urueñas,40210,41.35589,-3.77391
Uruñuela,La Rioja,Uruñuela,26160,42.442294,-2.706754
Urús,Girona,Urús,17206,42.35131,1.85343
Urzainqui/Urzainki,Navarra,Urzainqui/Urzainki,31245,42.83029,-0.94618
Usagre,Badajoz,Usagre,6136,38.355035,-6.165343
Used,Zaragoza,Used,50271,41.054312,-1.559582
Useras/Useres (les),Castellón,Les Useras/Useres,12122,40.15765,-0.16522
Usurbil,Gipuzkoa,Usurbil,20073,43.270009,-2.051009
Utande,Guadalajara,Utande,19296,40.84832,-2.9277
Utebo,Zaragoza,Utebo,50272,41.70527,-1.001615
Uterga,Navarra,Uterga,31246,42.70981,-1.76004
Utiel,Valencia,Utiel,46249,39.570202,-1.207226
Utrera,Sevilla,Utrera,41095,37.185219,-5.781853
